 HgtMOLA Denkgm3 DensP
1306458 0.0 0.01466 0.984
1306459 0.5 0.01394 0.977
1306460 1.0 0.01327 0.979
1306461 1.5 0.01274 0.985
1306462 2.0 0.01223 0.978
1306463 2.5 0.01171 0.982
1306464 3.0 0.01122 0.994
1306465 3.5 0.01073 0.994
1306466 4.0 0.01027 0.989
1306467 4.5 0.00982 0.98
1306468 5.0 0.009393 0.984
1306469 5.5 0.008985 0.985
1306470 6.0 0.008594 0.975
1306471 6.5 0.008223 0.977
1306472 7.0 0.007868 0.984
1306473 7.5 0.00753 0.99
1306474 8.0 0.007206 0.988
1306475 8.5 0.006897 0.976
1306476 9.0 0.006602 0.966
1306477 9.5 0.006318 0.969
1306478 10.0 0.006047 0.963
1306479 10.5 0.005785 0.965
1306480 11.0 0.005535 0.971
1306481 11.5 0.005295 0.988
1306482 12.0 0.005067 0.984
1306483 12.5 0.004848 0.979
1306484 13.0 0.004639 0.99
1306485 13.5 0.004439 1.003
1306486 14.0 0.004248 1.008
1306487 14.5 0.004065 1.01
1306488 15.0 0.003891 1.011
1306489 15.5 0.003712 1.002
1306490 16.0 0.003541 0.999
1306491 16.5 0.003379 0.986
1306492 17.0 0.003224 0.988
1306493 17.5 0.003076 0.994
1306494 18.0 0.002935 1.006
1306495 18.5 0.002801 0.992
1306496 19.0 0.002672 1.0
1306497 19.5 0.00255 1.015
1306498 20.0 0.002434 0.992
1306499 20.5 0.002313 0.998
1306500 21.0 0.002198 0.99
1306501 21.5 0.002089 1.005
1306502 22.0 0.001985 1.002
1306503 22.5 0.001887 1.0
1306504 23.0 0.001793 1.01
1306505 23.5 0.001704 1.018
1306506 24.0 0.00162 1.017
1306507 24.5 0.00154 1.014
1306508 25.0 0.001464 0.996
1306509 25.5 0.001386 1.021
1306510 26.0 0.001313 1.033
1306511 26.5 0.001244 1.032
1306512 27.0 0.001178 1.034
1306513 27.5 0.001116 1.03
1306514 28.0 0.001057 1.041
1306515 28.5 0.001001 1.038
1306516 29.0 0.0009483 1.047
1306517 29.5 0.0008984 1.036
1306518 30.0 0.000851 1.057
1306519 30.5 0.0008045 1.055
1306520 31.0 0.0007606 1.042
1306521 31.5 0.0007191 1.068
1306522 32.0 0.0006798 1.081
1306523 32.5 0.0006427 1.08
1306524 33.0 0.0006077 1.081
1306525 33.5 0.0005745 1.067
1306526 34.0 0.0005432 1.071
1306527 34.5 0.0005136 1.069
1306528 35.0 0.0004856 1.042
1306529 35.5 0.0004579 1.047
1306530 36.0 0.0004319 1.048
1306531 36.5 0.0004073 1.042
1306532 37.0 0.0003842 1.041
1306533 37.5 0.0003624 1.027
1306534 38.0 0.0003419 1.032
1306535 38.5 0.0003226 0.997
1306536 39.0 0.0003043 0.993
1306537 39.5 0.0002872 1.014
1306538 40.0 0.000271 1.016
1306539 40.5 0.000254 0.995
1306540 41.0 0.0002381 0.974
1306541 41.5 0.0002232 0.947
1306542 42.0 0.0002093 0.958
1306543 42.5 0.0001962 0.939
1306544 43.0 0.000184 0.958
1306545 43.5 0.0001725 0.949
1306546 44.0 0.0001618 0.966
1306547 44.5 0.0001517 0.956
1306548 45.0 0.0001423 0.927
1306549 45.5 0.0001322 0.943
1306550 46.0 0.0001228 0.98
1306551 46.5 0.0001141 0.962
1306552 47.0 0.000106 0.933
1306553 47.5 9.848e-05 0.946
1306554 48.0 9.15e-05 0.956
1306555 48.5 8.501e-05 0.966
1306556 49.0 7.899e-05 0.975
1306557 49.5 7.339e-05 0.927
1306558 50.0 6.82e-05 0.921
1306559 50.5 6.294e-05 0.936
1306560 51.0 5.809e-05 0.946
1306561 51.5 5.362e-05 1.004
1306562 52.0 4.949e-05 0.984
1306563 52.5 4.568e-05 1.003
1306564 53.0 4.216e-05 1.013
1306565 53.5 3.892e-05 1.004
1306566 54.0 3.592e-05 0.967
1306567 54.5 3.316e-05 0.977
1306568 55.0 3.061e-05 0.966
1306569 55.5 2.859e-05 1.015
1306570 56.0 2.67e-05 1.028
1306571 56.5 2.494e-05 0.991
1306572 57.0 2.33e-05 1.009
1306573 57.5 2.177e-05 0.99
1306574 58.0 2.033e-05 0.951
1306575 58.5 1.899e-05 0.964
1306576 59.0 1.774e-05 0.956
1306577 59.5 1.657e-05 0.971
1306578 60.0 1.548e-05 0.923
1306579 60.5 1.454e-05 0.922
1306580 61.0 1.366e-05 0.959
1306581 61.5 1.283e-05 1.009
1306582 62.0 1.205e-05 1.022
1306583 62.5 1.132e-05 0.982
1306584 63.0 1.064e-05 1.021
1306585 63.5 9.99e-06 1.009
1306586 64.0 9.385e-06 1.034
1306587 64.5 8.816e-06 0.979
1306588 65.0 8.297e-06 0.951
1306589 65.5 7.774e-06 0.99
1306590 66.0 7.285e-06 0.983
1306591 66.5 6.827e-06 0.954
1306592 67.0 6.398e-06 1.025
1306593 67.5 5.996e-06 1.075
1306594 68.0 5.619e-06 1.077
1306595 68.5 5.267e-06 1.064
1306596 69.0 4.936e-06 1.071
1306597 69.5 4.627e-06 1.137
1306598 70.0 4.352e-06 1.052
1306599 70.5 4.07e-06 1.015
1306600 71.0 3.806e-06 1.048
1306601 71.5 3.559e-06 1.132
1306602 72.0 3.328e-06 1.028
1306603 72.5 3.112e-06 1.048
1306604 73.0 2.911e-06 1.059
1306605 73.5 2.722e-06 0.936
1306606 74.0 2.546e-06 0.935
1306607 74.5 2.381e-06 0.923
1306608 75.0 2.226e-06 0.948
1306609 75.5 2.07e-06 0.936
1306610 76.0 1.925e-06 0.943
1306611 76.5 1.791e-06 0.99
1306612 77.0 1.666e-06 0.881
1306613 77.5 1.551e-06 0.868
1306614 78.0 1.444e-06 0.94
1306615 78.5 1.345e-06 0.973
1306616 79.0 1.253e-06 0.99
1306617 79.5 1.168e-06 0.968
1306618 80.0 1.089e-06 0.988
1306619 80.5 1.017e-06 0.964
1306620 81.0 9.512e-07 0.904
1306621 81.5 8.895e-07 0.865
1306622 82.0 8.319e-07 0.825
1306623 82.5 7.78e-07 0.838
1306624 83.0 7.276e-07 0.874
1306625 83.5 6.805e-07 0.848
1306626 84.0 6.364e-07 0.799
1306627 84.5 5.953e-07 0.655
1306628 85.0 5.568e-07 0.734
1306629 85.5 5.2e-07 0.707
1306630 86.0 4.85e-07 0.653
1306631 86.5 4.524e-07 0.636
1306632 87.0 4.22e-07 0.694
1306633 87.5 3.936e-07 0.715
1306634 88.0 3.672e-07 0.701
1306635 88.5 3.425e-07 0.735
1306636 89.0 3.195e-07 0.757
1306637 89.5 2.981e-07 0.736
1306638 90.0 2.781e-07 0.855
1306639 90.5 2.589e-07 0.847
1306640 91.0 2.407e-07 0.838
1306641 91.5 2.237e-07 0.832
1306642 92.0 2.08e-07 0.762
1306643 92.5 1.933e-07 0.774
1306644 93.0 1.797e-07 0.765
1306645 93.5 1.67e-07 0.812
1306646 94.0 1.553e-07 0.759
1306647 94.5 1.444e-07 0.841
1306648 95.0 1.342e-07 0.716
1306649 95.5 1.246e-07 0.805
