 HgtMOLA Denkgm3 DensP
621951 0.0 0.01466 0.994
621952 0.5 0.01394 1.004
621953 1.0 0.01327 1.009
621954 1.5 0.01274 1.005
621955 2.0 0.01223 1.02
621956 2.5 0.01171 1.017
621957 3.0 0.01122 1.017
621958 3.5 0.01073 1.01
621959 4.0 0.01027 1.002
621960 4.5 0.00982 0.997
621961 5.0 0.009393 0.996
621962 5.5 0.008985 0.998
621963 6.0 0.008594 1.002
621964 6.5 0.008223 0.996
621965 7.0 0.007868 1.001
621966 7.5 0.00753 1.003
621967 8.0 0.007206 1.001
621968 8.5 0.006897 1.007
621969 9.0 0.006602 1.005
621970 9.5 0.006318 0.996
621971 10.0 0.006047 1.005
621972 10.5 0.005785 1.013
621973 11.0 0.005535 1.014
621974 11.5 0.005295 1.01
621975 12.0 0.005067 1.007
621976 12.5 0.004848 1.016
621977 13.0 0.004639 1.0
621978 13.5 0.004439 1.0
621979 14.0 0.004248 1.0
621980 14.5 0.004065 0.996
621981 15.0 0.003891 0.99
621982 15.5 0.003712 0.985
621983 16.0 0.003541 0.993
621984 16.5 0.003379 0.976
621985 17.0 0.003224 0.985
621986 17.5 0.003076 0.979
621987 18.0 0.002935 0.993
621988 18.5 0.002801 0.98
621989 19.0 0.002672 0.984
621990 19.5 0.00255 0.979
621991 20.0 0.002434 0.975
621992 20.5 0.002313 0.974
621993 21.0 0.002198 0.976
621994 21.5 0.002089 0.982
621995 22.0 0.001985 0.992
621996 22.5 0.001887 0.989
621997 23.0 0.001793 0.985
621998 23.5 0.001704 0.965
621999 24.0 0.00162 0.972
622000 24.5 0.00154 0.985
622001 25.0 0.001464 0.983
622002 25.5 0.001386 0.981
622003 26.0 0.001313 0.999
622004 26.5 0.001244 0.976
622005 27.0 0.001178 0.964
622006 27.5 0.001116 0.974
622007 28.0 0.001057 0.972
622008 28.5 0.001001 0.961
622009 29.0 0.0009483 0.952
622010 29.5 0.0008984 0.938
622011 30.0 0.000851 0.935
622012 30.5 0.0008045 0.952
622013 31.0 0.0007606 0.942
622014 31.5 0.0007191 0.942
622015 32.0 0.0006798 0.956
622016 32.5 0.0006427 0.976
622017 33.0 0.0006077 0.964
622018 33.5 0.0005745 0.962
622019 34.0 0.0005432 0.97
622020 34.5 0.0005136 0.97
622021 35.0 0.0004856 0.956
622022 35.5 0.0004579 0.963
622023 36.0 0.0004319 0.998
622024 36.5 0.0004073 1.0
622025 37.0 0.0003842 1.003
622026 37.5 0.0003624 1.007
622027 38.0 0.0003419 1.017
622028 38.5 0.0003226 1.014
622029 39.0 0.0003043 1.017
622030 39.5 0.0002872 1.029
622031 40.0 0.000271 1.009
622032 40.5 0.000254 1.001
622033 41.0 0.0002381 0.986
622034 41.5 0.0002232 1.002
622035 42.0 0.0002093 1.016
622036 42.5 0.0001962 1.012
622037 43.0 0.000184 1.008
622038 43.5 0.0001725 1.042
622039 44.0 0.0001618 1.064
