 HgtMOLA Denkgm3 DensP
1996178 0.0 0.01466 0.979
1996179 0.5 0.01394 0.968
1996180 1.0 0.01327 0.969
1996181 1.5 0.01274 0.971
1996182 2.0 0.01223 0.978
1996183 2.5 0.01171 0.972
1996184 3.0 0.01122 0.976
1996185 3.5 0.01073 0.976
1996186 4.0 0.01027 0.981
1996187 4.5 0.00982 0.975
1996188 5.0 0.009393 0.983
1996189 5.5 0.008985 0.981
1996190 6.0 0.008594 0.984
1996191 6.5 0.008223 0.976
1996192 7.0 0.007868 0.972
1996193 7.5 0.00753 0.974
1996194 8.0 0.007206 0.972
1996195 8.5 0.006897 0.979
1996196 9.0 0.006602 0.969
1996197 9.5 0.006318 0.975
1996198 10.0 0.006047 0.97
1996199 10.5 0.005785 0.964
1996200 11.0 0.005535 0.961
1996201 11.5 0.005295 0.968
1996202 12.0 0.005067 0.969
1996203 12.5 0.004848 0.97
1996204 13.0 0.004639 0.964
1996205 13.5 0.004439 0.967
1996206 14.0 0.004248 0.968
1996207 14.5 0.004065 0.971
1996208 15.0 0.003891 0.976
1996209 15.5 0.003712 0.973
1996210 16.0 0.003541 0.98
1996211 16.5 0.003379 0.949
1996212 17.0 0.003224 0.938
1996213 17.5 0.003076 0.93
1996214 18.0 0.002935 0.956
1996215 18.5 0.002801 0.947
1996216 19.0 0.002672 0.94
1996217 19.5 0.00255 0.938
1996218 20.0 0.002434 0.958
1996219 20.5 0.002313 0.961
1996220 21.0 0.002198 0.963
1996221 21.5 0.002089 0.967
1996222 22.0 0.001985 0.971
1996223 22.5 0.001887 0.986
1996224 23.0 0.001793 0.989
1996225 23.5 0.001704 0.994
1996226 24.0 0.00162 1.005
1996227 24.5 0.00154 0.981
1996228 25.0 0.001464 0.961
1996229 25.5 0.001386 0.983
1996230 26.0 0.001313 0.985
1996231 26.5 0.001244 0.971
1996232 27.0 0.001178 0.978
1996233 27.5 0.001116 0.979
1996234 28.0 0.001057 0.974
1996235 28.5 0.001001 0.982
1996236 29.0 0.0009483 0.974
1996237 29.5 0.0008984 0.983
1996238 30.0 0.000851 0.977
1996239 30.5 0.0008045 0.988
1996240 31.0 0.0007606 0.995
