 HgtMOLA Denkgm3 DensP
944756 0.0 0.01466 1.006
944757 0.5 0.01394 0.995
944758 1.0 0.01327 0.993
944759 1.5 0.01274 0.986
944760 2.0 0.01223 0.997
944761 2.5 0.01171 0.995
944762 3.0 0.01122 0.993
944763 3.5 0.01073 0.998
944764 4.0 0.01027 1.009
944765 4.5 0.00982 1.023
944766 5.0 0.009393 1.013
944767 5.5 0.008985 1.018
944768 6.0 0.008594 1.02
944769 6.5 0.008223 1.024
944770 7.0 0.007868 1.025
944771 7.5 0.00753 1.027
944772 8.0 0.007206 1.034
944773 8.5 0.006897 1.027
944774 9.0 0.006602 1.011
944775 9.5 0.006318 1.019
944776 10.0 0.006047 1.017
944777 10.5 0.005785 1.018
944778 11.0 0.005535 1.017
944779 11.5 0.005295 1.012
944780 12.0 0.005067 1.015
944781 12.5 0.004848 1.02
944782 13.0 0.004639 1.018
944783 13.5 0.004439 1.008
944784 14.0 0.004248 0.999
944785 14.5 0.004065 1.008
944786 15.0 0.003891 0.992
944787 15.5 0.003712 1.001
944788 16.0 0.003541 1.009
944789 16.5 0.003379 1.007
944790 17.0 0.003224 1.001
944791 17.5 0.003076 1.012
944792 18.0 0.002935 1.014
944793 18.5 0.002801 1.02
944794 19.0 0.002672 1.021
944795 19.5 0.00255 1.028
944796 20.0 0.002434 1.033
944797 20.5 0.002313 1.028
944798 21.0 0.002198 1.004
944799 21.5 0.002089 0.992
944800 22.0 0.001985 0.992
944801 22.5 0.001887 0.989
944802 23.0 0.001793 1.001
944803 23.5 0.001704 0.998
944804 24.0 0.00162 0.978
944805 24.5 0.00154 0.993
944806 25.0 0.001464 0.998
944807 25.5 0.001386 0.986
944808 26.0 0.001313 0.98
944809 26.5 0.001244 0.982
944810 27.0 0.001178 0.988
944811 27.5 0.001116 0.989
944812 28.0 0.001057 1.001
944813 28.5 0.001001 0.998
944814 29.0 0.0009483 0.982
944815 29.5 0.0008984 0.983
944816 30.0 0.000851 0.985
944817 30.5 0.0008045 0.984
944818 31.0 0.0007606 1.011
944819 31.5 0.0007191 1.015
944820 32.0 0.0006798 1.001
944821 32.5 0.0006427 0.999
944822 33.0 0.0006077 1.008
944823 33.5 0.0005745 1.035
944824 34.0 0.0005432 1.054
944825 34.5 0.0005136 1.058
944826 35.0 0.0004856 1.062
944827 35.5 0.0004579 1.057
944828 36.0 0.0004319 1.045
944829 36.5 0.0004073 1.026
944830 37.0 0.0003842 1.014
944831 37.5 0.0003624 0.994
944832 38.0 0.0003419 0.964
944833 38.5 0.0003226 0.981
944834 39.0 0.0003043 1.002
944835 39.5 0.0002872 0.988
944836 40.0 0.000271 0.978
944837 40.5 0.000254 0.98
944838 41.0 0.0002381 0.987
944839 41.5 0.0002232 0.97
944840 42.0 0.0002093 0.953
944841 42.5 0.0001962 0.959
944842 43.0 0.000184 0.969
944843 43.5 0.0001725 0.995
944844 44.0 0.0001618 1.005
944845 44.5 0.0001517 1.026
944846 45.0 0.0001423 1.036
944847 45.5 0.0001322 1.038
944848 46.0 0.0001228 1.049
944849 46.5 0.0001141 1.034
944850 47.0 0.000106 1.02
944851 47.5 9.848e-05 0.988
944852 48.0 9.15e-05 0.951
944853 48.5 8.501e-05 0.963
944854 49.0 7.899e-05 0.974
944855 49.5 7.339e-05 0.956
944856 50.0 6.82e-05 0.978
944857 50.5 6.294e-05 1.001
944858 51.0 5.809e-05 0.97
944859 51.5 5.362e-05 0.956
944860 52.0 4.949e-05 1.001
944861 52.5 4.568e-05 0.971
944862 53.0 4.216e-05 0.942
944863 53.5 3.892e-05 0.985
944864 54.0 3.592e-05 0.969
944865 54.5 3.316e-05 0.956
944866 55.0 3.061e-05 0.923
944867 55.5 2.859e-05 0.903
944868 56.0 2.67e-05 0.937
944869 56.5 2.494e-05 0.925
944870 57.0 2.33e-05 0.926
944871 57.5 2.177e-05 0.9
944872 58.0 2.033e-05 0.868
944873 58.5 1.899e-05 0.849
944874 59.0 1.774e-05 0.836
944875 59.5 1.657e-05 0.91
944876 60.0 1.548e-05 0.914
944877 60.5 1.454e-05 0.897
944878 61.0 1.366e-05 0.901
944879 61.5 1.283e-05 0.898
944880 62.0 1.205e-05 0.91
944881 62.5 1.132e-05 0.89
944882 63.0 1.064e-05 0.886
944883 63.5 9.99e-06 0.854
944884 64.0 9.385e-06 0.879
944885 64.5 8.816e-06 0.853
944886 65.0 8.297e-06 0.869
944887 65.5 7.774e-06 0.891
944888 66.0 7.285e-06 0.851
944889 66.5 6.827e-06 0.899
944890 67.0 6.398e-06 0.886
944891 67.5 5.996e-06 0.912
944892 68.0 5.619e-06 0.957
944893 68.5 5.267e-06 0.973
944894 69.0 4.936e-06 0.993
944895 69.5 4.627e-06 1.022
944896 70.0 4.352e-06 1.038
944897 70.5 4.07e-06 0.961
944898 71.0 3.806e-06 0.915
944899 71.5 3.559e-06 0.827
944900 72.0 3.328e-06 0.854
944901 72.5 3.112e-06 0.851
944902 73.0 2.911e-06 0.856
944903 73.5 2.722e-06 0.867
944904 74.0 2.546e-06 0.887
944905 74.5 2.381e-06 0.888
944906 75.0 2.226e-06 0.869
944907 75.5 2.07e-06 0.906
944908 76.0 1.925e-06 0.919
944909 76.5 1.791e-06 0.903
944910 77.0 1.666e-06 0.932
944911 77.5 1.551e-06 0.961
944912 78.0 1.444e-06 1.094
944913 78.5 1.345e-06 1.144
944914 79.0 1.253e-06 1.222
944915 79.5 1.168e-06 1.291
944916 80.0 1.089e-06 1.234
944917 80.5 1.017e-06 1.135
944918 81.0 9.512e-07 1.051
944919 81.5 8.895e-07 1.035
944920 82.0 8.319e-07 1.155
944921 82.5 7.78e-07 1.024
944922 83.0 7.276e-07 1.024
944923 83.5 6.805e-07 1.086
944924 84.0 6.364e-07 1.05
944925 84.5 5.953e-07 1.089
944926 85.0 5.568e-07 1.122
944927 85.5 5.2e-07 1.093
944928 86.0 4.85e-07 0.988
944929 86.5 4.524e-07 1.018
944930 87.0 4.22e-07 0.935
944931 87.5 3.936e-07 0.915
944932 88.0 3.672e-07 0.809
944933 88.5 3.425e-07 0.911
944934 89.0 3.195e-07 0.996
944935 89.5 2.981e-07 0.96
944936 90.0 2.781e-07 0.918
944937 90.5 2.589e-07 0.981
944938 91.0 2.407e-07 1.081
944939 91.5 2.237e-07 1.074
944940 92.0 2.08e-07 0.989
944941 92.5 1.933e-07 1.002
944942 93.0 1.797e-07 0.954
944943 93.5 1.67e-07 1.077
944944 94.0 1.553e-07 1.169
944945 94.5 1.444e-07 1.045
944946 95.0 1.342e-07 0.967
944947 95.5 1.246e-07 0.982
944948 96.0 1.155e-07 1.064
944949 96.5 1.071e-07 1.116
944950 97.0 9.93e-08 1.195
944951 97.5 9.207e-08 1.314
944952 98.0 8.538e-08 1.382
944953 98.5 7.917e-08 1.271
944954 99.0 7.341e-08 1.193
944955 99.5 6.808e-08 1.094
944956 100.0 6.314e-08 1.09
944957 100.5 5.852e-08 1.291
944958 101.0 5.421e-08 1.259
944959 101.5 5.022e-08 1.406
944960 102.0 4.652e-08 1.493
944961 102.5 4.31e-08 1.472
944962 103.0 3.992e-08 1.547
944963 103.5 3.698e-08 1.516
944964 104.0 3.426e-08 1.565
944965 104.5 3.174e-08 1.603
944966 105.0 2.94e-08 1.66
944967 105.5 2.719e-08 1.652
944968 106.0 2.511e-08 1.559
944969 106.5 2.318e-08 1.475
944970 107.0 2.141e-08 1.362
944971 107.5 1.977e-08 1.255
944972 108.0 1.825e-08 1.27
944973 108.5 1.686e-08 1.308
944974 109.0 1.557e-08 1.256
944975 109.5 1.438e-08 1.384
944976 110.0 1.328e-08 1.316
944977 110.5 1.226e-08 1.435
944978 111.0 1.131e-08 1.224
944979 111.5 1.043e-08 1.103
944980 112.0 9.628e-09 1.183
944981 112.5 8.885e-09 1.228
944982 113.0 8.199e-09 1.049
944983 113.5 7.566e-09 1.125
944984 114.0 6.983e-09 1.144
944985 114.5 6.444e-09 1.245
944986 115.0 5.947e-09 1.298
944987 115.5 5.508e-09 1.343
944988 116.0 5.115e-09 1.392
944989 116.5 4.751e-09 1.056
944990 117.0 4.413e-09 1.164
944991 117.5 4.1e-09 1.16
944992 118.0 3.809e-09 1.222
944993 118.5 3.538e-09 1.119
944994 119.0 3.288e-09 1.225
944995 119.5 3.055e-09 1.392
944996 120.0 2.839e-09 1.213
944997 120.5 2.642e-09 1.268
944998 121.0 2.462e-09 1.326
944999 121.5 2.294e-09 1.119
945000 122.0 2.138e-09 0.996
945001 122.5 1.992e-09 0.961
945002 123.0 1.857e-09 1.008
945003 123.5 1.731e-09 0.856
945004 124.0 1.613e-09 0.869
945005 124.5 1.504e-09 0.869
945006 125.0 1.402e-09 0.853
945007 125.5 1.31e-09 0.793
945008 126.0 1.227e-09 0.736
945009 126.5 1.15e-09 0.712
945010 127.0 1.077e-09 0.693
945011 127.5 1.009e-09 0.601
945012 128.0 9.451e-10 0.69
945013 128.5 8.854e-10 0.558
945014 129.0 8.295e-10 0.638
945015 129.5 7.772e-10 0.65
945016 130.0 7.281e-10 0.589
945017 130.5 6.839e-10 0.59
945018 131.0 6.437e-10 0.674
945019 131.5 6.059e-10 0.738
945020 132.0 5.703e-10 0.62
945021 132.5 5.368e-10 0.814
945022 133.0 5.053e-10 0.888
945023 133.5 4.757e-10 0.877
945024 134.0 4.478e-10 0.809
945025 134.5 4.215e-10 0.799
945026 135.0 3.968e-10 0.862
945027 135.5 3.739e-10 0.622
945028 136.0 3.527e-10 0.63
945029 136.5 3.327e-10 0.643
945030 137.0 3.139e-10 0.641
945031 137.5 2.961e-10 0.553
945032 138.0 2.793e-10 0.86
945033 138.5 2.635e-10 0.93
945034 139.0 2.485e-10 0.775
945035 139.5 2.344e-10 0.898
945036 140.0 2.212e-10 1.067
945037 140.5 2.089e-10 1.178
945038 141.0 1.976e-10 1.178
945039 141.5 1.869e-10 1.079
945040 142.0 1.768e-10 1.103
945041 142.5 1.672e-10 1.22
945042 143.0 1.582e-10 0.977
945043 143.5 1.496e-10 1.087
945044 144.0 1.415e-10 1.182
945045 144.5 1.339e-10 1.438
945046 145.0 1.266e-10 1.313
945047 145.5 1.199e-10 1.254
945048 146.0 1.137e-10 1.098
945049 146.5 1.078e-10 1.148
945050 147.0 1.022e-10 1.042
945051 147.5 9.686e-11 1.15
945052 148.0 9.182e-11 1.614
945053 148.5 8.705e-11 1.747
945054 149.0 8.252e-11 1.574
945055 149.5 7.823e-11 1.325
945056 150.0 7.416e-11 1.199
945057 150.5 7.037e-11 1.19
945058 151.0 6.681e-11 1.082
945059 151.5 6.344e-11 0.947
945060 152.0 6.023e-11 0.862
945061 152.5 5.719e-11 0.801
945062 153.0 5.43e-11 0.881
945063 153.5 5.156e-11 0.91
945064 154.0 4.896e-11 1.0
945065 154.5 4.649e-11 0.868
945066 155.0 4.414e-11 0.97
945067 155.5 4.194e-11 0.918
945068 156.0 3.987e-11 0.789
945069 156.5 3.79e-11 0.752
945070 157.0 3.603e-11 0.778
945071 157.5 3.425e-11 0.895
945072 158.0 3.256e-11 0.77
945073 158.5 3.095e-11 0.893
945074 159.0 2.942e-11 0.77
945075 159.5 2.797e-11 0.762
945076 160.0 2.659e-11 0.813
945077 160.5 2.531e-11 0.69
945078 161.0 2.41e-11 0.701
945079 161.5 2.295e-11 0.843
945080 162.0 2.185e-11 0.868
945081 162.5 2.081e-11 0.847
945082 163.0 1.982e-11 0.677
945083 163.5 1.887e-11 0.791
945084 164.0 1.797e-11 0.858
945085 164.5 1.712e-11 0.87
945086 165.0 1.63e-11 0.891
945087 165.5 1.554e-11 0.855
945088 166.0 1.482e-11 0.698
945089 166.5 1.414e-11 0.588
945090 167.0 1.348e-11 0.53
945091 167.5 1.286e-11 0.59
945092 168.0 1.227e-11 0.611
