 HgtMOLA Denkgm3 DensP
1215431 0.0 0.01466 1.022
1215432 0.5 0.01394 1.01
1215433 1.0 0.01327 1.013
1215434 1.5 0.01274 1.011
1215435 2.0 0.01223 1.002
1215436 2.5 0.01171 1.011
1215437 3.0 0.01122 1.001
1215438 3.5 0.01073 1.007
1215439 4.0 0.01027 1.005
1215440 4.5 0.00982 1.007
1215441 5.0 0.009393 1.018
1215442 5.5 0.008985 1.018
1215443 6.0 0.008594 1.022
1215444 6.5 0.008223 1.015
1215445 7.0 0.007868 1.021
1215446 7.5 0.00753 1.019
1215447 8.0 0.007206 1.022
1215448 8.5 0.006897 1.021
1215449 9.0 0.006602 1.029
1215450 9.5 0.006318 1.026
1215451 10.0 0.006047 1.029
1215452 10.5 0.005785 1.033
1215453 11.0 0.005535 1.035
1215454 11.5 0.005295 1.029
1215455 12.0 0.005067 1.031
1215456 12.5 0.004848 1.027
1215457 13.0 0.004639 1.02
1215458 13.5 0.004439 1.023
1215459 14.0 0.004248 1.012
1215460 14.5 0.004065 1.026
1215461 15.0 0.003891 1.016
1215462 15.5 0.003712 1.024
1215463 16.0 0.003541 1.006
1215464 16.5 0.003379 0.992
1215465 17.0 0.003224 0.991
1215466 17.5 0.003076 1.003
1215467 18.0 0.002935 0.994
1215468 18.5 0.002801 0.995
1215469 19.0 0.002672 0.988
1215470 19.5 0.00255 0.977
1215471 20.0 0.002434 0.965
1215472 20.5 0.002313 0.947
1215473 21.0 0.002198 0.957
1215474 21.5 0.002089 0.954
1215475 22.0 0.001985 0.959
1215476 22.5 0.001887 0.963
1215477 23.0 0.001793 0.948
1215478 23.5 0.001704 0.954
1215479 24.0 0.00162 0.953
1215480 24.5 0.00154 0.966
1215481 25.0 0.001464 0.973
1215482 25.5 0.001386 0.986
1215483 26.0 0.001313 0.969
1215484 26.5 0.001244 0.979
1215485 27.0 0.001178 0.979
1215486 27.5 0.001116 0.986
1215487 28.0 0.001057 1.005
1215488 28.5 0.001001 1.004
1215489 29.0 0.0009483 1.009
1215490 29.5 0.0008984 1.016
1215491 30.0 0.000851 1.017
1215492 30.5 0.0008045 1.02
1215493 31.0 0.0007606 1.022
1215494 31.5 0.0007191 0.992
1215495 32.0 0.0006798 0.989
1215496 32.5 0.0006427 1.012
1215497 33.0 0.0006077 1.016
1215498 33.5 0.0005745 1.017
1215499 34.0 0.0005432 0.994
1215500 34.5 0.0005136 1.022
1215501 35.0 0.0004856 1.004
1215502 35.5 0.0004579 1.011
1215503 36.0 0.0004319 1.023
1215504 36.5 0.0004073 1.007
1215505 37.0 0.0003842 1.003
1215506 37.5 0.0003624 0.998
1215507 38.0 0.0003419 0.99
1215508 38.5 0.0003226 1.0
1215509 39.0 0.0003043 0.991
1215510 39.5 0.0002872 0.957
1215511 40.0 0.000271 0.975
1215512 40.5 0.000254 0.986
1215513 41.0 0.0002381 0.993
1215514 41.5 0.0002232 0.986
1215515 42.0 0.0002093 0.975
1215516 42.5 0.0001962 0.949
1215517 43.0 0.000184 0.93
1215518 43.5 0.0001725 0.953
1215519 44.0 0.0001618 0.968
1215520 44.5 0.0001517 0.987
1215521 45.0 0.0001423 1.011
1215522 45.5 0.0001322 1.013
1215523 46.0 0.0001228 1.062
1215524 46.5 0.0001141 1.068
1215525 47.0 0.000106 1.062
1215526 47.5 9.848e-05 1.078
1215527 48.0 9.15e-05 1.043
1215528 48.5 8.501e-05 1.043
1215529 49.0 7.899e-05 1.011
1215530 49.5 7.339e-05 1.001
1215531 50.0 6.82e-05 0.969
1215532 50.5 6.294e-05 0.997
1215533 51.0 5.809e-05 0.99
1215534 51.5 5.362e-05 0.997
1215535 52.0 4.949e-05 0.989
1215536 52.5 4.568e-05 0.998
1215537 53.0 4.216e-05 0.972
1215538 53.5 3.892e-05 0.905
1215539 54.0 3.592e-05 0.876
1215540 54.5 3.316e-05 0.898
1215541 55.0 3.061e-05 0.888
1215542 55.5 2.859e-05 0.932
1215543 56.0 2.67e-05 0.93
1215544 56.5 2.494e-05 0.935
1215545 57.0 2.33e-05 0.938
1215546 57.5 2.177e-05 0.95
1215547 58.0 2.033e-05 0.917
1215548 58.5 1.899e-05 0.964
1215549 59.0 1.774e-05 0.938
1215550 59.5 1.657e-05 0.924
1215551 60.0 1.548e-05 0.917
1215552 60.5 1.454e-05 0.875
1215553 61.0 1.366e-05 0.898
1215554 61.5 1.283e-05 0.916
1215555 62.0 1.205e-05 0.943
1215556 62.5 1.132e-05 0.968
1215557 63.0 1.064e-05 0.994
1215558 63.5 9.99e-06 1.044
1215559 64.0 9.385e-06 0.972
1215560 64.5 8.816e-06 0.992
1215561 65.0 8.297e-06 0.951
1215562 65.5 7.774e-06 0.944
1215563 66.0 7.285e-06 0.978
1215564 66.5 6.827e-06 0.965
1215565 67.0 6.398e-06 0.994
1215566 67.5 5.996e-06 1.048
1215567 68.0 5.619e-06 1.008
1215568 68.5 5.267e-06 0.945
1215569 69.0 4.936e-06 0.964
1215570 69.5 4.627e-06 0.981
1215571 70.0 4.352e-06 1.001
1215572 70.5 4.07e-06 1.033
1215573 71.0 3.806e-06 1.038
1215574 71.5 3.559e-06 1.017
1215575 72.0 3.328e-06 1.034
1215576 72.5 3.112e-06 1.066
1215577 73.0 2.911e-06 1.001
1215578 73.5 2.722e-06 0.974
1215579 74.0 2.546e-06 0.961
1215580 74.5 2.381e-06 0.958
1215581 75.0 2.226e-06 0.943
1215582 75.5 2.07e-06 1.023
1215583 76.0 1.925e-06 0.98
1215584 76.5 1.791e-06 1.003
1215585 77.0 1.666e-06 1.058
1215586 77.5 1.551e-06 1.0
1215587 78.0 1.444e-06 1.015
1215588 78.5 1.345e-06 1.028
1215589 79.0 1.253e-06 0.972
1215590 79.5 1.168e-06 0.994
1215591 80.0 1.089e-06 0.955
1215592 80.5 1.017e-06 1.092
1215593 81.0 9.512e-07 1.13
1215594 81.5 8.895e-07 1.143
1215595 82.0 8.319e-07 1.158
1215596 82.5 7.78e-07 1.103
1215597 83.0 7.276e-07 1.118
1215598 83.5 6.805e-07 1.075
1215599 84.0 6.364e-07 0.996
1215600 84.5 5.953e-07 1.081
1215601 85.0 5.568e-07 1.016
1215602 85.5 5.2e-07 0.994
1215603 86.0 4.85e-07 0.971
1215604 86.5 4.524e-07 1.054
1215605 87.0 4.22e-07 1.176
1215606 87.5 3.936e-07 1.181
1215607 88.0 3.672e-07 1.1
1215608 88.5 3.425e-07 1.108
1215609 89.0 3.195e-07 0.985
1215610 89.5 2.981e-07 1.127
1215611 90.0 2.781e-07 1.015
1215612 90.5 2.589e-07 1.062
1215613 91.0 2.407e-07 0.975
1215614 91.5 2.237e-07 0.962
1215615 92.0 2.08e-07 0.967
1215616 92.5 1.933e-07 1.027
1215617 93.0 1.797e-07 1.025
1215618 93.5 1.67e-07 1.032
1215619 94.0 1.553e-07 1.086
1215620 94.5 1.444e-07 0.983
1215621 95.0 1.342e-07 0.934
1215622 95.5 1.246e-07 0.934
1215623 96.0 1.155e-07 0.983
1215624 96.5 1.071e-07 1.014
1215625 97.0 9.93e-08 0.961
1215626 97.5 9.207e-08 0.92
1215627 98.0 8.538e-08 0.92
1215628 98.5 7.917e-08 0.847
1215629 99.0 7.341e-08 0.88
1215630 99.5 6.808e-08 0.873
1215631 100.0 6.314e-08 0.823
1215632 100.5 5.852e-08 0.775
1215633 101.0 5.421e-08 0.887
