 HgtMOLA Denkgm3 DensP
330424 0.0 0.01466 0.995
330425 0.5 0.01394 0.994
330426 1.0 0.01327 0.986
330427 1.5 0.01274 0.992
330428 2.0 0.01223 1.001
330429 2.5 0.01171 1.001
330430 3.0 0.01122 0.999
330431 3.5 0.01073 1.005
330432 4.0 0.01027 1.006
330433 4.5 0.00982 1.009
330434 5.0 0.009393 1.006
330435 5.5 0.008985 0.995
330436 6.0 0.008594 0.989
330437 6.5 0.008223 0.99
330438 7.0 0.007868 0.986
330439 7.5 0.00753 0.975
330440 8.0 0.007206 0.991
330441 8.5 0.006897 0.985
330442 9.0 0.006602 0.975
330443 9.5 0.006318 0.975
330444 10.0 0.006047 0.978
330445 10.5 0.005785 0.981
330446 11.0 0.005535 0.98
330447 11.5 0.005295 0.985
330448 12.0 0.005067 0.985
330449 12.5 0.004848 0.992
330450 13.0 0.004639 0.987
330451 13.5 0.004439 0.993
330452 14.0 0.004248 0.986
330453 14.5 0.004065 0.977
330454 15.0 0.003891 0.989
330455 15.5 0.003712 0.982
330456 16.0 0.003541 1.005
330457 16.5 0.003379 0.996
330458 17.0 0.003224 0.972
330459 17.5 0.003076 0.961
330460 18.0 0.002935 0.981
330461 18.5 0.002801 0.978
330462 19.0 0.002672 0.975
330463 19.5 0.00255 0.974
330464 20.0 0.002434 0.977
330465 20.5 0.002313 0.972
330466 21.0 0.002198 0.966
330467 21.5 0.002089 0.972
330468 22.0 0.001985 0.979
330469 22.5 0.001887 0.985
330470 23.0 0.001793 0.994
330471 23.5 0.001704 0.998
330472 24.0 0.00162 0.995
330473 24.5 0.00154 0.999
330474 25.0 0.001464 1.007
330475 25.5 0.001386 1.024
330476 26.0 0.001313 1.031
330477 26.5 0.001244 1.023
330478 27.0 0.001178 1.016
330479 27.5 0.001116 1.03
330480 28.0 0.001057 1.023
330481 28.5 0.001001 1.027
330482 29.0 0.0009483 1.021
330483 29.5 0.0008984 0.998
330484 30.0 0.000851 0.979
330485 30.5 0.0008045 1.014
330486 31.0 0.0007606 1.025
330487 31.5 0.0007191 1.007
330488 32.0 0.0006798 0.997
330489 32.5 0.0006427 1.019
330490 33.0 0.0006077 1.021
330491 33.5 0.0005745 1.016
330492 34.0 0.0005432 0.999
330493 34.5 0.0005136 1.01
330494 35.0 0.0004856 0.978
330495 35.5 0.0004579 0.979
330496 36.0 0.0004319 0.988
330497 36.5 0.0004073 1.015
330498 37.0 0.0003842 1.007
330499 37.5 0.0003624 0.972
330500 38.0 0.0003419 0.959
330501 38.5 0.0003226 0.944
330502 39.0 0.0003043 0.942
330503 39.5 0.0002872 0.963
330504 40.0 0.000271 0.942
330505 40.5 0.000254 0.96
330506 41.0 0.0002381 0.937
330507 41.5 0.0002232 0.946
330508 42.0 0.0002093 0.919
330509 42.5 0.0001962 0.911
330510 43.0 0.000184 0.873
330511 43.5 0.0001725 0.866
330512 44.0 0.0001618 0.875
330513 44.5 0.0001517 0.89
330514 45.0 0.0001423 0.929
330515 45.5 0.0001322 0.965
330516 46.0 0.0001228 1.028
330517 46.5 0.0001141 1.023
330518 47.0 0.000106 1.019
330519 47.5 9.848e-05 1.034
330520 48.0 9.15e-05 1.054
330521 48.5 8.501e-05 1.022
330522 49.0 7.899e-05 1.0
330523 49.5 7.339e-05 0.993
330524 50.0 6.82e-05 1.019
330525 50.5 6.294e-05 0.995
330526 51.0 5.809e-05 1.037
330527 51.5 5.362e-05 1.005
330528 52.0 4.949e-05 0.981
330529 52.5 4.568e-05 0.957
330530 53.0 4.216e-05 0.947
330531 53.5 3.892e-05 0.935
330532 54.0 3.592e-05 0.957
330533 54.5 3.316e-05 0.96
330534 55.0 3.061e-05 0.971
330535 55.5 2.859e-05 0.966
330536 56.0 2.67e-05 0.939
330537 56.5 2.494e-05 0.937
330538 57.0 2.33e-05 0.967
330539 57.5 2.177e-05 0.974
330540 58.0 2.033e-05 0.972
330541 58.5 1.899e-05 1.014
330542 59.0 1.774e-05 0.994
330543 59.5 1.657e-05 1.022
330544 60.0 1.548e-05 1.056
330545 60.5 1.454e-05 1.085
330546 61.0 1.366e-05 1.146
330547 61.5 1.283e-05 1.153
330548 62.0 1.205e-05 1.129
330549 62.5 1.132e-05 1.122
330550 63.0 1.064e-05 1.107
330551 63.5 9.99e-06 1.102
330552 64.0 9.385e-06 1.123
330553 64.5 8.816e-06 1.072
330554 65.0 8.297e-06 1.063
330555 65.5 7.774e-06 1.043
330556 66.0 7.285e-06 1.017
330557 66.5 6.827e-06 1.089
330558 67.0 6.398e-06 1.138
330559 67.5 5.996e-06 1.14
330560 68.0 5.619e-06 1.134
330561 68.5 5.267e-06 1.121
330562 69.0 4.936e-06 1.119
330563 69.5 4.627e-06 1.128
330564 70.0 4.352e-06 1.1
330565 70.5 4.07e-06 1.072
330566 71.0 3.806e-06 1.13
330567 71.5 3.559e-06 1.168
330568 72.0 3.328e-06 1.161
330569 72.5 3.112e-06 1.059
330570 73.0 2.911e-06 1.085
330571 73.5 2.722e-06 1.033
330572 74.0 2.546e-06 1.023
330573 74.5 2.381e-06 1.061
330574 75.0 2.226e-06 1.131
330575 75.5 2.07e-06 1.176
330576 76.0 1.925e-06 1.265
330577 76.5 1.791e-06 1.34
330578 77.0 1.666e-06 1.359
330579 77.5 1.551e-06 1.267
330580 78.0 1.444e-06 1.244
330581 78.5 1.345e-06 1.17
330582 79.0 1.253e-06 1.151
330583 79.5 1.168e-06 1.211
330584 80.0 1.089e-06 1.262
330585 80.5 1.017e-06 1.204
330586 81.0 9.512e-07 1.223
330587 81.5 8.895e-07 1.282
330588 82.0 8.319e-07 1.19
330589 82.5 7.78e-07 1.255
330590 83.0 7.276e-07 1.105
330591 83.5 6.805e-07 1.16
330592 84.0 6.364e-07 1.12
330593 84.5 5.953e-07 1.126
330594 85.0 5.568e-07 1.19
