 HgtMOLA Denkgm3 DensP
99448 0.0 0.01466 0.994
99449 0.5 0.01394 0.985
99450 1.0 0.01327 0.981
99451 1.5 0.01274 0.98
99452 2.0 0.01223 0.975
99453 2.5 0.01171 0.979
99454 3.0 0.01122 0.976
99455 3.5 0.01073 0.957
99456 4.0 0.01027 0.968
99457 4.5 0.00982 0.968
99458 5.0 0.009393 0.967
99459 5.5 0.008985 0.974
99460 6.0 0.008594 0.974
99461 6.5 0.008223 0.977
99462 7.0 0.007868 0.976
99463 7.5 0.00753 0.976
99464 8.0 0.007206 0.976
99465 8.5 0.006897 0.974
99466 9.0 0.006602 0.966
99467 9.5 0.006318 0.955
99468 10.0 0.006047 0.957
99469 10.5 0.005785 0.959
99470 11.0 0.005535 0.956
99471 11.5 0.005295 0.962
99472 12.0 0.005067 0.968
99473 12.5 0.004848 0.979
99474 13.0 0.004639 0.973
99475 13.5 0.004439 0.977
99476 14.0 0.004248 0.967
99477 14.5 0.004065 0.956
99478 15.0 0.003891 0.954
99479 15.5 0.003712 0.958
99480 16.0 0.003541 0.951
99481 16.5 0.003379 0.936
99482 17.0 0.003224 0.937
99483 17.5 0.003076 0.946
99484 18.0 0.002935 0.941
99485 18.5 0.002801 0.941
99486 19.0 0.002672 0.939
99487 19.5 0.00255 0.938
99488 20.0 0.002434 0.934
99489 20.5 0.002313 0.939
99490 21.0 0.002198 0.943
99491 21.5 0.002089 0.955
99492 22.0 0.001985 0.959
99493 22.5 0.001887 0.964
99494 23.0 0.001793 0.971
99495 23.5 0.001704 0.974
99496 24.0 0.00162 0.981
99497 24.5 0.00154 0.988
99498 25.0 0.001464 0.966
99499 25.5 0.001386 0.964
99500 26.0 0.001313 0.963
99501 26.5 0.001244 0.992
99502 27.0 0.001178 0.989
99503 27.5 0.001116 0.971
99504 28.0 0.001057 0.98
99505 28.5 0.001001 0.988
99506 29.0 0.0009483 0.969
99507 29.5 0.0008984 0.973
99508 30.0 0.000851 0.964
99509 30.5 0.0008045 0.928
99510 31.0 0.0007606 0.943
99511 31.5 0.0007191 0.938
99512 32.0 0.0006798 0.937
99513 32.5 0.0006427 0.941
99514 33.0 0.0006077 0.967
99515 33.5 0.0005745 0.962
99516 34.0 0.0005432 0.957
99517 34.5 0.0005136 0.981
99518 35.0 0.0004856 0.991
99519 35.5 0.0004579 0.983
99520 36.0 0.0004319 0.973
99521 36.5 0.0004073 0.974
99522 37.0 0.0003842 1.006
99523 37.5 0.0003624 1.022
99524 38.0 0.0003419 1.053
99525 38.5 0.0003226 1.07
99526 39.0 0.0003043 1.097
99527 39.5 0.0002872 1.104
99528 40.0 0.000271 1.103
99529 40.5 0.000254 1.114
99530 41.0 0.0002381 1.087
99531 41.5 0.0002232 1.071
99532 42.0 0.0002093 1.07
99533 42.5 0.0001962 1.054
99534 43.0 0.000184 1.046
99535 43.5 0.0001725 1.036
99536 44.0 0.0001618 1.013
99537 44.5 0.0001517 0.984
99538 45.0 0.0001423 0.991
99539 45.5 0.0001322 0.98
99540 46.0 0.0001228 0.982
99541 46.5 0.0001141 1.038
99542 47.0 0.000106 1.022
99543 47.5 9.848e-05 1.035
99544 48.0 9.15e-05 1.019
99545 48.5 8.501e-05 0.989
99546 49.0 7.899e-05 0.98
99547 49.5 7.339e-05 0.995
99548 50.0 6.82e-05 0.981
99549 50.5 6.294e-05 1.002
99550 51.0 5.809e-05 1.001
99551 51.5 5.362e-05 0.968
99552 52.0 4.949e-05 1.023
99553 52.5 4.568e-05 0.989
99554 53.0 4.216e-05 0.969
99555 53.5 3.892e-05 0.964
99556 54.0 3.592e-05 0.954
99557 54.5 3.316e-05 0.946
99558 55.0 3.061e-05 0.927
