 HgtMOLA Denkgm3 DensP
91428 0.0 0.01466 1.008
91429 0.5 0.01394 1.017
91430 1.0 0.01327 1.028
91431 1.5 0.01274 1.025
91432 2.0 0.01223 1.017
91433 2.5 0.01171 1.01
91434 3.0 0.01122 1.006
91435 3.5 0.01073 1.006
91436 4.0 0.01027 0.998
91437 4.5 0.00982 0.999
91438 5.0 0.009393 1.009
91439 5.5 0.008985 1.005
91440 6.0 0.008594 0.995
91441 6.5 0.008223 1.003
91442 7.0 0.007868 1.011
91443 7.5 0.00753 1.035
91444 8.0 0.007206 1.034
91445 8.5 0.006897 1.027
91446 9.0 0.006602 1.035
91447 9.5 0.006318 1.034
91448 10.0 0.006047 1.03
91449 10.5 0.005785 1.029
91450 11.0 0.005535 1.029
91451 11.5 0.005295 1.025
91452 12.0 0.005067 1.015
91453 12.5 0.004848 1.014
91454 13.0 0.004639 1.023
91455 13.5 0.004439 1.021
91456 14.0 0.004248 1.019
91457 14.5 0.004065 1.026
91458 15.0 0.003891 1.036
91459 15.5 0.003712 1.039
91460 16.0 0.003541 1.044
91461 16.5 0.003379 1.036
91462 17.0 0.003224 1.039
91463 17.5 0.003076 1.036
91464 18.0 0.002935 1.032
91465 18.5 0.002801 1.027
91466 19.0 0.002672 1.033
91467 19.5 0.00255 1.03
91468 20.0 0.002434 1.008
91469 20.5 0.002313 1.013
91470 21.0 0.002198 1.019
91471 21.5 0.002089 1.023
91472 22.0 0.001985 1.03
91473 22.5 0.001887 1.04
91474 23.0 0.001793 1.028
91475 23.5 0.001704 1.013
91476 24.0 0.00162 1.005
91477 24.5 0.00154 1.016
91478 25.0 0.001464 1.024
91479 25.5 0.001386 1.007
91480 26.0 0.001313 1.03
91481 26.5 0.001244 1.018
91482 27.0 0.001178 1.023
91483 27.5 0.001116 1.01
91484 28.0 0.001057 1.008
91485 28.5 0.001001 1.008
91486 29.0 0.0009483 1.007
91487 29.5 0.0008984 0.998
91488 30.0 0.000851 0.991
91489 30.5 0.0008045 0.976
91490 31.0 0.0007606 0.978
91491 31.5 0.0007191 1.007
91492 32.0 0.0006798 1.011
91493 32.5 0.0006427 1.013
91494 33.0 0.0006077 1.015
91495 33.5 0.0005745 1.018
91496 34.0 0.0005432 1.02
91497 34.5 0.0005136 1.057
91498 35.0 0.0004856 1.06
91499 35.5 0.0004579 1.054
91500 36.0 0.0004319 1.024
91501 36.5 0.0004073 1.019
91502 37.0 0.0003842 1.007
91503 37.5 0.0003624 0.98
91504 38.0 0.0003419 0.993
91505 38.5 0.0003226 0.976
91506 39.0 0.0003043 0.985
91507 39.5 0.0002872 0.989
91508 40.0 0.000271 0.978
91509 40.5 0.000254 0.96
91510 41.0 0.0002381 0.96
91511 41.5 0.0002232 0.936
91512 42.0 0.0002093 0.925
91513 42.5 0.0001962 0.949
91514 43.0 0.000184 0.966
91515 43.5 0.0001725 0.982
91516 44.0 0.0001618 1.011
91517 44.5 0.0001517 0.999
91518 45.0 0.0001423 1.014
91519 45.5 0.0001322 0.983
91520 46.0 0.0001228 0.964
91521 46.5 0.0001141 0.945
91522 47.0 0.000106 0.972
91523 47.5 9.848e-05 0.971
91524 48.0 9.15e-05 0.983
91525 48.5 8.501e-05 1.021
91526 49.0 7.899e-05 1.032
91527 49.5 7.339e-05 1.015
91528 50.0 6.82e-05 1.015
91529 50.5 6.294e-05 1.021
91530 51.0 5.809e-05 1.041
91531 51.5 5.362e-05 1.048
91532 52.0 4.949e-05 1.067
91533 52.5 4.568e-05 1.092
91534 53.0 4.216e-05 1.122
91535 53.5 3.892e-05 1.127
91536 54.0 3.592e-05 1.079
91537 54.5 3.316e-05 1.112
91538 55.0 3.061e-05 1.1
91539 55.5 2.859e-05 1.086
91540 56.0 2.67e-05 1.165
91541 56.5 2.494e-05 1.15
91542 57.0 2.33e-05 1.19
91543 57.5 2.177e-05 1.181
91544 58.0 2.033e-05 1.158
91545 58.5 1.899e-05 1.16
91546 59.0 1.774e-05 1.155
91547 59.5 1.657e-05 1.159
91548 60.0 1.548e-05 1.149
