 HgtMOLA Denkgm3 DensP
953177 0.0 0.01466 0.986
953178 0.5 0.01394 0.988
953179 1.0 0.01327 0.995
953180 1.5 0.01274 0.996
953181 2.0 0.01223 0.986
953182 2.5 0.01171 0.992
953183 3.0 0.01122 1.009
953184 3.5 0.01073 1.013
953185 4.0 0.01027 1.005
953186 4.5 0.00982 1.009
953187 5.0 0.009393 1.001
953188 5.5 0.008985 1.006
953189 6.0 0.008594 1.005
953190 6.5 0.008223 1.003
953191 7.0 0.007868 1.0
953192 7.5 0.00753 0.997
953193 8.0 0.007206 0.989
953194 8.5 0.006897 0.999
953195 9.0 0.006602 0.999
953196 9.5 0.006318 0.996
953197 10.0 0.006047 0.985
953198 10.5 0.005785 0.976
953199 11.0 0.005535 0.97
953200 11.5 0.005295 0.979
953201 12.0 0.005067 0.987
953202 12.5 0.004848 0.991
953203 13.0 0.004639 0.987
953204 13.5 0.004439 0.989
953205 14.0 0.004248 0.988
953206 14.5 0.004065 0.994
953207 15.0 0.003891 0.992
953208 15.5 0.003712 0.99
953209 16.0 0.003541 0.993
953210 16.5 0.003379 0.991
953211 17.0 0.003224 1.001
953212 17.5 0.003076 0.995
953213 18.0 0.002935 1.001
953214 18.5 0.002801 0.997
953215 19.0 0.002672 0.996
953216 19.5 0.00255 0.987
953217 20.0 0.002434 0.977
953218 20.5 0.002313 0.971
953219 21.0 0.002198 0.958
953220 21.5 0.002089 0.973
953221 22.0 0.001985 0.979
953222 22.5 0.001887 0.987
953223 23.0 0.001793 1.002
953224 23.5 0.001704 1.007
953225 24.0 0.00162 0.998
953226 24.5 0.00154 0.983
953227 25.0 0.001464 0.962
953228 25.5 0.001386 0.966
953229 26.0 0.001313 0.972
953230 26.5 0.001244 0.964
953231 27.0 0.001178 0.974
953232 27.5 0.001116 0.978
953233 28.0 0.001057 0.962
953234 28.5 0.001001 0.963
953235 29.0 0.0009483 0.969
953236 29.5 0.0008984 0.958
953237 30.0 0.000851 0.954
953238 30.5 0.0008045 0.951
953239 31.0 0.0007606 0.962
953240 31.5 0.0007191 0.955
953241 32.0 0.0006798 0.967
953242 32.5 0.0006427 0.986
953243 33.0 0.0006077 1.025
953244 33.5 0.0005745 0.999
953245 34.0 0.0005432 0.99
953246 34.5 0.0005136 0.973
953247 35.0 0.0004856 0.983
953248 35.5 0.0004579 0.995
953249 36.0 0.0004319 1.004
953250 36.5 0.0004073 1.024
953251 37.0 0.0003842 1.008
953252 37.5 0.0003624 0.956
953253 38.0 0.0003419 0.974
953254 38.5 0.0003226 0.964
953255 39.0 0.0003043 0.975
953256 39.5 0.0002872 0.992
953257 40.0 0.000271 0.973
953258 40.5 0.000254 0.959
953259 41.0 0.0002381 0.952
953260 41.5 0.0002232 0.915
953261 42.0 0.0002093 0.957
953262 42.5 0.0001962 0.944
953263 43.0 0.000184 0.93
953264 43.5 0.0001725 0.925
953265 44.0 0.0001618 0.912
953266 44.5 0.0001517 0.939
953267 45.0 0.0001423 0.911
953268 45.5 0.0001322 0.933
953269 46.0 0.0001228 0.924
953270 46.5 0.0001141 0.935
953271 47.0 0.000106 0.95
953272 47.5 9.848e-05 0.953
953273 48.0 9.15e-05 1.002
953274 48.5 8.501e-05 1.025
953275 49.0 7.899e-05 1.046
953276 49.5 7.339e-05 1.062
953277 50.0 6.82e-05 1.054
953278 50.5 6.294e-05 1.063
953279 51.0 5.809e-05 1.092
953280 51.5 5.362e-05 1.079
953281 52.0 4.949e-05 1.069
953282 52.5 4.568e-05 1.053
953283 53.0 4.216e-05 1.025
953284 53.5 3.892e-05 1.043
953285 54.0 3.592e-05 1.016
953286 54.5 3.316e-05 1.063
953287 55.0 3.061e-05 1.083
953288 55.5 2.859e-05 1.049
953289 56.0 2.67e-05 1.04
953290 56.5 2.494e-05 1.074
953291 57.0 2.33e-05 1.054
953292 57.5 2.177e-05 1.06
953293 58.0 2.033e-05 1.064
953294 58.5 1.899e-05 1.065
953295 59.0 1.774e-05 1.078
953296 59.5 1.657e-05 1.111
953297 60.0 1.548e-05 1.113
953298 60.5 1.454e-05 1.091
953299 61.0 1.366e-05 1.122
953300 61.5 1.283e-05 1.1
953301 62.0 1.205e-05 1.14
953302 62.5 1.132e-05 1.148
953303 63.0 1.064e-05 1.205
953304 63.5 9.99e-06 1.183
953305 64.0 9.385e-06 1.189
953306 64.5 8.816e-06 1.173
953307 65.0 8.297e-06 1.172
953308 65.5 7.774e-06 1.122
953309 66.0 7.285e-06 1.031
953310 66.5 6.827e-06 0.995
953311 67.0 6.398e-06 0.982
953312 67.5 5.996e-06 1.057
953313 68.0 5.619e-06 1.078
953314 68.5 5.267e-06 1.038
953315 69.0 4.936e-06 0.997
953316 69.5 4.627e-06 0.996
953317 70.0 4.352e-06 0.939
953318 70.5 4.07e-06 0.875
953319 71.0 3.806e-06 0.879
953320 71.5 3.559e-06 0.85
953321 72.0 3.328e-06 0.889
953322 72.5 3.112e-06 0.933
953323 73.0 2.911e-06 0.932
953324 73.5 2.722e-06 0.945
953325 74.0 2.546e-06 0.947
953326 74.5 2.381e-06 0.864
953327 75.0 2.226e-06 0.884
953328 75.5 2.07e-06 0.853
953329 76.0 1.925e-06 0.924
953330 76.5 1.791e-06 0.977
953331 77.0 1.666e-06 0.969
953332 77.5 1.551e-06 1.054
953333 78.0 1.444e-06 1.091
953334 78.5 1.345e-06 1.07
953335 79.0 1.253e-06 1.037
953336 79.5 1.168e-06 1.021
953337 80.0 1.089e-06 0.987
953338 80.5 1.017e-06 0.982
953339 81.0 9.512e-07 1.044
953340 81.5 8.895e-07 1.083
953341 82.0 8.319e-07 1.037
953342 82.5 7.78e-07 1.108
953343 83.0 7.276e-07 1.177
953344 83.5 6.805e-07 1.214
953345 84.0 6.364e-07 1.272
953346 84.5 5.953e-07 1.229
953347 85.0 5.568e-07 1.196
953348 85.5 5.2e-07 1.211
953349 86.0 4.85e-07 1.142
953350 86.5 4.524e-07 1.304
953351 87.0 4.22e-07 1.245
953352 87.5 3.936e-07 1.288
953353 88.0 3.672e-07 1.224
953354 88.5 3.425e-07 1.24
953355 89.0 3.195e-07 1.187
953356 89.5 2.981e-07 1.233
953357 90.0 2.781e-07 1.182
953358 90.5 2.589e-07 1.127
953359 91.0 2.407e-07 1.175
953360 91.5 2.237e-07 1.175
953361 92.0 2.08e-07 1.206
953362 92.5 1.933e-07 1.244
953363 93.0 1.797e-07 1.275
953364 93.5 1.67e-07 1.378
953365 94.0 1.553e-07 1.514
953366 94.5 1.444e-07 1.528
953367 95.0 1.342e-07 1.478
953368 95.5 1.246e-07 1.43
953369 96.0 1.155e-07 1.36
953370 96.5 1.071e-07 1.479
953371 97.0 9.93e-08 1.412
953372 97.5 9.207e-08 1.298
953373 98.0 8.538e-08 1.168
953374 98.5 7.917e-08 1.067
953375 99.0 7.341e-08 1.173
