 HgtMOLA Denkgm3 DensP
526112 0.0 0.01466 0.957
526113 0.5 0.01394 0.955
526114 1.0 0.01327 0.957
526115 1.5 0.01274 0.959
526116 2.0 0.01223 0.973
526117 2.5 0.01171 0.967
526118 3.0 0.01122 0.979
526119 3.5 0.01073 0.98
526120 4.0 0.01027 0.985
526121 4.5 0.00982 0.981
526122 5.0 0.009393 0.981
526123 5.5 0.008985 0.984
526124 6.0 0.008594 0.996
526125 6.5 0.008223 0.989
526126 7.0 0.007868 0.979
526127 7.5 0.00753 0.976
526128 8.0 0.007206 0.985
526129 8.5 0.006897 0.995
526130 9.0 0.006602 1.007
526131 9.5 0.006318 0.993
526132 10.0 0.006047 0.995
526133 10.5 0.005785 1.005
526134 11.0 0.005535 1.009
526135 11.5 0.005295 0.991
526136 12.0 0.005067 0.997
526137 12.5 0.004848 0.995
526138 13.0 0.004639 1.006
526139 13.5 0.004439 1.005
526140 14.0 0.004248 1.003
526141 14.5 0.004065 0.991
526142 15.0 0.003891 0.983
526143 15.5 0.003712 0.982
526144 16.0 0.003541 0.977
526145 16.5 0.003379 1.002
526146 17.0 0.003224 1.01
526147 17.5 0.003076 1.019
526148 18.0 0.002935 1.024
526149 18.5 0.002801 1.03
526150 19.0 0.002672 1.033
526151 19.5 0.00255 1.03
526152 20.0 0.002434 1.027
526153 20.5 0.002313 1.022
526154 21.0 0.002198 1.031
526155 21.5 0.002089 1.039
526156 22.0 0.001985 1.025
526157 22.5 0.001887 1.022
526158 23.0 0.001793 1.007
526159 23.5 0.001704 1.021
526160 24.0 0.00162 1.007
526161 24.5 0.00154 0.991
526162 25.0 0.001464 0.992
526163 25.5 0.001386 1.001
526164 26.0 0.001313 0.992
526165 26.5 0.001244 1.001
526166 27.0 0.001178 0.994
526167 27.5 0.001116 0.988
526168 28.0 0.001057 0.994
526169 28.5 0.001001 0.982
526170 29.0 0.0009483 0.948
526171 29.5 0.0008984 0.94
526172 30.0 0.000851 0.944
526173 30.5 0.0008045 0.952
526174 31.0 0.0007606 0.97
526175 31.5 0.0007191 0.969
526176 32.0 0.0006798 0.981
526177 32.5 0.0006427 0.973
526178 33.0 0.0006077 0.95
526179 33.5 0.0005745 0.963
526180 34.0 0.0005432 0.951
526181 34.5 0.0005136 0.933
526182 35.0 0.0004856 0.944
526183 35.5 0.0004579 0.907
526184 36.0 0.0004319 0.913
526185 36.5 0.0004073 0.927
526186 37.0 0.0003842 0.939
526187 37.5 0.0003624 0.956
526188 38.0 0.0003419 0.972
526189 38.5 0.0003226 0.979
526190 39.0 0.0003043 0.977
526191 39.5 0.0002872 0.963
526192 40.0 0.000271 0.962
526193 40.5 0.000254 0.957
526194 41.0 0.0002381 0.944
526195 41.5 0.0002232 0.946
526196 42.0 0.0002093 0.958
526197 42.5 0.0001962 0.98
526198 43.0 0.000184 1.002
