 HgtMOLA Denkgm3 DensP
1316082 0.0 0.01466 1.007
1316083 0.5 0.01394 1.014
1316084 1.0 0.01327 1.011
1316085 1.5 0.01274 1.008
1316086 2.0 0.01223 1.011
1316087 2.5 0.01171 1.007
1316088 3.0 0.01122 0.997
1316089 3.5 0.01073 0.99
1316090 4.0 0.01027 0.996
1316091 4.5 0.00982 0.997
1316092 5.0 0.009393 1.004
1316093 5.5 0.008985 0.998
1316094 6.0 0.008594 0.995
1316095 6.5 0.008223 0.993
1316096 7.0 0.007868 1.008
1316097 7.5 0.00753 1.015
1316098 8.0 0.007206 1.021
1316099 8.5 0.006897 1.022
1316100 9.0 0.006602 1.032
1316101 9.5 0.006318 1.045
1316102 10.0 0.006047 1.043
1316103 10.5 0.005785 1.042
1316104 11.0 0.005535 1.05
1316105 11.5 0.005295 1.055
1316106 12.0 0.005067 1.072
1316107 12.5 0.004848 1.076
1316108 13.0 0.004639 1.072
1316109 13.5 0.004439 1.078
1316110 14.0 0.004248 1.068
1316111 14.5 0.004065 1.07
1316112 15.0 0.003891 1.055
1316113 15.5 0.003712 1.046
1316114 16.0 0.003541 1.028
1316115 16.5 0.003379 1.029
1316116 17.0 0.003224 1.032
1316117 17.5 0.003076 1.038
1316118 18.0 0.002935 1.04
1316119 18.5 0.002801 1.038
1316120 19.0 0.002672 1.046
1316121 19.5 0.00255 1.043
1316122 20.0 0.002434 1.03
1316123 20.5 0.002313 1.027
1316124 21.0 0.002198 1.026
1316125 21.5 0.002089 1.021
1316126 22.0 0.001985 1.035
1316127 22.5 0.001887 1.055
1316128 23.0 0.001793 1.057
1316129 23.5 0.001704 1.048
1316130 24.0 0.00162 1.041
1316131 24.5 0.00154 1.038
1316132 25.0 0.001464 1.035
1316133 25.5 0.001386 1.026
1316134 26.0 0.001313 1.026
1316135 26.5 0.001244 1.039
1316136 27.0 0.001178 1.026
1316137 27.5 0.001116 1.015
1316138 28.0 0.001057 0.997
1316139 28.5 0.001001 1.019
1316140 29.0 0.0009483 1.015
1316141 29.5 0.0008984 1.011
1316142 30.0 0.000851 0.995
1316143 30.5 0.0008045 0.992
1316144 31.0 0.0007606 0.989
1316145 31.5 0.0007191 0.998
1316146 32.0 0.0006798 0.995
1316147 32.5 0.0006427 0.972
1316148 33.0 0.0006077 0.989
1316149 33.5 0.0005745 0.968
1316150 34.0 0.0005432 0.97
1316151 34.5 0.0005136 0.958
1316152 35.0 0.0004856 0.958
1316153 35.5 0.0004579 0.964
1316154 36.0 0.0004319 0.975
1316155 36.5 0.0004073 0.958
1316156 37.0 0.0003842 0.961
1316157 37.5 0.0003624 0.969
1316158 38.0 0.0003419 0.979
1316159 38.5 0.0003226 0.979
1316160 39.0 0.0003043 0.963
1316161 39.5 0.0002872 0.973
