 HgtMOLA Denkgm3 DensP
1467660 0.0 0.01466 0.999
1467661 0.5 0.01394 1.007
1467662 1.0 0.01327 0.999
1467663 1.5 0.01274 0.998
1467664 2.0 0.01223 0.991
1467665 2.5 0.01171 0.998
1467666 3.0 0.01122 1.001
1467667 3.5 0.01073 0.995
1467668 4.0 0.01027 0.999
1467669 4.5 0.00982 1.002
1467670 5.0 0.009393 1.006
1467671 5.5 0.008985 1.017
1467672 6.0 0.008594 1.013
1467673 6.5 0.008223 1.017
1467674 7.0 0.007868 1.021
1467675 7.5 0.00753 1.019
1467676 8.0 0.007206 1.021
1467677 8.5 0.006897 1.033
1467678 9.0 0.006602 1.028
1467679 9.5 0.006318 1.017
1467680 10.0 0.006047 1.013
1467681 10.5 0.005785 1.027
1467682 11.0 0.005535 1.026
1467683 11.5 0.005295 1.024
1467684 12.0 0.005067 1.01
1467685 12.5 0.004848 1.004
1467686 13.0 0.004639 0.995
1467687 13.5 0.004439 0.985
1467688 14.0 0.004248 0.984
1467689 14.5 0.004065 0.987
1467690 15.0 0.003891 0.976
1467691 15.5 0.003712 0.966
1467692 16.0 0.003541 0.966
1467693 16.5 0.003379 0.97
1467694 17.0 0.003224 0.965
1467695 17.5 0.003076 0.98
1467696 18.0 0.002935 0.968
1467697 18.5 0.002801 0.986
1467698 19.0 0.002672 0.993
1467699 19.5 0.00255 0.98
1467700 20.0 0.002434 0.983
1467701 20.5 0.002313 0.994
1467702 21.0 0.002198 0.979
1467703 21.5 0.002089 0.986
1467704 22.0 0.001985 1.0
1467705 22.5 0.001887 1.015
1467706 23.0 0.001793 0.998
1467707 23.5 0.001704 1.009
1467708 24.0 0.00162 1.018
1467709 24.5 0.00154 0.997
1467710 25.0 0.001464 1.012
1467711 25.5 0.001386 1.013
1467712 26.0 0.001313 0.99
1467713 26.5 0.001244 0.975
1467714 27.0 0.001178 0.967
1467715 27.5 0.001116 0.945
1467716 28.0 0.001057 0.972
1467717 28.5 0.001001 0.971
1467718 29.0 0.0009483 0.963
1467719 29.5 0.0008984 0.942
1467720 30.0 0.000851 0.941
1467721 30.5 0.0008045 0.917
1467722 31.0 0.0007606 0.938
1467723 31.5 0.0007191 0.931
1467724 32.0 0.0006798 0.926
1467725 32.5 0.0006427 0.941
1467726 33.0 0.0006077 0.963
1467727 33.5 0.0005745 0.957
1467728 34.0 0.0005432 0.949
1467729 34.5 0.0005136 0.965
1467730 35.0 0.0004856 0.968
1467731 35.5 0.0004579 0.97
1467732 36.0 0.0004319 0.944
1467733 36.5 0.0004073 0.963
1467734 37.0 0.0003842 0.963
1467735 37.5 0.0003624 0.954
1467736 38.0 0.0003419 0.938
1467737 38.5 0.0003226 0.94
1467738 39.0 0.0003043 0.937
1467739 39.5 0.0002872 0.904
1467740 40.0 0.000271 0.926
1467741 40.5 0.000254 0.944
1467742 41.0 0.0002381 0.933
1467743 41.5 0.0002232 0.913
1467744 42.0 0.0002093 0.889
1467745 42.5 0.0001962 0.896
1467746 43.0 0.000184 0.909
1467747 43.5 0.0001725 0.897
1467748 44.0 0.0001618 0.883
1467749 44.5 0.0001517 0.878
1467750 45.0 0.0001423 0.89
1467751 45.5 0.0001322 0.936
1467752 46.0 0.0001228 0.989
1467753 46.5 0.0001141 1.009
1467754 47.0 0.000106 0.987
1467755 47.5 9.848e-05 1.014
1467756 48.0 9.15e-05 0.996
1467757 48.5 8.501e-05 0.966
1467758 49.0 7.899e-05 0.929
1467759 49.5 7.339e-05 0.893
1467760 50.0 6.82e-05 0.884
1467761 50.5 6.294e-05 0.879
1467762 51.0 5.809e-05 0.893
1467763 51.5 5.362e-05 0.919
1467764 52.0 4.949e-05 0.889
1467765 52.5 4.568e-05 0.871
1467766 53.0 4.216e-05 0.874
1467767 53.5 3.892e-05 0.891
1467768 54.0 3.592e-05 0.861
1467769 54.5 3.316e-05 0.86
1467770 55.0 3.061e-05 0.838
1467771 55.5 2.859e-05 0.851
1467772 56.0 2.67e-05 0.886
1467773 56.5 2.494e-05 0.899
1467774 57.0 2.33e-05 0.942
1467775 57.5 2.177e-05 0.927
1467776 58.0 2.033e-05 0.92
1467777 58.5 1.899e-05 0.934
1467778 59.0 1.774e-05 0.929
1467779 59.5 1.657e-05 0.922
1467780 60.0 1.548e-05 0.923
1467781 60.5 1.454e-05 0.879
1467782 61.0 1.366e-05 0.854
1467783 61.5 1.283e-05 0.912
1467784 62.0 1.205e-05 0.952
1467785 62.5 1.132e-05 0.981
1467786 63.0 1.064e-05 0.97
1467787 63.5 9.99e-06 1.04
1467788 64.0 9.385e-06 0.999
1467789 64.5 8.816e-06 1.04
1467790 65.0 8.297e-06 1.002
1467791 65.5 7.774e-06 1.031
1467792 66.0 7.285e-06 0.996
1467793 66.5 6.827e-06 1.058
1467794 67.0 6.398e-06 0.949
1467795 67.5 5.996e-06 0.866
1467796 68.0 5.619e-06 0.921
1467797 68.5 5.267e-06 0.86
1467798 69.0 4.936e-06 0.858
1467799 69.5 4.627e-06 0.892
1467800 70.0 4.352e-06 0.89
1467801 70.5 4.07e-06 0.868
1467802 71.0 3.806e-06 0.816
1467803 71.5 3.559e-06 0.788
1467804 72.0 3.328e-06 0.84
1467805 72.5 3.112e-06 0.846
1467806 73.0 2.911e-06 0.826
1467807 73.5 2.722e-06 0.846
1467808 74.0 2.546e-06 0.778
1467809 74.5 2.381e-06 0.804
1467810 75.0 2.226e-06 0.717
1467811 75.5 2.07e-06 0.735
1467812 76.0 1.925e-06 0.816
1467813 76.5 1.791e-06 0.877
1467814 77.0 1.666e-06 0.876
1467815 77.5 1.551e-06 0.934
1467816 78.0 1.444e-06 1.059
1467817 78.5 1.345e-06 1.043
1467818 79.0 1.253e-06 1.105
1467819 79.5 1.168e-06 1.167
1467820 80.0 1.089e-06 1.199
1467821 80.5 1.017e-06 1.104
1467822 81.0 9.512e-07 1.152
1467823 81.5 8.895e-07 1.147
1467824 82.0 8.319e-07 1.146
1467825 82.5 7.78e-07 1.101
1467826 83.0 7.276e-07 1.095
1467827 83.5 6.805e-07 1.14
1467828 84.0 6.364e-07 1.179
1467829 84.5 5.953e-07 1.264
1467830 85.0 5.568e-07 1.23
1467831 85.5 5.2e-07 1.225
1467832 86.0 4.85e-07 1.326
1467833 86.5 4.524e-07 1.333
1467834 87.0 4.22e-07 1.328
1467835 87.5 3.936e-07 1.162
1467836 88.0 3.672e-07 1.065
1467837 88.5 3.425e-07 1.042
1467838 89.0 3.195e-07 0.999
1467839 89.5 2.981e-07 0.981
1467840 90.0 2.781e-07 0.985
1467841 90.5 2.589e-07 0.959
1467842 91.0 2.407e-07 0.865
1467843 91.5 2.237e-07 0.789
1467844 92.0 2.08e-07 0.832
1467845 92.5 1.933e-07 0.886
1467846 93.0 1.797e-07 0.831
1467847 93.5 1.67e-07 0.806
1467848 94.0 1.553e-07 0.835
1467849 94.5 1.444e-07 0.978
1467850 95.0 1.342e-07 1.047
1467851 95.5 1.246e-07 1.054
1467852 96.0 1.155e-07 1.036
1467853 96.5 1.071e-07 1.044
1467854 97.0 9.93e-08 0.959
1467855 97.5 9.207e-08 0.836
1467856 98.0 8.538e-08 0.927
1467857 98.5 7.917e-08 0.951
1467858 99.0 7.341e-08 0.947
1467859 99.5 6.808e-08 0.846
1467860 100.0 6.314e-08 0.851
1467861 100.5 5.852e-08 0.766
1467862 101.0 5.421e-08 0.941
1467863 101.5 5.022e-08 0.809
1467864 102.0 4.652e-08 0.923
1467865 102.5 4.31e-08 0.923
1467866 103.0 3.992e-08 0.973
1467867 103.5 3.698e-08 0.971
1467868 104.0 3.426e-08 0.84
1467869 104.5 3.174e-08 1.015
1467870 105.0 2.94e-08 1.232
1467871 105.5 2.719e-08 1.257
1467872 106.0 2.511e-08 1.335
1467873 106.5 2.318e-08 1.362
1467874 107.0 2.141e-08 1.385
1467875 107.5 1.977e-08 1.364
1467876 108.0 1.825e-08 1.293
1467877 108.5 1.686e-08 1.138
1467878 109.0 1.557e-08 1.263
1467879 109.5 1.438e-08 1.137
1467880 110.0 1.328e-08 1.104
1467881 110.5 1.226e-08 1.042
1467882 111.0 1.131e-08 0.883
1467883 111.5 1.043e-08 0.9
1467884 112.0 9.628e-09 0.828
1467885 112.5 8.885e-09 0.833
1467886 113.0 8.199e-09 0.81
1467887 113.5 7.566e-09 0.808
1467888 114.0 6.983e-09 0.791
1467889 114.5 6.444e-09 0.83
1467890 115.0 5.947e-09 0.823
1467891 115.5 5.508e-09 0.625
1467892 116.0 5.115e-09 0.603
1467893 116.5 4.751e-09 0.463
1467894 117.0 4.413e-09 0.484
1467895 117.5 4.1e-09 0.305
1467896 118.0 3.809e-09 0.382
1467897 118.5 3.538e-09 0.37
1467898 119.0 3.288e-09 0.452
1467899 119.5 3.055e-09 0.501
1467900 120.0 2.839e-09 0.523
1467901 120.5 2.642e-09 0.525
1467902 121.0 2.462e-09 0.554
1467903 121.5 2.294e-09 0.645
1467904 122.0 2.138e-09 0.492
1467905 122.5 1.992e-09 0.438
1467906 123.0 1.857e-09 0.312
1467907 123.5 1.731e-09 0.393
1467908 124.0 1.613e-09 0.4
1467909 124.5 1.504e-09 0.433
1467910 125.0 1.402e-09 0.381
1467911 125.5 1.31e-09 0.278
1467912 126.0 1.227e-09 0.179
1467913 126.5 1.15e-09 0.199
1467914 127.0 1.077e-09 0.237
1467915 127.5 1.009e-09 0.274
1467916 128.0 9.451e-10 0.1
1467917 128.5 8.854e-10 0.192
1467918 129.0 8.295e-10 0.333
1467919 129.5 7.772e-10 0.191
1467920 130.0 7.281e-10 0.112
1467921 130.5 6.839e-10 0.16
1467922 131.0 6.437e-10 0.169
1467923 131.5 6.059e-10 0.246
1467924 132.0 5.703e-10 0.33
1467925 132.5 5.368e-10 0.266
1467926 133.0 5.053e-10 0.27
1467927 133.5 4.757e-10 0.222
1467928 134.0 4.478e-10 0.177
1467929 134.5 4.215e-10 0.304
1467930 135.0 3.968e-10 0.468
1467931 135.5 3.739e-10 0.64
1467932 136.0 3.527e-10 0.724
1467933 136.5 3.327e-10 1.037
1467934 137.0 3.139e-10 1.199
1467935 137.5 2.961e-10 1.188
1467936 138.0 2.793e-10 1.359
1467937 138.5 2.635e-10 1.102
1467938 139.0 2.485e-10 1.091
1467939 139.5 2.344e-10 1.246
1467940 140.0 2.212e-10 1.21
1467941 140.5 2.089e-10 1.173
1467942 141.0 1.976e-10 1.117
1467943 141.5 1.869e-10 1.323
1467944 142.0 1.768e-10 1.411
1467945 142.5 1.672e-10 1.594
1467946 143.0 1.582e-10 1.435
1467947 143.5 1.496e-10 1.554
1467948 144.0 1.415e-10 1.341
1467949 144.5 1.339e-10 1.321
1467950 145.0 1.266e-10 1.099
1467951 145.5 1.199e-10 1.047
1467952 146.0 1.137e-10 0.906
1467953 146.5 1.078e-10 0.703
1467954 147.0 1.022e-10 0.59
1467955 147.5 9.686e-11 0.591
1467956 148.0 9.182e-11 0.634
1467957 148.5 8.705e-11 0.68
1467958 149.0 8.252e-11 0.725
1467959 149.5 7.823e-11 0.936
1467960 150.0 7.416e-11 0.913
1467961 150.5 7.037e-11 0.99
1467962 151.0 6.681e-11 0.875
1467963 151.5 6.344e-11 0.993
1467964 152.0 6.023e-11 1.315
1467965 152.5 5.719e-11 1.176
1467966 153.0 5.43e-11 1.374
1467967 153.5 5.156e-11 1.271
1467968 154.0 4.896e-11 1.166
1467969 154.5 4.649e-11 1.344
1467970 155.0 4.414e-11 1.333
1467971 155.5 4.194e-11 1.249
1467972 156.0 3.987e-11 1.325
1467973 156.5 3.79e-11 1.474
1467974 157.0 3.603e-11 1.163
1467975 157.5 3.425e-11 1.202
1467976 158.0 3.256e-11 1.251
1467977 158.5 3.095e-11 1.122
1467978 159.0 2.942e-11 0.992
1467979 159.5 2.797e-11 1.092
1467980 160.0 2.659e-11 0.855
1467981 160.5 2.531e-11 0.965
1467982 161.0 2.41e-11 1.095
1467983 161.5 2.295e-11 1.082
1467984 162.0 2.185e-11 1.447
1467985 162.5 2.081e-11 1.385
1467986 163.0 1.982e-11 1.391
1467987 163.5 1.887e-11 1.181
1467988 164.0 1.797e-11 1.228
1467989 164.5 1.712e-11 1.005
1467990 165.0 1.63e-11 0.899
1467991 165.5 1.554e-11 1.04
1467992 166.0 1.482e-11 1.319
1467993 166.5 1.414e-11 1.284
1467994 167.0 1.348e-11 1.517
1467995 167.5 1.286e-11 1.803
1467996 168.0 1.227e-11 1.594
1467997 168.5 1.17e-11 1.629
1467998 169.0 1.116e-11 1.678
1467999 169.5 1.065e-11 1.727
1468000 170.0 1.016e-11 1.606
1468001 170.5 9.699e-12 1.37
1468002 171.0 9.269e-12 1.303
1468003 171.5 8.858e-12 1.121
1468004 172.0 8.466e-12 0.945
1468005 172.5 8.092e-12 0.977
1468006 173.0 7.734e-12 1.048
1468007 173.5 7.393e-12 1.026
1468008 174.0 7.067e-12 1.235
1468009 174.5 6.755e-12 1.191
1468010 175.0 6.457e-12 1.03
1468011 175.5 6.178e-12 0.888
1468012 176.0 5.915e-12 0.693
1468013 176.5 5.663e-12 0.691
1468014 177.0 5.422e-12 0.725
1468015 177.5 5.191e-12 0.652
1468016 178.0 4.97e-12 0.683
1468017 178.5 4.759e-12 0.596
1468018 179.0 4.557e-12 0.643
1468019 179.5 4.364e-12 0.712
1468020 180.0 4.179e-12 0.734
1468021 180.5 4.008e-12 0.741
1468022 181.0 3.85e-12 0.736
1468023 181.5 3.697e-12 0.907
1468024 182.0 3.551e-12 0.863
1468025 182.5 3.41e-12 0.801
1468026 183.0 3.276e-12 0.879
1468027 183.5 3.146e-12 0.835
1468028 184.0 3.022e-12 0.816
1468029 184.5 2.903e-12 0.751
1468030 185.0 2.788e-12 0.914
1468031 185.5 2.678e-12 0.91
1468032 186.0 2.574e-12 0.916
1468033 186.5 2.473e-12 0.9
1468034 187.0 2.377e-12 0.99
1468035 187.5 2.284e-12 1.164
1468036 188.0 2.195e-12 1.325
1468037 188.5 2.109e-12 1.364
1468038 189.0 2.027e-12 1.201
1468039 189.5 1.948e-12 1.392
1468040 190.0 1.873e-12 1.159
1468041 190.5 1.801e-12 0.966
1468042 191.0 1.734e-12 1.044
1468043 191.5 1.669e-12 1.093
1468044 192.0 1.606e-12 1.093
1468045 192.5 1.546e-12 1.06
1468046 193.0 1.488e-12 0.824
1468047 193.5 1.433e-12 0.912
1468048 194.0 1.379e-12 0.838
1468049 194.5 1.328e-12 0.642
1468050 195.0 1.278e-12 0.71
1468051 195.5 1.232e-12 0.75
