 HgtMOLA Denkgm3 DensP
1877081 0.0 0.01466 0.997
1877082 0.5 0.01394 0.997
1877083 1.0 0.01327 0.999
1877084 1.5 0.01274 0.993
1877085 2.0 0.01223 0.998
1877086 2.5 0.01171 0.991
1877087 3.0 0.01122 0.996
1877088 3.5 0.01073 0.991
1877089 4.0 0.01027 0.99
1877090 4.5 0.00982 0.988
1877091 5.0 0.009393 0.986
1877092 5.5 0.008985 0.984
1877093 6.0 0.008594 0.987
1877094 6.5 0.008223 0.981
1877095 7.0 0.007868 0.985
1877096 7.5 0.00753 0.987
1877097 8.0 0.007206 0.986
1877098 8.5 0.006897 0.987
1877099 9.0 0.006602 0.986
1877100 9.5 0.006318 0.99
1877101 10.0 0.006047 0.981
1877102 10.5 0.005785 0.979
1877103 11.0 0.005535 0.975
1877104 11.5 0.005295 0.966
1877105 12.0 0.005067 0.953
1877106 12.5 0.004848 0.959
1877107 13.0 0.004639 0.953
1877108 13.5 0.004439 0.956
1877109 14.0 0.004248 0.949
1877110 14.5 0.004065 0.929
1877111 15.0 0.003891 0.943
1877112 15.5 0.003712 0.944
1877113 16.0 0.003541 0.937
1877114 16.5 0.003379 0.942
1877115 17.0 0.003224 0.95
1877116 17.5 0.003076 0.954
1877117 18.0 0.002935 0.956
1877118 18.5 0.002801 0.976
1877119 19.0 0.002672 0.979
1877120 19.5 0.00255 0.977
1877121 20.0 0.002434 0.951
1877122 20.5 0.002313 0.937
1877123 21.0 0.002198 0.937
1877124 21.5 0.002089 0.95
1877125 22.0 0.001985 0.953
1877126 22.5 0.001887 0.955
1877127 23.0 0.001793 0.957
1877128 23.5 0.001704 0.949
1877129 24.0 0.00162 0.957
1877130 24.5 0.00154 0.95
1877131 25.0 0.001464 0.947
1877132 25.5 0.001386 0.95
1877133 26.0 0.001313 0.961
1877134 26.5 0.001244 0.97
1877135 27.0 0.001178 0.985
1877136 27.5 0.001116 0.997
1877137 28.0 0.001057 1.0
1877138 28.5 0.001001 1.01
1877139 29.0 0.0009483 1.012
1877140 29.5 0.0008984 0.995
1877141 30.0 0.000851 1.006
1877142 30.5 0.0008045 1.017
