 HgtMOLA Denkgm3 DensP
1866655 0.0 0.01466 1.021
1866656 0.5 0.01394 1.021
1866657 1.0 0.01327 1.013
1866658 1.5 0.01274 1.003
1866659 2.0 0.01223 1.007
1866660 2.5 0.01171 1.002
1866661 3.0 0.01122 1.008
1866662 3.5 0.01073 1.026
1866663 4.0 0.01027 1.034
1866664 4.5 0.00982 1.028
1866665 5.0 0.009393 1.029
1866666 5.5 0.008985 1.022
1866667 6.0 0.008594 1.029
1866668 6.5 0.008223 1.036
1866669 7.0 0.007868 1.033
1866670 7.5 0.00753 1.039
1866671 8.0 0.007206 1.022
1866672 8.5 0.006897 1.029
1866673 9.0 0.006602 1.026
1866674 9.5 0.006318 1.019
1866675 10.0 0.006047 1.032
1866676 10.5 0.005785 1.025
1866677 11.0 0.005535 1.022
1866678 11.5 0.005295 1.01
1866679 12.0 0.005067 1.005
1866680 12.5 0.004848 0.997
1866681 13.0 0.004639 1.005
1866682 13.5 0.004439 0.998
1866683 14.0 0.004248 0.999
1866684 14.5 0.004065 0.973
1866685 15.0 0.003891 0.981
1866686 15.5 0.003712 0.977
1866687 16.0 0.003541 0.986
1866688 16.5 0.003379 0.978
1866689 17.0 0.003224 0.982
1866690 17.5 0.003076 1.002
1866691 18.0 0.002935 0.995
1866692 18.5 0.002801 0.989
1866693 19.0 0.002672 0.986
1866694 19.5 0.00255 0.986
1866695 20.0 0.002434 0.985
1866696 20.5 0.002313 0.988
1866697 21.0 0.002198 0.987
1866698 21.5 0.002089 0.979
1866699 22.0 0.001985 0.976
1866700 22.5 0.001887 0.971
1866701 23.0 0.001793 0.977
1866702 23.5 0.001704 0.992
1866703 24.0 0.00162 0.979
1866704 24.5 0.00154 0.96
1866705 25.0 0.001464 0.967
1866706 25.5 0.001386 0.951
1866707 26.0 0.001313 0.952
1866708 26.5 0.001244 0.975
1866709 27.0 0.001178 1.011
1866710 27.5 0.001116 1.021
1866711 28.0 0.001057 1.007
1866712 28.5 0.001001 1.001
1866713 29.0 0.0009483 1.011
1866714 29.5 0.0008984 1.006
1866715 30.0 0.000851 0.998
1866716 30.5 0.0008045 0.989
1866717 31.0 0.0007606 0.997
1866718 31.5 0.0007191 0.982
1866719 32.0 0.0006798 0.946
1866720 32.5 0.0006427 0.948
1866721 33.0 0.0006077 0.943
1866722 33.5 0.0005745 0.943
1866723 34.0 0.0005432 0.949
1866724 34.5 0.0005136 0.96
1866725 35.0 0.0004856 0.967
1866726 35.5 0.0004579 0.977
1866727 36.0 0.0004319 0.97
1866728 36.5 0.0004073 0.976
1866729 37.0 0.0003842 0.963
1866730 37.5 0.0003624 0.958
1866731 38.0 0.0003419 0.962
1866732 38.5 0.0003226 0.954
1866733 39.0 0.0003043 0.964
1866734 39.5 0.0002872 0.982
1866735 40.0 0.000271 0.977
1866736 40.5 0.000254 1.011
1866737 41.0 0.0002381 1.006
1866738 41.5 0.0002232 1.016
1866739 42.0 0.0002093 0.98
1866740 42.5 0.0001962 0.966
1866741 43.0 0.000184 0.966
1866742 43.5 0.0001725 0.985
1866743 44.0 0.0001618 0.986
1866744 44.5 0.0001517 0.977
1866745 45.0 0.0001423 0.953
1866746 45.5 0.0001322 0.927
1866747 46.0 0.0001228 0.932
1866748 46.5 0.0001141 0.94
1866749 47.0 0.000106 0.94
1866750 47.5 9.848e-05 0.991
1866751 48.0 9.15e-05 1.008
1866752 48.5 8.501e-05 1.012
1866753 49.0 7.899e-05 1.023
1866754 49.5 7.339e-05 1.023
1866755 50.0 6.82e-05 1.067
1866756 50.5 6.294e-05 1.058
1866757 51.0 5.809e-05 1.055
1866758 51.5 5.362e-05 1.077
1866759 52.0 4.949e-05 1.059
1866760 52.5 4.568e-05 1.096
1866761 53.0 4.216e-05 1.077
1866762 53.5 3.892e-05 1.104
1866763 54.0 3.592e-05 1.132
1866764 54.5 3.316e-05 1.136
1866765 55.0 3.061e-05 1.124
1866766 55.5 2.859e-05 1.133
1866767 56.0 2.67e-05 1.165
1866768 56.5 2.494e-05 1.132
1866769 57.0 2.33e-05 1.147
1866770 57.5 2.177e-05 1.137
1866771 58.0 2.033e-05 1.108
1866772 58.5 1.899e-05 1.105
1866773 59.0 1.774e-05 1.147
1866774 59.5 1.657e-05 1.147
1866775 60.0 1.548e-05 1.16
1866776 60.5 1.454e-05 1.178
1866777 61.0 1.366e-05 1.147
1866778 61.5 1.283e-05 1.125
1866779 62.0 1.205e-05 1.145
1866780 62.5 1.132e-05 1.1
1866781 63.0 1.064e-05 1.068
1866782 63.5 9.99e-06 1.08
1866783 64.0 9.385e-06 1.079
1866784 64.5 8.816e-06 1.126
1866785 65.0 8.297e-06 1.156
1866786 65.5 7.774e-06 1.251
1866787 66.0 7.285e-06 1.293
1866788 66.5 6.827e-06 1.3
1866789 67.0 6.398e-06 1.216
1866790 67.5 5.996e-06 1.133
1866791 68.0 5.619e-06 1.096
1866792 68.5 5.267e-06 1.015
1866793 69.0 4.936e-06 0.954
1866794 69.5 4.627e-06 0.988
1866795 70.0 4.352e-06 0.971
1866796 70.5 4.07e-06 0.971
1866797 71.0 3.806e-06 0.994
1866798 71.5 3.559e-06 0.949
1866799 72.0 3.328e-06 0.924
1866800 72.5 3.112e-06 0.871
1866801 73.0 2.911e-06 0.854
1866802 73.5 2.722e-06 0.876
1866803 74.0 2.546e-06 0.918
1866804 74.5 2.381e-06 0.923
1866805 75.0 2.226e-06 0.993
1866806 75.5 2.07e-06 0.892
1866807 76.0 1.925e-06 0.914
1866808 76.5 1.791e-06 0.951
1866809 77.0 1.666e-06 0.929
1866810 77.5 1.551e-06 0.877
1866811 78.0 1.444e-06 0.83
1866812 78.5 1.345e-06 0.821
1866813 79.0 1.253e-06 0.835
1866814 79.5 1.168e-06 0.761
1866815 80.0 1.089e-06 0.73
1866816 80.5 1.017e-06 0.68
1866817 81.0 9.512e-07 0.71
1866818 81.5 8.895e-07 0.674
1866819 82.0 8.319e-07 0.689
1866820 82.5 7.78e-07 0.716
1866821 83.0 7.276e-07 0.749
1866822 83.5 6.805e-07 0.789
1866823 84.0 6.364e-07 0.852
1866824 84.5 5.953e-07 0.867
1866825 85.0 5.568e-07 0.907
1866826 85.5 5.2e-07 0.879
1866827 86.0 4.85e-07 1.016
1866828 86.5 4.524e-07 1.079
1866829 87.0 4.22e-07 1.023
1866830 87.5 3.936e-07 0.951
1866831 88.0 3.672e-07 0.929
1866832 88.5 3.425e-07 0.889
1866833 89.0 3.195e-07 0.847
1866834 89.5 2.981e-07 0.862
1866835 90.0 2.781e-07 0.816
1866836 90.5 2.589e-07 0.817
1866837 91.0 2.407e-07 0.963
1866838 91.5 2.237e-07 0.94
1866839 92.0 2.08e-07 0.839
1866840 92.5 1.933e-07 1.035
1866841 93.0 1.797e-07 1.125
1866842 93.5 1.67e-07 1.092
1866843 94.0 1.553e-07 1.141
1866844 94.5 1.444e-07 1.182
1866845 95.0 1.342e-07 0.968
1866846 95.5 1.246e-07 0.901
1866847 96.0 1.155e-07 1.019
1866848 96.5 1.071e-07 0.953
1866849 97.0 9.93e-08 0.933
1866850 97.5 9.207e-08 0.915
1866851 98.0 8.538e-08 0.913
1866852 98.5 7.917e-08 0.929
1866853 99.0 7.341e-08 0.94
1866854 99.5 6.808e-08 0.865
1866855 100.0 6.314e-08 0.998
1866856 100.5 5.852e-08 1.175
1866857 101.0 5.421e-08 1.328
1866858 101.5 5.022e-08 1.166
1866859 102.0 4.652e-08 1.279
1866860 102.5 4.31e-08 1.296
1866861 103.0 3.992e-08 1.263
1866862 103.5 3.698e-08 1.287
1866863 104.0 3.426e-08 1.398
1866864 104.5 3.174e-08 1.501
1866865 105.0 2.94e-08 1.316
1866866 105.5 2.719e-08 1.391
1866867 106.0 2.511e-08 1.271
1866868 106.5 2.318e-08 1.083
1866869 107.0 2.141e-08 1.12
1866870 107.5 1.977e-08 0.962
1866871 108.0 1.825e-08 0.906
1866872 108.5 1.686e-08 0.824
1866873 109.0 1.557e-08 0.812
1866874 109.5 1.438e-08 0.845
1866875 110.0 1.328e-08 0.693
1866876 110.5 1.226e-08 0.552
1866877 111.0 1.131e-08 0.548
1866878 111.5 1.043e-08 0.48
1866879 112.0 9.628e-09 0.411
1866880 112.5 8.885e-09 0.202
1866881 113.0 8.199e-09 0.192
1866882 113.5 7.566e-09 0.406
1866883 114.0 6.983e-09 0.503
1866884 114.5 6.444e-09 0.51
1866885 115.0 5.947e-09 0.493
1866886 115.5 5.508e-09 0.471
1866887 116.0 5.115e-09 0.527
1866888 116.5 4.751e-09 0.561
1866889 117.0 4.413e-09 0.499
1866890 117.5 4.1e-09 0.615
1866891 118.0 3.809e-09 0.756
1866892 118.5 3.538e-09 0.668
1866893 119.0 3.288e-09 0.681
1866894 119.5 3.055e-09 0.589
1866895 120.0 2.839e-09 0.507
1866896 120.5 2.642e-09 0.728
1866897 121.0 2.462e-09 0.876
1866898 121.5 2.294e-09 0.819
1866899 122.0 2.138e-09 0.889
1866900 122.5 1.992e-09 0.921
1866901 123.0 1.857e-09 0.917
1866902 123.5 1.731e-09 0.975
1866903 124.0 1.613e-09 0.933
1866904 124.5 1.504e-09 1.02
1866905 125.0 1.402e-09 0.878
1866906 125.5 1.31e-09 0.764
1866907 126.0 1.227e-09 0.639
1866908 126.5 1.15e-09 0.54
1866909 127.0 1.077e-09 0.501
1866910 127.5 1.009e-09 0.466
1866911 128.0 9.451e-10 0.505
1866912 128.5 8.854e-10 0.615
1866913 129.0 8.295e-10 0.72
1866914 129.5 7.772e-10 0.556
1866915 130.0 7.281e-10 0.52
1866916 130.5 6.839e-10 0.561
1866917 131.0 6.437e-10 0.415
1866918 131.5 6.059e-10 0.447
