 HgtMOLA Denkgm3 DensP
394985 0.0 0.01466 0.975
394986 0.5 0.01394 0.976
394987 1.0 0.01327 0.963
394988 1.5 0.01274 0.966
394989 2.0 0.01223 0.955
394990 2.5 0.01171 0.955
394991 3.0 0.01122 0.955
394992 3.5 0.01073 0.962
394993 4.0 0.01027 0.965
394994 4.5 0.00982 0.979
394995 5.0 0.009393 0.968
394996 5.5 0.008985 0.965
394997 6.0 0.008594 0.963
394998 6.5 0.008223 0.965
394999 7.0 0.007868 0.962
395000 7.5 0.00753 0.956
395001 8.0 0.007206 0.947
395002 8.5 0.006897 0.957
395003 9.0 0.006602 0.95
395004 9.5 0.006318 0.953
395005 10.0 0.006047 0.954
395006 10.5 0.005785 0.947
395007 11.0 0.005535 0.941
395008 11.5 0.005295 0.939
395009 12.0 0.005067 0.942
395010 12.5 0.004848 0.951
395011 13.0 0.004639 0.967
395012 13.5 0.004439 0.958
395013 14.0 0.004248 0.967
395014 14.5 0.004065 0.97
395015 15.0 0.003891 0.975
395016 15.5 0.003712 0.961
395017 16.0 0.003541 0.955
395018 16.5 0.003379 0.959
395019 17.0 0.003224 0.948
395020 17.5 0.003076 0.927
395021 18.0 0.002935 0.921
395022 18.5 0.002801 0.929
395023 19.0 0.002672 0.948
395024 19.5 0.00255 0.946
395025 20.0 0.002434 0.943
395026 20.5 0.002313 0.944
395027 21.0 0.002198 0.95
395028 21.5 0.002089 0.96
395029 22.0 0.001985 0.956
395030 22.5 0.001887 0.937
395031 23.0 0.001793 0.916
395032 23.5 0.001704 0.915
395033 24.0 0.00162 0.902
395034 24.5 0.00154 0.905
395035 25.0 0.001464 0.905
395036 25.5 0.001386 0.919
395037 26.0 0.001313 0.931
395038 26.5 0.001244 0.933
395039 27.0 0.001178 0.942
395040 27.5 0.001116 0.94
395041 28.0 0.001057 0.933
395042 28.5 0.001001 0.929
395043 29.0 0.0009483 0.958
395044 29.5 0.0008984 0.948
395045 30.0 0.000851 0.936
395046 30.5 0.0008045 0.948
395047 31.0 0.0007606 0.946
395048 31.5 0.0007191 0.951
395049 32.0 0.0006798 0.921
395050 32.5 0.0006427 0.933
395051 33.0 0.0006077 0.943
395052 33.5 0.0005745 0.925
395053 34.0 0.0005432 0.936
395054 34.5 0.0005136 0.922
395055 35.0 0.0004856 0.942
395056 35.5 0.0004579 0.954
395057 36.0 0.0004319 0.967
395058 36.5 0.0004073 0.98
395059 37.0 0.0003842 0.972
395060 37.5 0.0003624 0.947
395061 38.0 0.0003419 0.931
395062 38.5 0.0003226 0.922
395063 39.0 0.0003043 0.926
395064 39.5 0.0002872 0.938
395065 40.0 0.000271 0.942
395066 40.5 0.000254 0.95
395067 41.0 0.0002381 0.946
395068 41.5 0.0002232 0.941
395069 42.0 0.0002093 0.963
395070 42.5 0.0001962 0.93
395071 43.0 0.000184 0.904
395072 43.5 0.0001725 0.933
395073 44.0 0.0001618 0.912
395074 44.5 0.0001517 0.903
395075 45.0 0.0001423 0.87
395076 45.5 0.0001322 0.865
395077 46.0 0.0001228 0.874
395078 46.5 0.0001141 0.878
395079 47.0 0.000106 0.846
395080 47.5 9.848e-05 0.823
395081 48.0 9.15e-05 0.839
395082 48.5 8.501e-05 0.819
395083 49.0 7.899e-05 0.841
395084 49.5 7.339e-05 0.846
395085 50.0 6.82e-05 0.877
395086 50.5 6.294e-05 0.89
395087 51.0 5.809e-05 0.916
395088 51.5 5.362e-05 0.933
395089 52.0 4.949e-05 0.97
395090 52.5 4.568e-05 0.925
395091 53.0 4.216e-05 0.943
395092 53.5 3.892e-05 0.957
395093 54.0 3.592e-05 0.969
395094 54.5 3.316e-05 0.953
395095 55.0 3.061e-05 0.956
395096 55.5 2.859e-05 0.954
395097 56.0 2.67e-05 0.963
395098 56.5 2.494e-05 0.936
395099 57.0 2.33e-05 0.915
395100 57.5 2.177e-05 0.908
395101 58.0 2.033e-05 0.932
395102 58.5 1.899e-05 0.908
395103 59.0 1.774e-05 0.953
395104 59.5 1.657e-05 0.946
395105 60.0 1.548e-05 0.897
395106 60.5 1.454e-05 0.903
395107 61.0 1.366e-05 0.889
395108 61.5 1.283e-05 0.887
395109 62.0 1.205e-05 0.877
395110 62.5 1.132e-05 0.872
395111 63.0 1.064e-05 0.897
395112 63.5 9.99e-06 0.914
