 HgtMOLA Denkgm3 DensP
1473274 0.0 0.01466 0.981
1473275 0.5 0.01394 0.99
1473276 1.0 0.01327 0.994
1473277 1.5 0.01274 0.995
1473278 2.0 0.01223 1.005
1473279 2.5 0.01171 1.006
1473280 3.0 0.01122 1.008
1473281 3.5 0.01073 1.008
1473282 4.0 0.01027 1.008
1473283 4.5 0.00982 1.004
1473284 5.0 0.009393 1.009
1473285 5.5 0.008985 1.022
1473286 6.0 0.008594 1.03
1473287 6.5 0.008223 1.047
1473288 7.0 0.007868 1.042
1473289 7.5 0.00753 1.048
1473290 8.0 0.007206 1.054
1473291 8.5 0.006897 1.051
1473292 9.0 0.006602 1.042
1473293 9.5 0.006318 1.049
1473294 10.0 0.006047 1.053
1473295 10.5 0.005785 1.046
1473296 11.0 0.005535 1.05
1473297 11.5 0.005295 1.054
1473298 12.0 0.005067 1.064
1473299 12.5 0.004848 1.055
1473300 13.0 0.004639 1.048
1473301 13.5 0.004439 1.052
1473302 14.0 0.004248 1.041
1473303 14.5 0.004065 1.032
1473304 15.0 0.003891 1.039
1473305 15.5 0.003712 1.048
1473306 16.0 0.003541 1.055
1473307 16.5 0.003379 1.054
1473308 17.0 0.003224 1.05
1473309 17.5 0.003076 1.042
1473310 18.0 0.002935 1.049
1473311 18.5 0.002801 1.066
1473312 19.0 0.002672 1.057
1473313 19.5 0.00255 1.044
1473314 20.0 0.002434 1.041
1473315 20.5 0.002313 1.024
1473316 21.0 0.002198 1.06
1473317 21.5 0.002089 1.071
1473318 22.0 0.001985 1.055
1473319 22.5 0.001887 1.07
1473320 23.0 0.001793 1.053
1473321 23.5 0.001704 1.07
1473322 24.0 0.00162 1.081
1473323 24.5 0.00154 1.09
1473324 25.0 0.001464 1.09
1473325 25.5 0.001386 1.085
1473326 26.0 0.001313 1.091
1473327 26.5 0.001244 1.112
1473328 27.0 0.001178 1.112
1473329 27.5 0.001116 1.131
1473330 28.0 0.001057 1.127
1473331 28.5 0.001001 1.128
1473332 29.0 0.0009483 1.145
1473333 29.5 0.0008984 1.137
1473334 30.0 0.000851 1.12
1473335 30.5 0.0008045 1.109
1473336 31.0 0.0007606 1.122
1473337 31.5 0.0007191 1.106
1473338 32.0 0.0006798 1.1
1473339 32.5 0.0006427 1.119
1473340 33.0 0.0006077 1.097
1473341 33.5 0.0005745 1.118
1473342 34.0 0.0005432 1.105
1473343 34.5 0.0005136 1.125
1473344 35.0 0.0004856 1.118
1473345 35.5 0.0004579 1.103
1473346 36.0 0.0004319 1.087
1473347 36.5 0.0004073 1.064
1473348 37.0 0.0003842 1.038
1473349 37.5 0.0003624 1.055
1473350 38.0 0.0003419 1.039
1473351 38.5 0.0003226 1.032
1473352 39.0 0.0003043 1.019
1473353 39.5 0.0002872 1.036
1473354 40.0 0.000271 1.023
1473355 40.5 0.000254 1.023
1473356 41.0 0.0002381 1.058
1473357 41.5 0.0002232 1.054
1473358 42.0 0.0002093 1.049
1473359 42.5 0.0001962 1.065
1473360 43.0 0.000184 1.074
1473361 43.5 0.0001725 1.069
1473362 44.0 0.0001618 1.081
1473363 44.5 0.0001517 1.048
1473364 45.0 0.0001423 1.051
1473365 45.5 0.0001322 1.072
1473366 46.0 0.0001228 1.064
1473367 46.5 0.0001141 1.056
