 HgtMOLA Denkgm3 DensP
665660 0.0 0.01466 1.02
665661 0.5 0.01394 1.014
665662 1.0 0.01327 1.006
665663 1.5 0.01274 0.985
665664 2.0 0.01223 0.989
665665 2.5 0.01171 1.01
665666 3.0 0.01122 1.004
665667 3.5 0.01073 1.015
665668 4.0 0.01027 1.02
665669 4.5 0.00982 1.008
665670 5.0 0.009393 1.01
665671 5.5 0.008985 1.004
665672 6.0 0.008594 1.001
665673 6.5 0.008223 1.005
665674 7.0 0.007868 1.001
665675 7.5 0.00753 0.992
665676 8.0 0.007206 0.995
665677 8.5 0.006897 0.99
665678 9.0 0.006602 0.984
665679 9.5 0.006318 0.982
665680 10.0 0.006047 0.991
665681 10.5 0.005785 1.004
665682 11.0 0.005535 1.006
665683 11.5 0.005295 0.984
665684 12.0 0.005067 0.977
665685 12.5 0.004848 0.987
665686 13.0 0.004639 1.0
665687 13.5 0.004439 0.994
665688 14.0 0.004248 0.988
665689 14.5 0.004065 0.994
665690 15.0 0.003891 0.998
665691 15.5 0.003712 1.014
665692 16.0 0.003541 1.013
665693 16.5 0.003379 1.013
665694 17.0 0.003224 1.017
665695 17.5 0.003076 1.012
665696 18.0 0.002935 1.026
665697 18.5 0.002801 1.018
665698 19.0 0.002672 1.024
665699 19.5 0.00255 1.02
665700 20.0 0.002434 1.018
665701 20.5 0.002313 1.013
665702 21.0 0.002198 1.006
665703 21.5 0.002089 1.002
665704 22.0 0.001985 0.992
665705 22.5 0.001887 0.984
665706 23.0 0.001793 0.972
665707 23.5 0.001704 0.984
665708 24.0 0.00162 0.999
665709 24.5 0.00154 0.997
665710 25.0 0.001464 0.992
665711 25.5 0.001386 1.003
665712 26.0 0.001313 0.996
665713 26.5 0.001244 0.996
665714 27.0 0.001178 0.984
665715 27.5 0.001116 0.995
665716 28.0 0.001057 0.993
665717 28.5 0.001001 0.989
665718 29.0 0.0009483 0.991
665719 29.5 0.0008984 0.983
665720 30.0 0.000851 0.992
665721 30.5 0.0008045 0.984
665722 31.0 0.0007606 0.985
665723 31.5 0.0007191 0.992
665724 32.0 0.0006798 0.982
665725 32.5 0.0006427 0.975
665726 33.0 0.0006077 0.987
665727 33.5 0.0005745 0.985
665728 34.0 0.0005432 1.01
665729 34.5 0.0005136 0.99
665730 35.0 0.0004856 0.976
665731 35.5 0.0004579 0.964
665732 36.0 0.0004319 0.971
665733 36.5 0.0004073 0.991
665734 37.0 0.0003842 0.986
665735 37.5 0.0003624 1.035
665736 38.0 0.0003419 1.073
665737 38.5 0.0003226 1.065
665738 39.0 0.0003043 1.054
665739 39.5 0.0002872 1.004
665740 40.0 0.000271 1.028
665741 40.5 0.000254 1.016
665742 41.0 0.0002381 1.01
665743 41.5 0.0002232 1.02
665744 42.0 0.0002093 1.005
665745 42.5 0.0001962 1.07
665746 43.0 0.000184 1.054
665747 43.5 0.0001725 1.058
665748 44.0 0.0001618 1.032
665749 44.5 0.0001517 1.034
665750 45.0 0.0001423 1.021
665751 45.5 0.0001322 1.025
665752 46.0 0.0001228 1.072
665753 46.5 0.0001141 1.107
665754 47.0 0.000106 1.079
665755 47.5 9.848e-05 1.054
665756 48.0 9.15e-05 1.015
665757 48.5 8.501e-05 0.99
665758 49.0 7.899e-05 1.034
665759 49.5 7.339e-05 1.035
665760 50.0 6.82e-05 1.036
665761 50.5 6.294e-05 1.033
665762 51.0 5.809e-05 1.008
665763 51.5 5.362e-05 1.002
665764 52.0 4.949e-05 1.041
665765 52.5 4.568e-05 1.035
665766 53.0 4.216e-05 0.975
665767 53.5 3.892e-05 0.921
665768 54.0 3.592e-05 0.922
665769 54.5 3.316e-05 0.933
665770 55.0 3.061e-05 0.913
665771 55.5 2.859e-05 0.936
665772 56.0 2.67e-05 0.906
665773 56.5 2.494e-05 0.903
665774 57.0 2.33e-05 0.897
665775 57.5 2.177e-05 0.933
665776 58.0 2.033e-05 0.937
665777 58.5 1.899e-05 0.947
665778 59.0 1.774e-05 0.948
665779 59.5 1.657e-05 0.961
665780 60.0 1.548e-05 0.902
665781 60.5 1.454e-05 0.892
665782 61.0 1.366e-05 0.879
665783 61.5 1.283e-05 0.928
665784 62.0 1.205e-05 0.892
665785 62.5 1.132e-05 0.903
665786 63.0 1.064e-05 0.89
665787 63.5 9.99e-06 0.937
665788 64.0 9.385e-06 0.909
665789 64.5 8.816e-06 0.941
665790 65.0 8.297e-06 0.98
665791 65.5 7.774e-06 0.919
665792 66.0 7.285e-06 0.907
665793 66.5 6.827e-06 0.939
665794 67.0 6.398e-06 0.975
665795 67.5 5.996e-06 0.974
665796 68.0 5.619e-06 0.934
665797 68.5 5.267e-06 0.955
665798 69.0 4.936e-06 0.932
665799 69.5 4.627e-06 0.945
665800 70.0 4.352e-06 0.994
665801 70.5 4.07e-06 0.993
665802 71.0 3.806e-06 0.999
665803 71.5 3.559e-06 0.986
665804 72.0 3.328e-06 0.993
665805 72.5 3.112e-06 1.027
665806 73.0 2.911e-06 1.06
665807 73.5 2.722e-06 1.014
665808 74.0 2.546e-06 1.0
665809 74.5 2.381e-06 1.008
665810 75.0 2.226e-06 1.059
665811 75.5 2.07e-06 1.01
665812 76.0 1.925e-06 1.01
665813 76.5 1.791e-06 1.051
665814 77.0 1.666e-06 1.02
665815 77.5 1.551e-06 1.107
665816 78.0 1.444e-06 1.093
665817 78.5 1.345e-06 1.097
665818 79.0 1.253e-06 0.983
665819 79.5 1.168e-06 0.965
665820 80.0 1.089e-06 0.984
665821 80.5 1.017e-06 0.916
665822 81.0 9.512e-07 0.945
665823 81.5 8.895e-07 0.935
665824 82.0 8.319e-07 0.964
665825 82.5 7.78e-07 1.006
665826 83.0 7.276e-07 0.985
665827 83.5 6.805e-07 0.923
665828 84.0 6.364e-07 0.934
665829 84.5 5.953e-07 0.956
665830 85.0 5.568e-07 0.978
665831 85.5 5.2e-07 1.01
665832 86.0 4.85e-07 0.95
665833 86.5 4.524e-07 0.92
665834 87.0 4.22e-07 0.935
665835 87.5 3.936e-07 0.985
665836 88.0 3.672e-07 1.198
665837 88.5 3.425e-07 1.156
665838 89.0 3.195e-07 1.203
665839 89.5 2.981e-07 1.173
665840 90.0 2.781e-07 1.251
665841 90.5 2.589e-07 1.395
665842 91.0 2.407e-07 1.387
665843 91.5 2.237e-07 1.215
665844 92.0 2.08e-07 1.157
665845 92.5 1.933e-07 1.075
665846 93.0 1.797e-07 1.154
665847 93.5 1.67e-07 1.096
665848 94.0 1.553e-07 1.022
665849 94.5 1.444e-07 1.232
665850 95.0 1.342e-07 1.17
665851 95.5 1.246e-07 1.275
665852 96.0 1.155e-07 1.302
665853 96.5 1.071e-07 1.323
665854 97.0 9.93e-08 1.275
665855 97.5 9.207e-08 1.367
665856 98.0 8.538e-08 1.484
665857 98.5 7.917e-08 1.333
665858 99.0 7.341e-08 1.542
665859 99.5 6.808e-08 1.427
665860 100.0 6.314e-08 1.539
665861 100.5 5.852e-08 1.489
665862 101.0 5.421e-08 1.255
665863 101.5 5.022e-08 1.348
665864 102.0 4.652e-08 1.272
665865 102.5 4.31e-08 1.146
665866 103.0 3.992e-08 1.133
665867 103.5 3.698e-08 1.152
665868 104.0 3.426e-08 1.018
665869 104.5 3.174e-08 0.828
665870 105.0 2.94e-08 0.906
665871 105.5 2.719e-08 1.081
665872 106.0 2.511e-08 1.243
665873 106.5 2.318e-08 1.538
665874 107.0 2.141e-08 1.357
665875 107.5 1.977e-08 1.2
665876 108.0 1.825e-08 1.148
665877 108.5 1.686e-08 1.096
665878 109.0 1.557e-08 1.062
665879 109.5 1.438e-08 0.949
665880 110.0 1.328e-08 0.896
665881 110.5 1.226e-08 0.72
665882 111.0 1.131e-08 0.858
665883 111.5 1.043e-08 0.816
665884 112.0 9.628e-09 0.976
665885 112.5 8.885e-09 0.898
665886 113.0 8.199e-09 0.846
665887 113.5 7.566e-09 0.89
665888 114.0 6.983e-09 0.849
665889 114.5 6.444e-09 0.943
665890 115.0 5.947e-09 1.075
665891 115.5 5.508e-09 1.265
665892 116.0 5.115e-09 1.15
665893 116.5 4.751e-09 1.354
665894 117.0 4.413e-09 1.492
665895 117.5 4.1e-09 1.346
665896 118.0 3.809e-09 1.545
665897 118.5 3.538e-09 1.382
665898 119.0 3.288e-09 1.423
665899 119.5 3.055e-09 1.251
665900 120.0 2.839e-09 1.399
665901 120.5 2.642e-09 1.519
665902 121.0 2.462e-09 1.601
665903 121.5 2.294e-09 1.384
665904 122.0 2.138e-09 1.418
665905 122.5 1.992e-09 1.218
665906 123.0 1.857e-09 1.272
665907 123.5 1.731e-09 1.476
665908 124.0 1.613e-09 1.346
665909 124.5 1.504e-09 1.202
665910 125.0 1.402e-09 1.435
665911 125.5 1.31e-09 1.262
665912 126.0 1.227e-09 1.152
665913 126.5 1.15e-09 1.271
665914 127.0 1.077e-09 1.009
665915 127.5 1.009e-09 0.959
665916 128.0 9.451e-10 1.033
665917 128.5 8.854e-10 1.012
665918 129.0 8.295e-10 1.112
665919 129.5 7.772e-10 1.237
665920 130.0 7.281e-10 1.426
665921 130.5 6.839e-10 1.218
665922 131.0 6.437e-10 1.12
665923 131.5 6.059e-10 1.027
665924 132.0 5.703e-10 1.031
665925 132.5 5.368e-10 1.044
665926 133.0 5.053e-10 0.811
665927 133.5 4.757e-10 0.732
665928 134.0 4.478e-10 0.76
665929 134.5 4.215e-10 0.772
665930 135.0 3.968e-10 0.958
665931 135.5 3.739e-10 0.844
665932 136.0 3.527e-10 1.062
665933 136.5 3.327e-10 1.137
665934 137.0 3.139e-10 1.089
665935 137.5 2.961e-10 0.987
665936 138.0 2.793e-10 0.89
665937 138.5 2.635e-10 0.672
665938 139.0 2.485e-10 0.776
665939 139.5 2.344e-10 0.791
665940 140.0 2.212e-10 0.919
665941 140.5 2.089e-10 1.108
665942 141.0 1.976e-10 1.401
665943 141.5 1.869e-10 1.54
665944 142.0 1.768e-10 1.625
665945 142.5 1.672e-10 1.557
665946 143.0 1.582e-10 1.43
665947 143.5 1.496e-10 1.383
665948 144.0 1.415e-10 1.413
665949 144.5 1.339e-10 1.293
665950 145.0 1.266e-10 0.977
665951 145.5 1.199e-10 0.999
665952 146.0 1.137e-10 0.959
665953 146.5 1.078e-10 1.211
665954 147.0 1.022e-10 1.033
665955 147.5 9.686e-11 0.949
665956 148.0 9.182e-11 0.759
665957 148.5 8.705e-11 0.725
665958 149.0 8.252e-11 0.792
665959 149.5 7.823e-11 0.794
665960 150.0 7.416e-11 0.887
665961 150.5 7.037e-11 0.974
665962 151.0 6.681e-11 1.088
665963 151.5 6.344e-11 0.981
665964 152.0 6.023e-11 0.969
665965 152.5 5.719e-11 1.038
665966 153.0 5.43e-11 0.943
665967 153.5 5.156e-11 0.976
665968 154.0 4.896e-11 0.874
665969 154.5 4.649e-11 0.968
665970 155.0 4.414e-11 0.988
665971 155.5 4.194e-11 0.848
665972 156.0 3.987e-11 0.862
665973 156.5 3.79e-11 0.846
665974 157.0 3.603e-11 0.904
665975 157.5 3.425e-11 1.007
665976 158.0 3.256e-11 1.196
665977 158.5 3.095e-11 1.346
665978 159.0 2.942e-11 1.209
665979 159.5 2.797e-11 1.196
665980 160.0 2.659e-11 1.255
665981 160.5 2.531e-11 1.304
665982 161.0 2.41e-11 1.0
665983 161.5 2.295e-11 1.002
665984 162.0 2.185e-11 0.909
665985 162.5 2.081e-11 0.771
665986 163.0 1.982e-11 0.945
