 HgtMOLA Denkgm3 DensP
1091923 0.0 0.01466 0.988
1091924 0.5 0.01394 0.983
1091925 1.0 0.01327 0.992
1091926 1.5 0.01274 0.992
1091927 2.0 0.01223 0.991
1091928 2.5 0.01171 0.973
1091929 3.0 0.01122 0.977
1091930 3.5 0.01073 0.967
1091931 4.0 0.01027 0.972
1091932 4.5 0.00982 0.969
1091933 5.0 0.009393 0.966
1091934 5.5 0.008985 0.957
1091935 6.0 0.008594 0.957
1091936 6.5 0.008223 0.952
1091937 7.0 0.007868 0.949
1091938 7.5 0.00753 0.949
1091939 8.0 0.007206 0.949
1091940 8.5 0.006897 0.97
1091941 9.0 0.006602 0.959
1091942 9.5 0.006318 0.977
1091943 10.0 0.006047 0.973
1091944 10.5 0.005785 0.974
1091945 11.0 0.005535 0.978
1091946 11.5 0.005295 0.99
1091947 12.0 0.005067 0.981
1091948 12.5 0.004848 0.968
1091949 13.0 0.004639 0.974
1091950 13.5 0.004439 0.976
1091951 14.0 0.004248 0.976
1091952 14.5 0.004065 0.974
1091953 15.0 0.003891 0.973
1091954 15.5 0.003712 0.973
1091955 16.0 0.003541 0.97
1091956 16.5 0.003379 0.966
1091957 17.0 0.003224 0.971
1091958 17.5 0.003076 0.957
1091959 18.0 0.002935 0.957
1091960 18.5 0.002801 0.955
1091961 19.0 0.002672 0.951
1091962 19.5 0.00255 0.952
1091963 20.0 0.002434 0.959
1091964 20.5 0.002313 0.942
1091965 21.0 0.002198 0.938
1091966 21.5 0.002089 0.948
1091967 22.0 0.001985 0.951
1091968 22.5 0.001887 0.962
1091969 23.0 0.001793 0.969
1091970 23.5 0.001704 0.984
1091971 24.0 0.00162 0.978
1091972 24.5 0.00154 0.962
1091973 25.0 0.001464 0.967
1091974 25.5 0.001386 0.96
1091975 26.0 0.001313 0.95
1091976 26.5 0.001244 0.957
1091977 27.0 0.001178 0.954
1091978 27.5 0.001116 0.954
1091979 28.0 0.001057 0.965
1091980 28.5 0.001001 0.964
1091981 29.0 0.0009483 0.974
1091982 29.5 0.0008984 0.975
1091983 30.0 0.000851 0.977
1091984 30.5 0.0008045 0.967
1091985 31.0 0.0007606 0.978
1091986 31.5 0.0007191 0.966
1091987 32.0 0.0006798 0.972
1091988 32.5 0.0006427 0.963
1091989 33.0 0.0006077 0.959
1091990 33.5 0.0005745 0.965
1091991 34.0 0.0005432 0.984
1091992 34.5 0.0005136 0.973
1091993 35.0 0.0004856 0.969
1091994 35.5 0.0004579 1.005
1091995 36.0 0.0004319 1.0
1091996 36.5 0.0004073 0.989
1091997 37.0 0.0003842 0.976
1091998 37.5 0.0003624 0.975
1091999 38.0 0.0003419 0.99
1092000 38.5 0.0003226 0.97
1092001 39.0 0.0003043 0.998
1092002 39.5 0.0002872 0.99
1092003 40.0 0.000271 0.976
1092004 40.5 0.000254 0.988
1092005 41.0 0.0002381 0.962
1092006 41.5 0.0002232 0.962
1092007 42.0 0.0002093 0.965
1092008 42.5 0.0001962 0.931
1092009 43.0 0.000184 0.938
1092010 43.5 0.0001725 0.95
1092011 44.0 0.0001618 0.958
1092012 44.5 0.0001517 0.951
1092013 45.0 0.0001423 0.932
1092014 45.5 0.0001322 0.938
1092015 46.0 0.0001228 0.928
1092016 46.5 0.0001141 0.98
1092017 47.0 0.000106 0.997
1092018 47.5 9.848e-05 0.986
1092019 48.0 9.15e-05 0.992
1092020 48.5 8.501e-05 1.03
1092021 49.0 7.899e-05 0.992
1092022 49.5 7.339e-05 0.982
1092023 50.0 6.82e-05 0.974
1092024 50.5 6.294e-05 0.965
1092025 51.0 5.809e-05 0.985
1092026 51.5 5.362e-05 1.027
1092027 52.0 4.949e-05 0.995
1092028 52.5 4.568e-05 0.983
1092029 53.0 4.216e-05 0.991
1092030 53.5 3.892e-05 1.002
1092031 54.0 3.592e-05 1.044
1092032 54.5 3.316e-05 1.033
1092033 55.0 3.061e-05 1.003
1092034 55.5 2.859e-05 0.987
1092035 56.0 2.67e-05 1.031
1092036 56.5 2.494e-05 0.978
1092037 57.0 2.33e-05 0.982
1092038 57.5 2.177e-05 1.048
1092039 58.0 2.033e-05 1.017
1092040 58.5 1.899e-05 1.001
1092041 59.0 1.774e-05 0.973
1092042 59.5 1.657e-05 0.972
1092043 60.0 1.548e-05 0.993
1092044 60.5 1.454e-05 0.996
1092045 61.0 1.366e-05 1.048
1092046 61.5 1.283e-05 1.004
1092047 62.0 1.205e-05 0.994
1092048 62.5 1.132e-05 0.968
1092049 63.0 1.064e-05 0.993
1092050 63.5 9.99e-06 0.954
1092051 64.0 9.385e-06 0.933
1092052 64.5 8.816e-06 0.937
1092053 65.0 8.297e-06 0.915
1092054 65.5 7.774e-06 0.905
1092055 66.0 7.285e-06 0.939
1092056 66.5 6.827e-06 0.892
1092057 67.0 6.398e-06 0.926
1092058 67.5 5.996e-06 0.849
1092059 68.0 5.619e-06 0.856
1092060 68.5 5.267e-06 0.922
