 HgtMOLA Denkgm3 DensP
215337 0.0 0.01466 0.991
215338 0.5 0.01394 0.992
215339 1.0 0.01327 0.996
215340 1.5 0.01274 1.006
215341 2.0 0.01223 1.007
215342 2.5 0.01171 1.006
215343 3.0 0.01122 1.012
215344 3.5 0.01073 1.023
215345 4.0 0.01027 1.028
215346 4.5 0.00982 1.023
215347 5.0 0.009393 1.029
215348 5.5 0.008985 1.03
215349 6.0 0.008594 1.032
215350 6.5 0.008223 1.029
215351 7.0 0.007868 1.03
215352 7.5 0.00753 1.042
215353 8.0 0.007206 1.045
215354 8.5 0.006897 1.038
215355 9.0 0.006602 1.033
215356 9.5 0.006318 1.042
215357 10.0 0.006047 1.054
215358 10.5 0.005785 1.041
215359 11.0 0.005535 1.037
215360 11.5 0.005295 1.039
215361 12.0 0.005067 1.05
215362 12.5 0.004848 1.041
215363 13.0 0.004639 1.045
215364 13.5 0.004439 1.033
215365 14.0 0.004248 1.022
215366 14.5 0.004065 1.03
215367 15.0 0.003891 1.032
215368 15.5 0.003712 1.026
215369 16.0 0.003541 1.026
215370 16.5 0.003379 1.027
215371 17.0 0.003224 1.03
215372 17.5 0.003076 1.044
215373 18.0 0.002935 1.073
215374 18.5 0.002801 1.063
215375 19.0 0.002672 1.06
215376 19.5 0.00255 1.046
215377 20.0 0.002434 1.049
215378 20.5 0.002313 1.049
215379 21.0 0.002198 1.04
215380 21.5 0.002089 1.045
215381 22.0 0.001985 1.038
215382 22.5 0.001887 1.05
215383 23.0 0.001793 1.053
215384 23.5 0.001704 1.042
215385 24.0 0.00162 1.028
215386 24.5 0.00154 1.002
215387 25.0 0.001464 1.004
215388 25.5 0.001386 1.006
215389 26.0 0.001313 1.009
215390 26.5 0.001244 1.036
215391 27.0 0.001178 1.043
215392 27.5 0.001116 1.056
215393 28.0 0.001057 1.068
215394 28.5 0.001001 1.068
215395 29.0 0.0009483 1.064
215396 29.5 0.0008984 1.048
215397 30.0 0.000851 1.048
215398 30.5 0.0008045 1.041
215399 31.0 0.0007606 1.041
215400 31.5 0.0007191 1.041
215401 32.0 0.0006798 1.017
215402 32.5 0.0006427 1.009
215403 33.0 0.0006077 1.01
215404 33.5 0.0005745 1.008
215405 34.0 0.0005432 1.0
215406 34.5 0.0005136 0.997
215407 35.0 0.0004856 0.998
215408 35.5 0.0004579 0.991
215409 36.0 0.0004319 0.978
215410 36.5 0.0004073 0.987
215411 37.0 0.0003842 0.989
215412 37.5 0.0003624 0.977
215413 38.0 0.0003419 0.96
215414 38.5 0.0003226 0.966
215415 39.0 0.0003043 0.961
215416 39.5 0.0002872 0.978
215417 40.0 0.000271 0.99
215418 40.5 0.000254 0.974
215419 41.0 0.0002381 0.978
215420 41.5 0.0002232 0.985
215421 42.0 0.0002093 0.974
215422 42.5 0.0001962 0.976
215423 43.0 0.000184 0.983
215424 43.5 0.0001725 0.993
215425 44.0 0.0001618 1.007
215426 44.5 0.0001517 1.02
215427 45.0 0.0001423 1.023
215428 45.5 0.0001322 1.033
215429 46.0 0.0001228 1.002
215430 46.5 0.0001141 0.981
215431 47.0 0.000106 0.939
215432 47.5 9.848e-05 0.99
215433 48.0 9.15e-05 0.973
215434 48.5 8.501e-05 0.964
215435 49.0 7.899e-05 0.94
215436 49.5 7.339e-05 0.949
215437 50.0 6.82e-05 0.959
215438 50.5 6.294e-05 0.984
215439 51.0 5.809e-05 0.996
215440 51.5 5.362e-05 1.004
215441 52.0 4.949e-05 0.991
215442 52.5 4.568e-05 0.959
215443 53.0 4.216e-05 0.96
215444 53.5 3.892e-05 0.958
215445 54.0 3.592e-05 1.007
215446 54.5 3.316e-05 1.004
215447 55.0 3.061e-05 0.982
215448 55.5 2.859e-05 0.977
215449 56.0 2.67e-05 0.989
215450 56.5 2.494e-05 1.005
215451 57.0 2.33e-05 1.004
215452 57.5 2.177e-05 1.025
215453 58.0 2.033e-05 1.0
215454 58.5 1.899e-05 1.013
215455 59.0 1.774e-05 1.008
215456 59.5 1.657e-05 1.059
215457 60.0 1.548e-05 1.046
215458 60.5 1.454e-05 1.036
215459 61.0 1.366e-05 1.046
215460 61.5 1.283e-05 1.087
215461 62.0 1.205e-05 1.05
