 HgtMOLA Denkgm3 DensP
631174 0.0 0.01466 0.964
631175 0.5 0.01394 0.967
631176 1.0 0.01327 0.968
631177 1.5 0.01274 0.97
631178 2.0 0.01223 0.971
631179 2.5 0.01171 0.977
631180 3.0 0.01122 0.974
631181 3.5 0.01073 0.969
631182 4.0 0.01027 0.974
631183 4.5 0.00982 0.98
631184 5.0 0.009393 0.986
631185 5.5 0.008985 0.988
631186 6.0 0.008594 0.993
631187 6.5 0.008223 1.002
631188 7.0 0.007868 1.004
631189 7.5 0.00753 0.997
631190 8.0 0.007206 0.987
631191 8.5 0.006897 0.998
631192 9.0 0.006602 1.002
631193 9.5 0.006318 0.994
631194 10.0 0.006047 0.979
631195 10.5 0.005785 0.982
631196 11.0 0.005535 0.989
631197 11.5 0.005295 0.988
631198 12.0 0.005067 0.999
631199 12.5 0.004848 0.989
631200 13.0 0.004639 0.998
631201 13.5 0.004439 1.004
631202 14.0 0.004248 1.001
631203 14.5 0.004065 1.004
631204 15.0 0.003891 1.017
631205 15.5 0.003712 1.021
631206 16.0 0.003541 1.023
631207 16.5 0.003379 1.0
631208 17.0 0.003224 1.009
631209 17.5 0.003076 1.01
631210 18.0 0.002935 1.014
631211 18.5 0.002801 1.013
631212 19.0 0.002672 1.021
631213 19.5 0.00255 1.032
631214 20.0 0.002434 1.023
631215 20.5 0.002313 1.034
631216 21.0 0.002198 1.027
631217 21.5 0.002089 1.028
631218 22.0 0.001985 1.032
631219 22.5 0.001887 1.043
631220 23.0 0.001793 1.032
631221 23.5 0.001704 1.04
631222 24.0 0.00162 1.043
631223 24.5 0.00154 1.061
631224 25.0 0.001464 1.06
631225 25.5 0.001386 1.046
631226 26.0 0.001313 1.027
631227 26.5 0.001244 1.021
631228 27.0 0.001178 1.036
631229 27.5 0.001116 1.031
631230 28.0 0.001057 1.02
631231 28.5 0.001001 1.03
631232 29.0 0.0009483 1.018
631233 29.5 0.0008984 1.029
631234 30.0 0.000851 1.009
631235 30.5 0.0008045 1.019
631236 31.0 0.0007606 1.021
631237 31.5 0.0007191 1.001
631238 32.0 0.0006798 0.99
631239 32.5 0.0006427 0.985
631240 33.0 0.0006077 0.983
631241 33.5 0.0005745 0.983
631242 34.0 0.0005432 0.988
631243 34.5 0.0005136 0.959
631244 35.0 0.0004856 0.942
631245 35.5 0.0004579 0.955
631246 36.0 0.0004319 0.984
631247 36.5 0.0004073 1.006
631248 37.0 0.0003842 0.992
631249 37.5 0.0003624 0.994
631250 38.0 0.0003419 0.983
631251 38.5 0.0003226 0.962
631252 39.0 0.0003043 0.986
631253 39.5 0.0002872 0.989
631254 40.0 0.000271 1.001
631255 40.5 0.000254 0.98
631256 41.0 0.0002381 0.999
631257 41.5 0.0002232 1.014
631258 42.0 0.0002093 1.007
631259 42.5 0.0001962 1.0
631260 43.0 0.000184 1.007
631261 43.5 0.0001725 0.985
631262 44.0 0.0001618 1.019
631263 44.5 0.0001517 1.024
631264 45.0 0.0001423 1.021
631265 45.5 0.0001322 1.009
631266 46.0 0.0001228 1.022
631267 46.5 0.0001141 1.017
631268 47.0 0.000106 0.989
631269 47.5 9.848e-05 0.96
631270 48.0 9.15e-05 0.936
631271 48.5 8.501e-05 0.954
631272 49.0 7.899e-05 0.954
631273 49.5 7.339e-05 0.94
631274 50.0 6.82e-05 1.005
631275 50.5 6.294e-05 0.998
631276 51.0 5.809e-05 0.999
631277 51.5 5.362e-05 1.033
631278 52.0 4.949e-05 1.031
631279 52.5 4.568e-05 1.037
631280 53.0 4.216e-05 1.051
631281 53.5 3.892e-05 1.06
631282 54.0 3.592e-05 1.061
631283 54.5 3.316e-05 1.066
631284 55.0 3.061e-05 1.077
631285 55.5 2.859e-05 1.095
631286 56.0 2.67e-05 1.121
631287 56.5 2.494e-05 1.162
631288 57.0 2.33e-05 1.131
631289 57.5 2.177e-05 1.084
631290 58.0 2.033e-05 1.122
631291 58.5 1.899e-05 1.108
631292 59.0 1.774e-05 1.077
631293 59.5 1.657e-05 1.072
631294 60.0 1.548e-05 1.114
631295 60.5 1.454e-05 1.115
631296 61.0 1.366e-05 1.103
