 HgtMOLA Denkgm3 DensP
827664 0.0 0.01466 1.013
827665 0.5 0.01394 1.016
827666 1.0 0.01327 1.002
827667 1.5 0.01274 1.013
827668 2.0 0.01223 1.01
827669 2.5 0.01171 1.007
827670 3.0 0.01122 1.018
827671 3.5 0.01073 1.014
827672 4.0 0.01027 0.999
827673 4.5 0.00982 1.007
827674 5.0 0.009393 1.013
827675 5.5 0.008985 1.015
827676 6.0 0.008594 1.007
827677 6.5 0.008223 1.001
827678 7.0 0.007868 0.988
827679 7.5 0.00753 0.993
827680 8.0 0.007206 0.997
827681 8.5 0.006897 0.999
827682 9.0 0.006602 1.014
827683 9.5 0.006318 1.013
827684 10.0 0.006047 1.005
827685 10.5 0.005785 1.014
827686 11.0 0.005535 1.02
827687 11.5 0.005295 1.018
827688 12.0 0.005067 1.023
827689 12.5 0.004848 1.021
827690 13.0 0.004639 1.03
827691 13.5 0.004439 1.031
827692 14.0 0.004248 1.028
827693 14.5 0.004065 1.027
827694 15.0 0.003891 1.017
827695 15.5 0.003712 1.007
827696 16.0 0.003541 0.992
827697 16.5 0.003379 0.984
827698 17.0 0.003224 0.988
827699 17.5 0.003076 0.991
827700 18.0 0.002935 0.98
827701 18.5 0.002801 0.987
827702 19.0 0.002672 0.988
827703 19.5 0.00255 0.981
827704 20.0 0.002434 0.998
827705 20.5 0.002313 1.003
827706 21.0 0.002198 1.021
827707 21.5 0.002089 1.014
827708 22.0 0.001985 1.015
827709 22.5 0.001887 1.021
827710 23.0 0.001793 1.05
827711 23.5 0.001704 1.047
827712 24.0 0.00162 1.025
827713 24.5 0.00154 1.022
827714 25.0 0.001464 1.016
827715 25.5 0.001386 1.017
827716 26.0 0.001313 1.03
827717 26.5 0.001244 1.024
827718 27.0 0.001178 1.022
827719 27.5 0.001116 1.044
827720 28.0 0.001057 1.033
827721 28.5 0.001001 1.061
827722 29.0 0.0009483 1.045
827723 29.5 0.0008984 1.053
827724 30.0 0.000851 1.051
827725 30.5 0.0008045 1.044
827726 31.0 0.0007606 1.025
827727 31.5 0.0007191 1.007
827728 32.0 0.0006798 1.003
827729 32.5 0.0006427 1.009
827730 33.0 0.0006077 1.023
827731 33.5 0.0005745 1.029
827732 34.0 0.0005432 1.055
827733 34.5 0.0005136 1.073
827734 35.0 0.0004856 1.061
827735 35.5 0.0004579 1.041
827736 36.0 0.0004319 1.0
827737 36.5 0.0004073 0.993
827738 37.0 0.0003842 1.016
827739 37.5 0.0003624 1.008
827740 38.0 0.0003419 1.001
827741 38.5 0.0003226 0.999
827742 39.0 0.0003043 1.005
827743 39.5 0.0002872 0.986
827744 40.0 0.000271 0.998
827745 40.5 0.000254 0.997
827746 41.0 0.0002381 1.03
827747 41.5 0.0002232 1.008
827748 42.0 0.0002093 1.014
827749 42.5 0.0001962 0.99
827750 43.0 0.000184 0.991
827751 43.5 0.0001725 1.012
827752 44.0 0.0001618 1.008
827753 44.5 0.0001517 1.03
827754 45.0 0.0001423 1.043
827755 45.5 0.0001322 1.048
827756 46.0 0.0001228 1.059
827757 46.5 0.0001141 1.07
827758 47.0 0.000106 1.053
827759 47.5 9.848e-05 1.053
827760 48.0 9.15e-05 1.052
827761 48.5 8.501e-05 1.083
827762 49.0 7.899e-05 1.094
827763 49.5 7.339e-05 1.091
827764 50.0 6.82e-05 1.1
827765 50.5 6.294e-05 1.082
827766 51.0 5.809e-05 1.041
827767 51.5 5.362e-05 1.077
827768 52.0 4.949e-05 1.071
827769 52.5 4.568e-05 1.069
827770 53.0 4.216e-05 1.07
827771 53.5 3.892e-05 1.061
827772 54.0 3.592e-05 1.041
827773 54.5 3.316e-05 1.004
827774 55.0 3.061e-05 0.994
827775 55.5 2.859e-05 0.954
827776 56.0 2.67e-05 0.969
827777 56.5 2.494e-05 0.966
827778 57.0 2.33e-05 0.976
827779 57.5 2.177e-05 0.986
827780 58.0 2.033e-05 0.996
827781 58.5 1.899e-05 1.005
827782 59.0 1.774e-05 1.066
827783 59.5 1.657e-05 1.065
827784 60.0 1.548e-05 1.018
827785 60.5 1.454e-05 0.998
827786 61.0 1.366e-05 1.074
827787 61.5 1.283e-05 1.08
827788 62.0 1.205e-05 1.026
827789 62.5 1.132e-05 1.04
827790 63.0 1.064e-05 0.98
827791 63.5 9.99e-06 1.0
827792 64.0 9.385e-06 1.014
827793 64.5 8.816e-06 1.112
827794 65.0 8.297e-06 1.138
827795 65.5 7.774e-06 1.169
827796 66.0 7.285e-06 1.113
827797 66.5 6.827e-06 1.101
827798 67.0 6.398e-06 1.054
827799 67.5 5.996e-06 1.103
827800 68.0 5.619e-06 1.05
827801 68.5 5.267e-06 1.028
827802 69.0 4.936e-06 1.037
827803 69.5 4.627e-06 1.015
827804 70.0 4.352e-06 1.063
827805 70.5 4.07e-06 1.095
827806 71.0 3.806e-06 1.103
827807 71.5 3.559e-06 1.079
827808 72.0 3.328e-06 1.09
827809 72.5 3.112e-06 1.11
827810 73.0 2.911e-06 1.066
