 HgtMOLA Denkgm3 DensP
190074 0.0 0.01466 1.007
190075 0.5 0.01394 0.997
190076 1.0 0.01327 0.992
190077 1.5 0.01274 0.986
190078 2.0 0.01223 0.984
190079 2.5 0.01171 0.987
190080 3.0 0.01122 0.988
190081 3.5 0.01073 1.001
190082 4.0 0.01027 1.003
190083 4.5 0.00982 1.013
190084 5.0 0.009393 1.027
190085 5.5 0.008985 1.026
190086 6.0 0.008594 1.036
190087 6.5 0.008223 1.043
190088 7.0 0.007868 1.043
190089 7.5 0.00753 1.042
190090 8.0 0.007206 1.05
190091 8.5 0.006897 1.048
190092 9.0 0.006602 1.053
190093 9.5 0.006318 1.051
190094 10.0 0.006047 1.063
190095 10.5 0.005785 1.053
190096 11.0 0.005535 1.037
190097 11.5 0.005295 1.034
190098 12.0 0.005067 1.035
190099 12.5 0.004848 1.03
190100 13.0 0.004639 1.013
190101 13.5 0.004439 1.021
190102 14.0 0.004248 1.023
190103 14.5 0.004065 1.023
190104 15.0 0.003891 1.022
190105 15.5 0.003712 1.022
190106 16.0 0.003541 1.006
190107 16.5 0.003379 1.004
190108 17.0 0.003224 1.019
190109 17.5 0.003076 1.008
190110 18.0 0.002935 1.007
190111 18.5 0.002801 1.001
190112 19.0 0.002672 0.993
190113 19.5 0.00255 0.997
190114 20.0 0.002434 0.998
190115 20.5 0.002313 1.011
190116 21.0 0.002198 1.018
190117 21.5 0.002089 1.041
190118 22.0 0.001985 1.029
190119 22.5 0.001887 1.025
190120 23.0 0.001793 1.013
190121 23.5 0.001704 1.005
190122 24.0 0.00162 1.007
190123 24.5 0.00154 0.986
190124 25.0 0.001464 0.965
190125 25.5 0.001386 0.978
190126 26.0 0.001313 0.97
190127 26.5 0.001244 0.979
190128 27.0 0.001178 0.978
190129 27.5 0.001116 0.973
190130 28.0 0.001057 0.993
190131 28.5 0.001001 0.995
190132 29.0 0.0009483 0.993
190133 29.5 0.0008984 0.968
190134 30.0 0.000851 0.955
190135 30.5 0.0008045 0.921
190136 31.0 0.0007606 0.914
190137 31.5 0.0007191 0.921
190138 32.0 0.0006798 0.943
190139 32.5 0.0006427 0.96
190140 33.0 0.0006077 0.971
190141 33.5 0.0005745 1.025
190142 34.0 0.0005432 1.033
190143 34.5 0.0005136 1.043
190144 35.0 0.0004856 1.043
190145 35.5 0.0004579 1.044
190146 36.0 0.0004319 1.03
190147 36.5 0.0004073 1.008
190148 37.0 0.0003842 1.017
190149 37.5 0.0003624 1.029
190150 38.0 0.0003419 1.05
190151 38.5 0.0003226 1.047
190152 39.0 0.0003043 1.051
190153 39.5 0.0002872 1.042
190154 40.0 0.000271 1.012
190155 40.5 0.000254 1.008
190156 41.0 0.0002381 1.035
190157 41.5 0.0002232 1.005
190158 42.0 0.0002093 1.0
190159 42.5 0.0001962 1.014
190160 43.0 0.000184 1.009
190161 43.5 0.0001725 1.022
190162 44.0 0.0001618 1.009
190163 44.5 0.0001517 0.984
190164 45.0 0.0001423 0.971
190165 45.5 0.0001322 0.964
190166 46.0 0.0001228 0.994
190167 46.5 0.0001141 1.005
190168 47.0 0.000106 0.985
190169 47.5 9.848e-05 0.981
190170 48.0 9.15e-05 0.971
190171 48.5 8.501e-05 0.981
190172 49.0 7.899e-05 1.017
190173 49.5 7.339e-05 1.002
190174 50.0 6.82e-05 0.98
190175 50.5 6.294e-05 0.985
190176 51.0 5.809e-05 0.956
190177 51.5 5.362e-05 0.933
190178 52.0 4.949e-05 0.915
190179 52.5 4.568e-05 0.941
