 HgtMOLA Denkgm3 DensP
277893 0.0 0.01466 1.019
277894 0.5 0.01394 1.021
277895 1.0 0.01327 1.02
277896 1.5 0.01274 1.02
277897 2.0 0.01223 1.027
277898 2.5 0.01171 1.031
277899 3.0 0.01122 1.029
277900 3.5 0.01073 1.026
277901 4.0 0.01027 1.025
277902 4.5 0.00982 1.013
277903 5.0 0.009393 0.996
277904 5.5 0.008985 0.984
277905 6.0 0.008594 0.989
277906 6.5 0.008223 0.998
277907 7.0 0.007868 0.995
277908 7.5 0.00753 0.99
277909 8.0 0.007206 0.988
277910 8.5 0.006897 0.993
277911 9.0 0.006602 0.995
277912 9.5 0.006318 1.006
277913 10.0 0.006047 1.004
277914 10.5 0.005785 1.009
277915 11.0 0.005535 1.016
277916 11.5 0.005295 1.016
277917 12.0 0.005067 1.016
277918 12.5 0.004848 1.022
277919 13.0 0.004639 1.032
277920 13.5 0.004439 1.037
277921 14.0 0.004248 1.026
277922 14.5 0.004065 1.017
277923 15.0 0.003891 1.018
277924 15.5 0.003712 1.011
277925 16.0 0.003541 1.021
277926 16.5 0.003379 1.024
277927 17.0 0.003224 1.021
277928 17.5 0.003076 1.029
277929 18.0 0.002935 1.029
277930 18.5 0.002801 1.049
277931 19.0 0.002672 1.048
277932 19.5 0.00255 1.037
277933 20.0 0.002434 1.033
277934 20.5 0.002313 1.035
277935 21.0 0.002198 1.039
277936 21.5 0.002089 1.022
277937 22.0 0.001985 1.02
277938 22.5 0.001887 1.003
277939 23.0 0.001793 1.0
277940 23.5 0.001704 1.005
277941 24.0 0.00162 0.981
277942 24.5 0.00154 1.006
277943 25.0 0.001464 0.996
277944 25.5 0.001386 0.972
277945 26.0 0.001313 0.991
277946 26.5 0.001244 0.993
277947 27.0 0.001178 1.0
277948 27.5 0.001116 1.025
277949 28.0 0.001057 1.038
277950 28.5 0.001001 1.05
277951 29.0 0.0009483 1.04
277952 29.5 0.0008984 1.046
277953 30.0 0.000851 1.031
277954 30.5 0.0008045 1.005
277955 31.0 0.0007606 1.013
277956 31.5 0.0007191 1.013
277957 32.0 0.0006798 1.023
277958 32.5 0.0006427 1.01
277959 33.0 0.0006077 0.998
277960 33.5 0.0005745 0.984
277961 34.0 0.0005432 0.984
277962 34.5 0.0005136 0.981
277963 35.0 0.0004856 0.981
277964 35.5 0.0004579 0.984
277965 36.0 0.0004319 1.013
277966 36.5 0.0004073 1.022
277967 37.0 0.0003842 0.998
277968 37.5 0.0003624 0.983
277969 38.0 0.0003419 0.972
277970 38.5 0.0003226 0.973
277971 39.0 0.0003043 1.009
277972 39.5 0.0002872 1.002
277973 40.0 0.000271 1.041
277974 40.5 0.000254 1.022
277975 41.0 0.0002381 1.027
277976 41.5 0.0002232 1.06
277977 42.0 0.0002093 1.063
277978 42.5 0.0001962 1.024
277979 43.0 0.000184 1.033
277980 43.5 0.0001725 1.041
277981 44.0 0.0001618 1.048
277982 44.5 0.0001517 1.067
277983 45.0 0.0001423 1.056
277984 45.5 0.0001322 1.07
277985 46.0 0.0001228 1.07
277986 46.5 0.0001141 1.074
277987 47.0 0.000106 1.076
277988 47.5 9.848e-05 1.074
277989 48.0 9.15e-05 1.059
277990 48.5 8.501e-05 1.055
277991 49.0 7.899e-05 1.063
277992 49.5 7.339e-05 1.045
277993 50.0 6.82e-05 1.025
277994 50.5 6.294e-05 1.092
277995 51.0 5.809e-05 1.068
277996 51.5 5.362e-05 1.06
277997 52.0 4.949e-05 1.081
277998 52.5 4.568e-05 1.049
277999 53.0 4.216e-05 1.054
278000 53.5 3.892e-05 1.066
278001 54.0 3.592e-05 1.039
278002 54.5 3.316e-05 1.044
278003 55.0 3.061e-05 1.012
278004 55.5 2.859e-05 0.979
278005 56.0 2.67e-05 0.987
278006 56.5 2.494e-05 0.953
278007 57.0 2.33e-05 0.977
278008 57.5 2.177e-05 0.976
278009 58.0 2.033e-05 1.0
278010 58.5 1.899e-05 1.017
278011 59.0 1.774e-05 1.004
278012 59.5 1.657e-05 1.023
278013 60.0 1.548e-05 1.01
278014 60.5 1.454e-05 1.03
278015 61.0 1.366e-05 1.014
278016 61.5 1.283e-05 1.053
278017 62.0 1.205e-05 1.051
278018 62.5 1.132e-05 1.099
278019 63.0 1.064e-05 1.054
278020 63.5 9.99e-06 1.041
278021 64.0 9.385e-06 0.949
278022 64.5 8.816e-06 0.994
278023 65.0 8.297e-06 0.975
278024 65.5 7.774e-06 1.017
278025 66.0 7.285e-06 0.974
278026 66.5 6.827e-06 0.935
278027 67.0 6.398e-06 0.87
278028 67.5 5.996e-06 0.919
278029 68.0 5.619e-06 0.967
278030 68.5 5.267e-06 1.021
278031 69.0 4.936e-06 0.993
278032 69.5 4.627e-06 1.041
278033 70.0 4.352e-06 1.04
278034 70.5 4.07e-06 1.078
278035 71.0 3.806e-06 1.01
278036 71.5 3.559e-06 1.019
278037 72.0 3.328e-06 0.951
278038 72.5 3.112e-06 0.94
278039 73.0 2.911e-06 0.952
278040 73.5 2.722e-06 1.004
278041 74.0 2.546e-06 1.099
278042 74.5 2.381e-06 1.127
278043 75.0 2.226e-06 1.054
278044 75.5 2.07e-06 1.051
278045 76.0 1.925e-06 0.966
278046 76.5 1.791e-06 0.981
278047 77.0 1.666e-06 1.032
278048 77.5 1.551e-06 0.988
278049 78.0 1.444e-06 0.933
278050 78.5 1.345e-06 0.95
278051 79.0 1.253e-06 0.991
278052 79.5 1.168e-06 0.962
278053 80.0 1.089e-06 0.938
278054 80.5 1.017e-06 1.025
278055 81.0 9.512e-07 1.011
278056 81.5 8.895e-07 1.018
278057 82.0 8.319e-07 1.032
278058 82.5 7.78e-07 0.978
278059 83.0 7.276e-07 0.956
278060 83.5 6.805e-07 1.019
278061 84.0 6.364e-07 0.931
278062 84.5 5.953e-07 0.907
278063 85.0 5.568e-07 0.932
278064 85.5 5.2e-07 0.821
278065 86.0 4.85e-07 0.865
278066 86.5 4.524e-07 0.865
278067 87.0 4.22e-07 1.017
278068 87.5 3.936e-07 0.972
278069 88.0 3.672e-07 0.923
278070 88.5 3.425e-07 0.978
278071 89.0 3.195e-07 1.03
278072 89.5 2.981e-07 0.982
278073 90.0 2.781e-07 0.864
278074 90.5 2.589e-07 0.877
278075 91.0 2.407e-07 0.859
278076 91.5 2.237e-07 0.864
278077 92.0 2.08e-07 0.883
278078 92.5 1.933e-07 0.927
278079 93.0 1.797e-07 1.004
278080 93.5 1.67e-07 0.977
278081 94.0 1.553e-07 0.875
278082 94.5 1.444e-07 0.875
278083 95.0 1.342e-07 0.851
278084 95.5 1.246e-07 0.864
278085 96.0 1.155e-07 0.747
278086 96.5 1.071e-07 0.686
278087 97.0 9.93e-08 0.81
278088 97.5 9.207e-08 0.821
278089 98.0 8.538e-08 0.867
278090 98.5 7.917e-08 0.809
278091 99.0 7.341e-08 0.755
278092 99.5 6.808e-08 0.826
278093 100.0 6.314e-08 0.811
278094 100.5 5.852e-08 0.652
278095 101.0 5.421e-08 0.644
