 HgtMOLA Denkgm3 DensP
787564 0.0 0.01466 1.003
787565 0.5 0.01394 0.999
787566 1.0 0.01327 0.998
787567 1.5 0.01274 1.01
787568 2.0 0.01223 1.009
787569 2.5 0.01171 1.004
787570 3.0 0.01122 0.994
787571 3.5 0.01073 1.001
787572 4.0 0.01027 0.997
787573 4.5 0.00982 1.003
787574 5.0 0.009393 1.004
787575 5.5 0.008985 1.01
787576 6.0 0.008594 1.02
787577 6.5 0.008223 1.023
787578 7.0 0.007868 1.028
787579 7.5 0.00753 1.033
787580 8.0 0.007206 1.041
787581 8.5 0.006897 1.051
787582 9.0 0.006602 1.05
787583 9.5 0.006318 1.045
787584 10.0 0.006047 1.039
787585 10.5 0.005785 1.043
787586 11.0 0.005535 1.063
787587 11.5 0.005295 1.065
787588 12.0 0.005067 1.06
787589 12.5 0.004848 1.04
787590 13.0 0.004639 1.024
787591 13.5 0.004439 1.003
787592 14.0 0.004248 1.005
787593 14.5 0.004065 1.005
787594 15.0 0.003891 1.016
787595 15.5 0.003712 1.014
787596 16.0 0.003541 1.011
787597 16.5 0.003379 1.011
787598 17.0 0.003224 1.018
787599 17.5 0.003076 1.014
787600 18.0 0.002935 0.996
787601 18.5 0.002801 1.001
787602 19.0 0.002672 0.985
787603 19.5 0.00255 0.98
787604 20.0 0.002434 0.993
787605 20.5 0.002313 0.988
787606 21.0 0.002198 1.002
787607 21.5 0.002089 0.993
787608 22.0 0.001985 0.988
787609 22.5 0.001887 0.988
787610 23.0 0.001793 0.999
787611 23.5 0.001704 1.02
787612 24.0 0.00162 1.039
787613 24.5 0.00154 1.043
787614 25.0 0.001464 1.055
787615 25.5 0.001386 1.06
787616 26.0 0.001313 1.064
787617 26.5 0.001244 1.055
787618 27.0 0.001178 1.053
787619 27.5 0.001116 1.028
787620 28.0 0.001057 1.057
787621 28.5 0.001001 1.067
787622 29.0 0.0009483 1.056
787623 29.5 0.0008984 1.038
787624 30.0 0.000851 1.024
787625 30.5 0.0008045 1.037
787626 31.0 0.0007606 1.042
787627 31.5 0.0007191 1.03
787628 32.0 0.0006798 1.045
787629 32.5 0.0006427 1.052
787630 33.0 0.0006077 1.042
787631 33.5 0.0005745 1.044
787632 34.0 0.0005432 1.032
787633 34.5 0.0005136 1.025
787634 35.0 0.0004856 1.022
787635 35.5 0.0004579 1.007
787636 36.0 0.0004319 1.003
787637 36.5 0.0004073 0.973
787638 37.0 0.0003842 0.968
787639 37.5 0.0003624 0.94
787640 38.0 0.0003419 0.899
787641 38.5 0.0003226 0.893
787642 39.0 0.0003043 0.899
787643 39.5 0.0002872 0.905
787644 40.0 0.000271 0.899
787645 40.5 0.000254 0.922
787646 41.0 0.0002381 0.915
787647 41.5 0.0002232 0.923
787648 42.0 0.0002093 0.949
787649 42.5 0.0001962 0.916
787650 43.0 0.000184 0.908
787651 43.5 0.0001725 0.903
787652 44.0 0.0001618 0.914
787653 44.5 0.0001517 0.924
787654 45.0 0.0001423 0.967
787655 45.5 0.0001322 0.965
787656 46.0 0.0001228 0.977
787657 46.5 0.0001141 0.975
787658 47.0 0.000106 0.969
787659 47.5 9.848e-05 0.987
787660 48.0 9.15e-05 0.983
787661 48.5 8.501e-05 0.965
787662 49.0 7.899e-05 0.928
787663 49.5 7.339e-05 0.916
787664 50.0 6.82e-05 0.932
787665 50.5 6.294e-05 0.954
787666 51.0 5.809e-05 0.988
787667 51.5 5.362e-05 1.005
787668 52.0 4.949e-05 1.035
787669 52.5 4.568e-05 1.023
787670 53.0 4.216e-05 1.057
787671 53.5 3.892e-05 1.026
787672 54.0 3.592e-05 1.009
787673 54.5 3.316e-05 0.973
787674 55.0 3.061e-05 0.964
787675 55.5 2.859e-05 0.967
787676 56.0 2.67e-05 0.976
787677 56.5 2.494e-05 0.939
787678 57.0 2.33e-05 0.97
787679 57.5 2.177e-05 0.986
787680 58.0 2.033e-05 0.96
787681 58.5 1.899e-05 0.938
787682 59.0 1.774e-05 0.977
787683 59.5 1.657e-05 0.952
787684 60.0 1.548e-05 1.013
787685 60.5 1.454e-05 1.015
787686 61.0 1.366e-05 1.003
787687 61.5 1.283e-05 0.963
787688 62.0 1.205e-05 0.955
787689 62.5 1.132e-05 0.958
787690 63.0 1.064e-05 0.928
787691 63.5 9.99e-06 0.879
787692 64.0 9.385e-06 0.866
787693 64.5 8.816e-06 0.882
787694 65.0 8.297e-06 0.926
787695 65.5 7.774e-06 0.984
787696 66.0 7.285e-06 0.968
787697 66.5 6.827e-06 0.963
787698 67.0 6.398e-06 0.987
787699 67.5 5.996e-06 1.051
787700 68.0 5.619e-06 1.052
787701 68.5 5.267e-06 1.098
787702 69.0 4.936e-06 1.079
787703 69.5 4.627e-06 1.097
787704 70.0 4.352e-06 1.077
787705 70.5 4.07e-06 1.098
787706 71.0 3.806e-06 1.099
787707 71.5 3.559e-06 1.087
787708 72.0 3.328e-06 1.068
787709 72.5 3.112e-06 1.107
787710 73.0 2.911e-06 1.081
787711 73.5 2.722e-06 1.072
787712 74.0 2.546e-06 1.062
787713 74.5 2.381e-06 1.039
787714 75.0 2.226e-06 0.934
787715 75.5 2.07e-06 0.913
787716 76.0 1.925e-06 0.93
787717 76.5 1.791e-06 0.894
787718 77.0 1.666e-06 0.858
787719 77.5 1.551e-06 0.941
787720 78.0 1.444e-06 0.977
787721 78.5 1.345e-06 0.974
787722 79.0 1.253e-06 1.025
787723 79.5 1.168e-06 0.978
787724 80.0 1.089e-06 1.073
787725 80.5 1.017e-06 1.071
787726 81.0 9.512e-07 1.001
787727 81.5 8.895e-07 1.007
787728 82.0 8.319e-07 0.943
787729 82.5 7.78e-07 0.952
787730 83.0 7.276e-07 0.94
