 Hgtkm DensMean DensPert
2004198 0.0 1.1656 1.1294
2004199 0.5 1.1117 1.0813
2004200 1.0 1.06 1.046
2004201 1.5 1.0101 0.99872
2004202 2.0 0.96405 0.95013
2004203 2.5 0.91875 0.91674
2004204 3.0 0.87485 0.87398
2004205 3.5 0.83389 0.84063
2004206 4.0 0.79521 0.80693
2004207 4.5 0.75791 0.76702
2004208 5.0 0.72062 0.7269
2004209 5.5 0.68516 0.69136
2004210 6.0 0.65099 0.65639
2004211 6.5 0.61753 0.62346
2004212 7.0 0.5858 0.5944
2004213 7.5 0.5557 0.56457
2004214 8.0 0.52637 0.5351
2004215 8.5 0.49854 0.50783
2004216 9.0 0.47219 0.48079
2004217 9.5 0.44723 0.45681
2004218 10.0 0.42223 0.43245
2004219 10.5 0.39833 0.40857
2004220 11.0 0.37498 0.38417
2004221 11.5 0.35148 0.36025
2004222 12.0 0.32946 0.33876
2004223 12.5 0.30821 0.31418
2004224 13.0 0.2875 0.28889
2004225 13.5 0.26819 0.27053
2004226 14.0 0.25018 0.25331
2004227 14.5 0.23224 0.23497
2004228 15.0 0.21522 0.21893
2004229 15.5 0.19945 0.20192
2004230 16.0 0.18484 0.18504
2004231 16.5 0.1713 0.17181
2004232 17.0 0.15766 0.15854
2004233 17.5 0.14477 0.14451
2004234 18.0 0.13294 0.13246
2004235 18.5 0.12208 0.12125
2004236 19.0 0.11216 0.11137
2004237 19.5 0.10313 0.10238
2004238 20.0 0.09483 0.094205
2004239 20.5 0.087198 0.087141
2004240 21.0 0.080207 0.079802
2004241 21.5 0.073926 0.07301
2004242 22.0 0.068138 0.067714
2004243 22.5 0.062804 0.062227
2004244 23.0 0.057888 0.057672
2004245 23.5 0.053357 0.053162
2004246 24.0 0.049182 0.048845
2004247 24.5 0.045387 0.045121
2004248 25.0 0.041919 0.04186
2004249 25.5 0.038717 0.038582
2004250 26.0 0.035759 0.035733
2004251 26.5 0.033028 0.032884
2004252 27.0 0.030517 0.03038
2004253 27.5 0.028214 0.028154
2004254 28.0 0.02607 0.025746
2004255 28.5 0.024079 0.023855
2004256 29.0 0.022235 0.022022
2004257 29.5 0.020534 0.020264
2004258 30.0 0.018972 0.018792
2004259 30.5 0.017528 0.017434
2004260 31.0 0.016206 0.016095
2004261 31.5 0.014997 0.014894
2004262 32.0 0.013887 0.013755
2004263 32.5 0.012864 0.012783
2004264 33.0 0.01192 0.011729
2004265 33.5 0.011049 0.010786
2004266 34.0 0.010245 0.0099343
2004267 34.5 0.0095026 0.0092091
2004268 35.0 0.0088171 0.0086548
2004269 35.5 0.0081759 0.008091
2004270 36.0 0.0075843 0.0074573
2004271 36.5 0.0070383 0.0068832
2004272 37.0 0.0065342 0.0063193
2004273 37.5 0.0060686 0.0059078
2004274 38.0 0.0056384 0.0054884
