 Hgtkm DensMean DensPert
1974925 0.0 1.1656 1.1656
1974926 0.5 1.1117 1.104
1974927 1.0 1.06 1.0649
1974928 1.5 1.0101 1.0189
1974929 2.0 0.96405 0.97028
1974930 2.5 0.91875 0.92523
1974931 3.0 0.87485 0.88051
1974932 3.5 0.83389 0.83917
1974933 4.0 0.79521 0.80215
1974934 4.5 0.75791 0.76239
1974935 5.0 0.72062 0.72287
1974936 5.5 0.68516 0.68593
1974937 6.0 0.65099 0.65465
1974938 6.5 0.61753 0.62187
1974939 7.0 0.5858 0.59135
1974940 7.5 0.5557 0.56033
1974941 8.0 0.52637 0.52936
1974942 8.5 0.49854 0.50319
1974943 9.0 0.47219 0.47876
1974944 9.5 0.44723 0.45264
1974945 10.0 0.42223 0.42473
1974946 10.5 0.39833 0.40055
1974947 11.0 0.37498 0.37752
1974948 11.5 0.35148 0.35378
1974949 12.0 0.32946 0.33057
1974950 12.5 0.30821 0.3076
1974951 13.0 0.2875 0.28646
1974952 13.5 0.26819 0.26741
1974953 14.0 0.25018 0.24968
1974954 14.5 0.23224 0.22983
1974955 15.0 0.21522 0.21388
1974956 15.5 0.19945 0.19755
1974957 16.0 0.18484 0.18402
1974958 16.5 0.1713 0.16805
1974959 17.0 0.15766 0.15553
1974960 17.5 0.14477 0.14201
1974961 18.0 0.13294 0.13343
1974962 18.5 0.12208 0.12201
1974963 19.0 0.11216 0.11107
1974964 19.5 0.10313 0.10172
1974965 20.0 0.09483 0.09353
1974966 20.5 0.087198 0.085892
1974967 21.0 0.080207 0.078649
1974968 21.5 0.073926 0.073459
1974969 22.0 0.068138 0.067795
1974970 22.5 0.062804 0.062337
1974971 23.0 0.057888 0.057631
1974972 23.5 0.053357 0.053062
1974973 24.0 0.049182 0.048851
1974974 24.5 0.045387 0.045371
1974975 25.0 0.041919 0.041857
1974976 25.5 0.038717 0.03854
1974977 26.0 0.035759 0.035424
1974978 26.5 0.033028 0.032961
1974979 27.0 0.030517 0.030525
1974980 27.5 0.028214 0.028157
1974981 28.0 0.02607 0.026002
1974982 28.5 0.024079 0.023952
1974983 29.0 0.022235 0.022308
1974984 29.5 0.020534 0.020769
1974985 30.0 0.018972 0.019065
1974986 30.5 0.017528 0.017579
1974987 31.0 0.016206 0.016188
1974988 31.5 0.014997 0.015095
1974989 32.0 0.013887 0.013923
1974990 32.5 0.012864 0.012828
1974991 33.0 0.01192 0.011845
1974992 33.5 0.011049 0.010991
1974993 34.0 0.010245 0.010227
1974994 34.5 0.0095026 0.0095371
1974995 35.0 0.0088171 0.0087725
1974996 35.5 0.0081759 0.008127
1974997 36.0 0.0075843 0.0075984
1974998 36.5 0.0070383 0.0070702
1974999 37.0 0.0065342 0.0065658
1975000 37.5 0.0060686 0.0061388
1975001 38.0 0.0056384 0.0057032
1975002 38.5 0.0052406 0.0052603
1975003 39.0 0.0048728 0.0048584
1975004 39.5 0.0045324 0.0044957
1975005 40.0 0.0042174 0.0042362
1975006 40.5 0.0039312 0.0039462
1975007 41.0 0.0036655 0.0037196
1975008 41.5 0.0034187 0.0035226
1975009 42.0 0.0031894 0.0032266
1975010 42.5 0.0029763 0.0030465
1975011 43.0 0.0027781 0.0029141
1975012 43.5 0.0025939 0.0027553
1975013 44.0 0.0024226 0.0025776
1975014 44.5 0.0022632 0.0024086
1975015 45.0 0.0021148 0.0022421
1975016 45.5 0.001983 0.0020887
1975017 46.0 0.0018594 0.0019681
1975018 46.5 0.0017437 0.001831
1975019 47.0 0.0016352 0.0017063
1975020 47.5 0.0015336 0.001606
1975021 48.0 0.0014384 0.0015271
1975022 48.5 0.0013491 0.0014248
1975023 49.0 0.0012654 0.0013364
1975024 49.5 0.001187 0.0012661
1975025 50.0 0.0011135 0.0011908
1975026 50.5 0.0010487 0.0011107
1975027 51.0 0.00098743 0.001059
1975028 51.5 0.00092954 0.00099255
1975029 52.0 0.00087485 0.00093874
1975030 52.5 0.00082321 0.00088933
1975031 53.0 0.00077443 0.00084954
1975032 53.5 0.00072839 0.00078205
1975033 54.0 0.00068493 0.0007293
1975034 54.5 0.00064391 0.00067381
1975035 55.0 0.00060522 0.00063521
1975036 55.5 0.00056946 0.00059606
1975037 56.0 0.00053563 0.00054505
1975038 56.5 0.00050363 0.0005065
1975039 57.0 0.00047338 0.00048257
1975040 57.5 0.0004448 0.00045906
1975041 58.0 0.00041778 0.00044803
1975042 58.5 0.00039227 0.00042098
1975043 59.0 0.00036818 0.00040224
1975044 59.5 0.00034544 0.00037898
1975045 60.0 0.00032399 0.00035002
1975046 60.5 0.00030372 0.00032023
1975047 61.0 0.00028463 0.00030328
1975048 61.5 0.00026664 0.00028718
1975049 62.0 0.00024971 0.00026946
1975050 62.5 0.00023377 0.00024862
1975051 63.0 0.00021877 0.00024064
1975052 63.5 0.00020467 0.00022268
1975053 64.0 0.0001914 0.00020732
1975054 64.5 0.00017893 0.00018969
1975055 65.0 0.00016721 0.00017674
1975056 65.5 0.0001562 0.00016515
1975057 66.0 0.00014585 0.00015707
1975058 66.5 0.00013614 0.00014459
1975059 67.0 0.00012702 0.00013288
1975060 67.5 0.00011847 0.0001266
1975061 68.0 0.00011044 0.00011635
1975062 68.5 0.00010291 0.00010749
1975063 69.0 9.586e-05 9.5893e-05
1975064 69.5 8.9252e-05 8.9268e-05
1975065 70.0 8.3063e-05 8.5457e-05
1975066 70.5 7.7163e-05 8.0538e-05
1975067 71.0 7.1662e-05 7.5083e-05
1975068 71.5 6.6533e-05 7.114e-05
1975069 72.0 6.1754e-05 6.4276e-05
1975070 72.5 5.73e-05 5.9024e-05
1975071 73.0 5.3152e-05 5.4496e-05
1975072 73.5 4.929e-05 5.0978e-05
