 Hgtkm DensMean DensPert
488418 0.0 1.1656 1.1492
488419 0.5 1.1117 1.1096
488420 1.0 1.06 1.0626
488421 1.5 1.0101 1.0098
488422 2.0 0.96405 0.97623
488423 2.5 0.91875 0.92597
488424 3.0 0.87485 0.87534
488425 3.5 0.83389 0.83743
488426 4.0 0.79521 0.79949
488427 4.5 0.75791 0.75876
488428 5.0 0.72062 0.72537
488429 5.5 0.68516 0.6891
488430 6.0 0.65099 0.65285
488431 6.5 0.61753 0.61862
488432 7.0 0.5858 0.58648
488433 7.5 0.5557 0.55804
488434 8.0 0.52637 0.52791
488435 8.5 0.49854 0.50109
488436 9.0 0.47219 0.47278
488437 9.5 0.44723 0.44747
488438 10.0 0.42223 0.42259
488439 10.5 0.39833 0.39875
488440 11.0 0.37498 0.37652
488441 11.5 0.35148 0.35433
488442 12.0 0.32946 0.33268
488443 12.5 0.30821 0.31167
488444 13.0 0.2875 0.29058
488445 13.5 0.26819 0.27328
488446 14.0 0.25018 0.25253
488447 14.5 0.23224 0.23439
488448 15.0 0.21522 0.21601
488449 15.5 0.19945 0.19986
488450 16.0 0.18484 0.18267
488451 16.5 0.1713 0.17122
488452 17.0 0.15766 0.15591
488453 17.5 0.14477 0.14383
488454 18.0 0.13294 0.13415
488455 18.5 0.12208 0.12263
488456 19.0 0.11216 0.11139
488457 19.5 0.10313 0.1028
488458 20.0 0.09483 0.094909
488459 20.5 0.087198 0.087083
488460 21.0 0.080207 0.079978
488461 21.5 0.073926 0.073181
488462 22.0 0.068138 0.067522
488463 22.5 0.062804 0.062376
488464 23.0 0.057888 0.057412
488465 23.5 0.053357 0.052826
488466 24.0 0.049182 0.049128
488467 24.5 0.045387 0.045118
488468 25.0 0.041919 0.041851
488469 25.5 0.038717 0.038554
488470 26.0 0.035759 0.035623
488471 26.5 0.033028 0.03303
488472 27.0 0.030517 0.030528
488473 27.5 0.028214 0.028131
488474 28.0 0.02607 0.025939
488475 28.5 0.024079 0.024135
488476 29.0 0.022235 0.02226
488477 29.5 0.020534 0.020463
488478 30.0 0.018972 0.018916
488479 30.5 0.017528 0.017446
488480 31.0 0.016206 0.015997
488481 31.5 0.014997 0.015032
488482 32.0 0.013887 0.013852
488483 32.5 0.012864 0.012808
488484 33.0 0.01192 0.011925
488485 33.5 0.011049 0.010918
488486 34.0 0.010245 0.010207
488487 34.5 0.0095026 0.0095234
488488 35.0 0.0088171 0.0087433
488489 35.5 0.0081759 0.0080027
488490 36.0 0.0075843 0.0073944
488491 36.5 0.0070383 0.0068752
488492 37.0 0.0065342 0.006486
488493 37.5 0.0060686 0.0060411
488494 38.0 0.0056384 0.0055408
488495 38.5 0.0052406 0.0052372
488496 39.0 0.0048728 0.0048482
488497 39.5 0.0045324 0.0045113
488498 40.0 0.0042174 0.0042173
488499 40.5 0.0039312 0.0039726
488500 41.0 0.0036655 0.0036896
488501 41.5 0.0034187 0.0034232
488502 42.0 0.0031894 0.0031928
488503 42.5 0.0029763 0.0030166
488504 43.0 0.0027781 0.002848
488505 43.5 0.0025939 0.0026337
488506 44.0 0.0024226 0.0024474
488507 44.5 0.0022632 0.0023024
488508 45.0 0.0021148 0.002124
488509 45.5 0.001983 0.0019964
488510 46.0 0.0018594 0.0018811
488511 46.5 0.0017437 0.0017675
488512 47.0 0.0016352 0.0016889
488513 47.5 0.0015336 0.001594
488514 48.0 0.0014384 0.0015293
488515 48.5 0.0013491 0.0014365
488516 49.0 0.0012654 0.0013307
488517 49.5 0.001187 0.0012403
488518 50.0 0.0011135 0.0011764
488519 50.5 0.0010487 0.0011253
488520 51.0 0.00098743 0.0010543
488521 51.5 0.00092954 0.00099396
488522 52.0 0.00087485 0.00092619
488523 52.5 0.00082321 0.0008699
488524 53.0 0.00077443 0.0008159
488525 53.5 0.00072839 0.00076936
488526 54.0 0.00068493 0.00071557
488527 54.5 0.00064391 0.00067652
488528 55.0 0.00060522 0.00064007
488529 55.5 0.00056946 0.00060524
488530 56.0 0.00053563 0.00056377
488531 56.5 0.00050363 0.00053282
488532 57.0 0.00047338 0.00050052
488533 57.5 0.0004448 0.00046724
488534 58.0 0.00041778 0.00044421
488535 58.5 0.00039227 0.00041702
488536 59.0 0.00036818 0.00039796
