 Hgtkm DensMean DensPert
1500943 0.0 1.1656 1.1436
1500944 0.5 1.1117 1.1235
1500945 1.0 1.06 1.0632
1500946 1.5 1.0101 1.0418
1500947 2.0 0.96405 0.97019
1500948 2.5 0.91875 0.92561
1500949 3.0 0.87485 0.8871
1500950 3.5 0.83389 0.84115
1500951 4.0 0.79521 0.80266
1500952 4.5 0.75791 0.7646
1500953 5.0 0.72062 0.72963
1500954 5.5 0.68516 0.69386
1500955 6.0 0.65099 0.65984
1500956 6.5 0.61753 0.62441
1500957 7.0 0.5858 0.59203
1500958 7.5 0.5557 0.56023
1500959 8.0 0.52637 0.53049
1500960 8.5 0.49854 0.50124
1500961 9.0 0.47219 0.47425
1500962 9.5 0.44723 0.44924
1500963 10.0 0.42223 0.42343
1500964 10.5 0.39833 0.39931
1500965 11.0 0.37498 0.37729
1500966 11.5 0.35148 0.35295
1500967 12.0 0.32946 0.32881
1500968 12.5 0.30821 0.30908
1500969 13.0 0.2875 0.28524
1500970 13.5 0.26819 0.26754
1500971 14.0 0.25018 0.24786
1500972 14.5 0.23224 0.22868
1500973 15.0 0.21522 0.21391
1500974 15.5 0.19945 0.1981
1500975 16.0 0.18484 0.18299
1500976 16.5 0.1713 0.1688
1500977 17.0 0.15766 0.15616
1500978 17.5 0.14477 0.14465
1500979 18.0 0.13294 0.13192
1500980 18.5 0.12208 0.12148
1500981 19.0 0.11216 0.11115
1500982 19.5 0.10313 0.1022
1500983 20.0 0.09483 0.094633
1500984 20.5 0.087198 0.087173
1500985 21.0 0.080207 0.0798
1500986 21.5 0.073926 0.073587
1500987 22.0 0.068138 0.06752
1500988 22.5 0.062804 0.062148
1500989 23.0 0.057888 0.05733
1500990 23.5 0.053357 0.053193
1500991 24.0 0.049182 0.048808
1500992 24.5 0.045387 0.044955
1500993 25.0 0.041919 0.041544
1500994 25.5 0.038717 0.038141
1500995 26.0 0.035759 0.035671
1500996 26.5 0.033028 0.032906
1500997 27.0 0.030517 0.030421
1500998 27.5 0.028214 0.028131
1500999 28.0 0.02607 0.025941
1501000 28.5 0.024079 0.024087
1501001 29.0 0.022235 0.022024
1501002 29.5 0.020534 0.020254
1501003 30.0 0.018972 0.018677
1501004 30.5 0.017528 0.017225
1501005 31.0 0.016206 0.015883
1501006 31.5 0.014997 0.014852
1501007 32.0 0.013887 0.013824
1501008 32.5 0.012864 0.012826
1501009 33.0 0.01192 0.011913
1501010 33.5 0.011049 0.010977
1501011 34.0 0.010245 0.01012
1501012 34.5 0.0095026 0.0094299
1501013 35.0 0.0088171 0.0087563
1501014 35.5 0.0081759 0.0082661
1501015 36.0 0.0075843 0.0077118
1501016 36.5 0.0070383 0.0070861
1501017 37.0 0.0065342 0.0065506
1501018 37.5 0.0060686 0.0061861
1501019 38.0 0.0056384 0.0058252
1501020 38.5 0.0052406 0.0053419
1501021 39.0 0.0048728 0.0049829
1501022 39.5 0.0045324 0.0046572
1501023 40.0 0.0042174 0.0043578
1501024 40.5 0.0039312 0.0040475
1501025 41.0 0.0036655 0.0037745
1501026 41.5 0.0034187 0.003549
1501027 42.0 0.0031894 0.0033517
1501028 42.5 0.0029763 0.0030941
1501029 43.0 0.0027781 0.0028966
1501030 43.5 0.0025939 0.0027045
1501031 44.0 0.0024226 0.0025198
1501032 44.5 0.0022632 0.0023459
1501033 45.0 0.0021148 0.0021826
1501034 45.5 0.001983 0.0020443
1501035 46.0 0.0018594 0.0019476
1501036 46.5 0.0017437 0.0018163
1501037 47.0 0.0016352 0.001699
1501038 47.5 0.0015336 0.0015973
1501039 48.0 0.0014384 0.0015016
1501040 48.5 0.0013491 0.0014074
1501041 49.0 0.0012654 0.0013021
1501042 49.5 0.001187 0.0012361
1501043 50.0 0.0011135 0.0011655
1501044 50.5 0.0010487 0.0011224
1501045 51.0 0.00098743 0.0010639
1501046 51.5 0.00092954 0.00099152
1501047 52.0 0.00087485 0.00092229
1501048 52.5 0.00082321 0.00087056
1501049 53.0 0.00077443 0.00082914
1501050 53.5 0.00072839 0.00076605
1501051 54.0 0.00068493 0.00071787
1501052 54.5 0.00064391 0.00067252
1501053 55.0 0.00060522 0.00063426
1501054 55.5 0.00056946 0.00058911
1501055 56.0 0.00053563 0.00054872
1501056 56.5 0.00050363 0.00051286
1501057 57.0 0.00047338 0.00049239
1501058 57.5 0.0004448 0.00045599
1501059 58.0 0.00041778 0.00043803
1501060 58.5 0.00039227 0.00041363
1501061 59.0 0.00036818 0.00038714
1501062 59.5 0.00034544 0.00036704
1501063 60.0 0.00032399 0.00033809
1501064 60.5 0.00030372 0.00032273
1501065 61.0 0.00028463 0.00030498
1501066 61.5 0.00026664 0.00028065
1501067 62.0 0.00024971 0.00025742
1501068 62.5 0.00023377 0.00023706
1501069 63.0 0.00021877 0.00021788
1501070 63.5 0.00020467 0.00020323
1501071 64.0 0.0001914 0.0001933
1501072 64.5 0.00017893 0.0001854
1501073 65.0 0.00016721 0.00017535
1501074 65.5 0.0001562 0.00016611
1501075 66.0 0.00014585 0.00015286
1501076 66.5 0.00013614 0.00014459
1501077 67.0 0.00012702 0.00013494
1501078 67.5 0.00011847 0.00012817
1501079 68.0 0.00011044 0.00012084
1501080 68.5 0.00010291 0.00011347
1501081 69.0 9.586e-05 0.00010628
1501082 69.5 8.9252e-05 9.7016e-05
1501083 70.0 8.3063e-05 8.7327e-05
1501084 70.5 7.7163e-05 8.0855e-05
1501085 71.0 7.1662e-05 7.6079e-05
1501086 71.5 6.6533e-05 7.1089e-05
1501087 72.0 6.1754e-05 6.5373e-05
1501088 72.5 5.73e-05 5.9284e-05
1501089 73.0 5.3152e-05 5.4545e-05
1501090 73.5 4.929e-05 4.9783e-05
1501091 74.0 4.5694e-05 4.6656e-05
1501092 74.5 4.2348e-05 4.296e-05
1501093 75.0 3.9234e-05 4.1045e-05
1501094 75.5 3.6322e-05 3.8579e-05
1501095 76.0 3.362e-05 3.628e-05
1501096 76.5 3.1114e-05 3.4681e-05
1501097 77.0 2.879e-05 3.1509e-05
1501098 77.5 2.6635e-05 2.8969e-05
1501099 78.0 2.4638e-05 2.6588e-05
1501100 78.5 2.2786e-05 2.4902e-05
1501101 79.0 2.107e-05 2.3372e-05
1501102 79.5 1.948e-05 2.1952e-05
1501103 80.0 1.8007e-05 2.0096e-05
1501104 80.5 1.6666e-05 1.8586e-05
1501105 81.0 1.5421e-05 1.6913e-05
1501106 81.5 1.4266e-05 1.5707e-05
1501107 82.0 1.3195e-05 1.4779e-05
1501108 82.5 1.2201e-05 1.3853e-05
1501109 83.0 1.1279e-05 1.2759e-05
1501110 83.5 1.0424e-05 1.1663e-05
1501111 84.0 9.6315e-06 1.0503e-05
1501112 84.5 8.8972e-06 9.5659e-06
1501113 85.0 8.2168e-06 8.6342e-06
1501114 85.5 7.5691e-06 7.9753e-06
1501115 86.0 6.9703e-06 7.2439e-06
1501116 86.5 6.4168e-06 6.8954e-06
1501117 87.0 5.9053e-06 6.5945e-06
1501118 87.5 5.4329e-06 5.9801e-06
1501119 88.0 4.9967e-06 5.2989e-06
1501120 88.5 4.5939e-06 4.9286e-06
1501121 89.0 4.2223e-06 4.4354e-06
1501122 89.5 3.8794e-06 3.8829e-06
1501123 90.0 3.5632e-06 3.4792e-06
1501124 90.5 3.2661e-06 3.0417e-06
1501125 91.0 2.9921e-06 2.7693e-06
1501126 91.5 2.7394e-06 2.5491e-06
1501127 92.0 2.5064e-06 2.4152e-06
1501128 92.5 2.2918e-06 2.283e-06
1501129 93.0 2.0942e-06 2.1271e-06
1501130 93.5 1.9124e-06 1.9883e-06
1501131 94.0 1.7451e-06 1.8643e-06
1501132 94.5 1.5915e-06 1.7134e-06
1501133 95.0 1.4504e-06 1.5059e-06
1501134 95.5 1.3156e-06 1.3974e-06
1501135 96.0 1.1938e-06 1.304e-06
1501136 96.5 1.0837e-06 1.1772e-06
1501137 97.0 9.8411e-07 1.0332e-06
1501138 97.5 8.94e-07 9.4267e-07
1501139 98.0 8.1243e-07 8.9429e-07
1501140 98.5 7.3857e-07 8.304e-07
1501141 99.0 6.7167e-07 7.4448e-07
1501142 99.5 6.1105e-07 7.3998e-07
1501143 100.0 5.5611e-07 7.1425e-07
1501144 100.5 5.0368e-07 6.5107e-07
1501145 101.0 4.5678e-07 5.5558e-07
1501146 101.5 4.1476e-07 5.0092e-07
1501147 102.0 3.7705e-07 4.3595e-07
1501148 102.5 3.4316e-07 3.6711e-07
1501149 103.0 3.1267e-07 3.4356e-07
1501150 103.5 2.852e-07 3.085e-07
1501151 104.0 2.6042e-07 2.8382e-07
1501152 104.5 2.3804e-07 2.5686e-07
1501153 105.0 2.1782e-07 2.4131e-07
1501154 105.5 1.9878e-07 2.2185e-07
1501155 106.0 1.8174e-07 2.0464e-07
1501156 106.5 1.6645e-07 1.8771e-07
1501157 107.0 1.5269e-07 1.7829e-07
1501158 107.5 1.4029e-07 1.585e-07
1501159 108.0 1.2908e-07 1.4452e-07
1501160 108.5 1.1894e-07 1.3229e-07
1501161 109.0 1.0974e-07 1.2447e-07
1501162 109.5 1.0139e-07 1.1247e-07
1501163 110.0 9.3782e-08 1.0431e-07
1501164 110.5 8.6689e-08 9.4825e-08
1501165 111.0 8.027e-08 8.7483e-08
1501166 111.5 7.4446e-08 8.114e-08
1501167 112.0 6.9146e-08 7.4582e-08
1501168 112.5 6.4312e-08 7.055e-08
1501169 113.0 5.9892e-08 6.4906e-08
1501170 113.5 5.5844e-08 5.8976e-08
1501171 114.0 5.2129e-08 5.5403e-08
1501172 114.5 4.8712e-08 5.0941e-08
1501173 115.0 4.5565e-08 4.7713e-08
1501174 115.5 4.2658e-08 4.3608e-08
1501175 116.0 3.9975e-08 4.2608e-08
1501176 116.5 3.7495e-08 3.9637e-08
1501177 117.0 3.5199e-08 3.8041e-08
1501178 117.5 3.307e-08 3.5241e-08
1501179 118.0 3.1094e-08 3.2969e-08
1501180 118.5 2.9258e-08 3.0813e-08
1501181 119.0 2.755e-08 2.863e-08
1501182 119.5 2.5959e-08 2.6914e-08
1501183 120.0 2.4476e-08 2.5908e-08
1501184 120.5 2.3096e-08 2.4479e-08
1501185 121.0 2.1815e-08 2.2866e-08
1501186 121.5 2.0624e-08 2.1736e-08
1501187 122.0 1.9516e-08 2.0037e-08
1501188 122.5 1.8484e-08 1.886e-08
1501189 123.0 1.7523e-08 1.8037e-08
1501190 123.5 1.6627e-08 1.7488e-08
1501191 124.0 1.579e-08 1.6049e-08
1501192 124.5 1.5009e-08 1.4561e-08
1501193 125.0 1.4278e-08 1.3867e-08
1501194 125.5 1.3595e-08 1.2796e-08
1501195 126.0 1.2955e-08 1.2268e-08
1501196 126.5 1.2355e-08 1.1532e-08
1501197 127.0 1.1792e-08 1.1074e-08
1501198 127.5 1.1263e-08 1.0577e-08
1501199 128.0 1.0766e-08 9.8589e-09
1501200 128.5 1.0298e-08 9.4705e-09
1501201 129.0 9.8578e-09 9.2827e-09
1501202 129.5 9.4426e-09 9.0548e-09
1501203 130.0 9.0509e-09 8.4089e-09
1501204 130.5 8.681e-09 8.0825e-09
1501205 131.0 8.3315e-09 7.7983e-09
1501206 131.5 8.001e-09 7.2749e-09
1501207 132.0 7.6883e-09 7.0944e-09
1501208 132.5 7.392e-09 6.9004e-09
1501209 133.0 7.1112e-09 6.8484e-09
1501210 133.5 6.8449e-09 6.6988e-09
1501211 134.0 6.5921e-09 6.1126e-09
1501212 134.5 6.3521e-09 5.8942e-09
1501213 135.0 6.1239e-09 6.0151e-09
1501214 135.5 5.9069e-09 5.8074e-09
1501215 136.0 5.7004e-09 5.6967e-09
1501216 136.5 5.5037e-09 5.3816e-09
1501217 137.0 5.3163e-09 5.0847e-09
1501218 137.5 5.1377e-09 4.9266e-09
1501219 138.0 4.9673e-09 4.8838e-09
1501220 138.5 4.8046e-09 4.8003e-09
1501221 139.0 4.6493e-09 4.6229e-09
1501222 139.5 4.5009e-09 4.5354e-09
1501223 140.0 4.3589e-09 4.3234e-09
1501224 140.5 4.2232e-09 4.1298e-09
1501225 141.0 4.0932e-09 4.0354e-09
1501226 141.5 3.9688e-09 3.8558e-09
