 Hgtkm DensMean DensPert
690121 0.0 1.1656 1.1891
690122 0.5 1.1117 1.1077
690123 1.0 1.06 1.0836
690124 1.5 1.0101 1.0541
690125 2.0 0.96405 0.98489
690126 2.5 0.91875 0.93651
690127 3.0 0.87485 0.88542
690128 3.5 0.83389 0.83312
690129 4.0 0.79521 0.79949
690130 4.5 0.75791 0.76013
690131 5.0 0.72062 0.72319
690132 5.5 0.68516 0.68912
690133 6.0 0.65099 0.66263
690134 6.5 0.61753 0.62166
690135 7.0 0.5858 0.5969
690136 7.5 0.5557 0.57333
690137 8.0 0.52637 0.53517
690138 8.5 0.49854 0.50413
690139 9.0 0.47219 0.47039
690140 9.5 0.44723 0.4469
690141 10.0 0.42223 0.42415
690142 10.5 0.39833 0.40323
690143 11.0 0.37498 0.37996
690144 11.5 0.35148 0.35674
690145 12.0 0.32946 0.33427
690146 12.5 0.30821 0.31232
690147 13.0 0.2875 0.29071
690148 13.5 0.26819 0.27088
690149 14.0 0.25018 0.25256
690150 14.5 0.23224 0.23395
690151 15.0 0.21522 0.21675
690152 15.5 0.19945 0.19987
690153 16.0 0.18484 0.18563
690154 16.5 0.1713 0.17119
690155 17.0 0.15766 0.15855
690156 17.5 0.14477 0.14499
690157 18.0 0.13294 0.13175
690158 18.5 0.12208 0.12183
690159 19.0 0.11216 0.11135
690160 19.5 0.10313 0.10241
690161 20.0 0.09483 0.09425
690162 20.5 0.087198 0.087001
690163 21.0 0.080207 0.080655
690164 21.5 0.073926 0.074006
690165 22.0 0.068138 0.067921
690166 22.5 0.062804 0.063011
690167 23.0 0.057888 0.058019
690168 23.5 0.053357 0.053884
690169 24.0 0.049182 0.049307
690170 24.5 0.045387 0.045579
690171 25.0 0.041919 0.042095
690172 25.5 0.038717 0.038913
690173 26.0 0.035759 0.036009
690174 26.5 0.033028 0.0332
690175 27.0 0.030517 0.030746
690176 27.5 0.028214 0.028298
690177 28.0 0.02607 0.026207
690178 28.5 0.024079 0.024326
690179 29.0 0.022235 0.022477
690180 29.5 0.020534 0.020825
690181 30.0 0.018972 0.019305
690182 30.5 0.017528 0.017743
690183 31.0 0.016206 0.016468
690184 31.5 0.014997 0.015189
690185 32.0 0.013887 0.014095
690186 32.5 0.012864 0.012989
690187 33.0 0.01192 0.012064
690188 33.5 0.011049 0.011151
690189 34.0 0.010245 0.010279
690190 34.5 0.0095026 0.0095031
690191 35.0 0.0088171 0.0089946
690192 35.5 0.0081759 0.0083549
690193 36.0 0.0075843 0.00772
690194 36.5 0.0070383 0.0070742
690195 37.0 0.0065342 0.006576
690196 37.5 0.0060686 0.0061593
690197 38.0 0.0056384 0.0056844
690198 38.5 0.0052406 0.0052477
690199 39.0 0.0048728 0.0048855
690200 39.5 0.0045324 0.0045855
690201 40.0 0.0042174 0.0042394
690202 40.5 0.0039312 0.0039511
690203 41.0 0.0036655 0.0036501
690204 41.5 0.0034187 0.0034414
690205 42.0 0.0031894 0.0032494
690206 42.5 0.0029763 0.0030281
690207 43.0 0.0027781 0.0028372
690208 43.5 0.0025939 0.0025898
690209 44.0 0.0024226 0.0023975
690210 44.5 0.0022632 0.002269
690211 45.0 0.0021148 0.002134
690212 45.5 0.001983 0.0019817
690213 46.0 0.0018594 0.0018596
690214 46.5 0.0017437 0.0017605
690215 47.0 0.0016352 0.0016245
690216 47.5 0.0015336 0.0015267
690217 48.0 0.0014384 0.0014358
690218 48.5 0.0013491 0.0013372
690219 49.0 0.0012654 0.0012637
690220 49.5 0.001187 0.0011557
690221 50.0 0.0011135 0.0010978
690222 50.5 0.0010487 0.001028
690223 51.0 0.00098743 0.00096094
690224 51.5 0.00092954 0.0009104
690225 52.0 0.00087485 0.0008575
690226 52.5 0.00082321 0.00080407
690227 53.0 0.00077443 0.00075759
690228 53.5 0.00072839 0.00071339
690229 54.0 0.00068493 0.00067262
690230 54.5 0.00064391 0.00064238
690231 55.0 0.00060522 0.00061181
690232 55.5 0.00056946 0.00057021
690233 56.0 0.00053563 0.0005334
690234 56.5 0.00050363 0.00050566
690235 57.0 0.00047338 0.00047126
690236 57.5 0.0004448 0.00043538
690237 58.0 0.00041778 0.00040967
690238 58.5 0.00039227 0.0003964
690239 59.0 0.00036818 0.00037114
690240 59.5 0.00034544 0.00033559
690241 60.0 0.00032399 0.0003113
690242 60.5 0.00030372 0.00028647
690243 61.0 0.00028463 0.0002785
690244 61.5 0.00026664 0.0002513
690245 62.0 0.00024971 0.00022979
690246 62.5 0.00023377 0.00021774
690247 63.0 0.00021877 0.0002019
690248 63.5 0.00020467 0.00018741
690249 64.0 0.0001914 0.0001728
690250 64.5 0.00017893 0.00016407
690251 65.0 0.00016721 0.00015597
690252 65.5 0.0001562 0.00014833
690253 66.0 0.00014585 0.00013953
690254 66.5 0.00013614 0.0001286
690255 67.0 0.00012702 0.000117
690256 67.5 0.00011847 0.0001139
690257 68.0 0.00011044 0.00010697
690258 68.5 0.00010291 0.00010026
690259 69.0 9.586e-05 9.2225e-05
690260 69.5 8.9252e-05 8.6635e-05
690261 70.0 8.3063e-05 7.9163e-05
690262 70.5 7.7163e-05 7.4161e-05
690263 71.0 7.1662e-05 6.8744e-05
690264 71.5 6.6533e-05 6.3834e-05
690265 72.0 6.1754e-05 6.0327e-05
690266 72.5 5.73e-05 5.6726e-05
690267 73.0 5.3152e-05 5.3175e-05
690268 73.5 4.929e-05 4.9608e-05
690269 74.0 4.5694e-05 4.6044e-05
690270 74.5 4.2348e-05 4.3507e-05
690271 75.0 3.9234e-05 3.9539e-05
690272 75.5 3.6322e-05 3.6521e-05
690273 76.0 3.362e-05 3.3748e-05
690274 76.5 3.1114e-05 3.1226e-05
690275 77.0 2.879e-05 2.8252e-05
690276 77.5 2.6635e-05 2.6146e-05
690277 78.0 2.4638e-05 2.3936e-05
690278 78.5 2.2786e-05 2.2618e-05
690279 79.0 2.107e-05 2.0738e-05
690280 79.5 1.948e-05 1.9107e-05
690281 80.0 1.8007e-05 1.788e-05
690282 80.5 1.6666e-05 1.6306e-05
690283 81.0 1.5421e-05 1.4564e-05
690284 81.5 1.4266e-05 1.3628e-05
690285 82.0 1.3195e-05 1.2587e-05
690286 82.5 1.2201e-05 1.1715e-05
690287 83.0 1.1279e-05 1.1209e-05
690288 83.5 1.0424e-05 1.026e-05
690289 84.0 9.6315e-06 9.6151e-06
690290 84.5 8.8972e-06 9.0627e-06
690291 85.0 8.2168e-06 8.1384e-06
690292 85.5 7.5691e-06 7.4293e-06
690293 86.0 6.9703e-06 6.6855e-06
690294 86.5 6.4168e-06 6.0376e-06
690295 87.0 5.9053e-06 5.6287e-06
690296 87.5 5.4329e-06 5.2175e-06
690297 88.0 4.9967e-06 4.6743e-06
690298 88.5 4.5939e-06 4.2459e-06
690299 89.0 4.2223e-06 4.046e-06
690300 89.5 3.8794e-06 3.7181e-06
690301 90.0 3.5632e-06 3.5749e-06
690302 90.5 3.2661e-06 3.253e-06
690303 91.0 2.9921e-06 2.9579e-06
690304 91.5 2.7394e-06 2.72e-06
690305 92.0 2.5064e-06 2.4863e-06
690306 92.5 2.2918e-06 2.2796e-06
690307 93.0 2.0942e-06 2.18e-06
690308 93.5 1.9124e-06 2.0612e-06
690309 94.0 1.7451e-06 1.8103e-06
690310 94.5 1.5915e-06 1.5204e-06
690311 95.0 1.4504e-06 1.3684e-06
690312 95.5 1.3156e-06 1.2812e-06
690313 96.0 1.1938e-06 1.2088e-06
690314 96.5 1.0837e-06 1.1231e-06
690315 97.0 9.8411e-07 9.6429e-07
690316 97.5 8.94e-07 7.9459e-07
690317 98.0 8.1243e-07 7.7201e-07
690318 98.5 7.3857e-07 7.3303e-07
690319 99.0 6.7167e-07 5.7779e-07
690320 99.5 6.1105e-07 5.3147e-07
690321 100.0 5.5611e-07 5.4352e-07
690322 100.5 5.0368e-07 5.1172e-07
690323 101.0 4.5678e-07 4.8721e-07
690324 101.5 4.1476e-07 4.5067e-07
690325 102.0 3.7705e-07 3.949e-07
690326 102.5 3.4316e-07 3.7831e-07
690327 103.0 3.1267e-07 3.3616e-07
690328 103.5 2.852e-07 2.8772e-07
690329 104.0 2.6042e-07 2.6883e-07
690330 104.5 2.3804e-07 2.4636e-07
690331 105.0 2.1782e-07 2.2764e-07
690332 105.5 1.9878e-07 2.0304e-07
690333 106.0 1.8174e-07 1.8509e-07
690334 106.5 1.6645e-07 1.6493e-07
690335 107.0 1.5269e-07 1.4849e-07
690336 107.5 1.4029e-07 1.3424e-07
690337 108.0 1.2908e-07 1.2558e-07
690338 108.5 1.1894e-07 1.1666e-07
690339 109.0 1.0974e-07 1.0147e-07
690340 109.5 1.0139e-07 9.5182e-08
690341 110.0 9.3782e-08 8.3231e-08
690342 110.5 8.6689e-08 7.8705e-08
690343 111.0 8.027e-08 7.6978e-08
690344 111.5 7.4446e-08 7.0614e-08
690345 112.0 6.9146e-08 6.4868e-08
690346 112.5 6.4312e-08 6.1295e-08
690347 113.0 5.9892e-08 5.4623e-08
690348 113.5 5.5844e-08 5.3499e-08
690349 114.0 5.2129e-08 4.9433e-08
690350 114.5 4.8712e-08 4.322e-08
690351 115.0 4.5565e-08 4.0838e-08
690352 115.5 4.2658e-08 3.8653e-08
690353 116.0 3.9975e-08 3.6007e-08
690354 116.5 3.7495e-08 3.2833e-08
690355 117.0 3.5199e-08 3.0712e-08
690356 117.5 3.307e-08 2.8933e-08
690357 118.0 3.1094e-08 2.6791e-08
690358 118.5 2.9258e-08 2.4198e-08
