 Hgtkm DensMean DensPert
189 94.5 1.59E-06 1.59E-06
190 95 1.45E-06 1.45E-06
191 95.5 1.32E-06 1.32E-06
192 96 1.19E-06 1.19E-06
193 96.5 1.08E-06 1.08E-06
194 97 9.84E-07 9.84E-07
195 97.5 8.94E-07 8.94E-07
196 98 8.12E-07 8.12E-07
197 98.5 7.39E-07 7.39E-07
198 99 6.72E-07 6.72E-07
199 99.5 6.11E-07 6.11E-07
200 100 5.56E-07 5.56E-07
201 100.5 5.04E-07 5.04E-07
202 101 4.57E-07 4.57E-07
203 101.5 4.15E-07 4.15E-07
204 102 3.77E-07 3.77E-07
205 102.5 3.43E-07 3.43E-07
206 103 3.13E-07 3.13E-07
207 103.5 2.85E-07 2.85E-07
208 104 2.60E-07 2.60E-07
209 104.5 2.38E-07 2.38E-07
210 105 2.18E-07 2.18E-07
211 105.5 1.99E-07 1.99E-07
212 106 1.82E-07 1.82E-07
213 106.5 1.66E-07 1.66E-07
214 107 1.53E-07 1.53E-07
215 107.5 1.40E-07 1.40E-07
216 108 1.29E-07 1.29E-07
217 108.5 1.19E-07 1.19E-07
218 109 1.10E-07 1.10E-07
219 109.5 1.01E-07 1.01E-07
220 110 9.38E-08 9.38E-08
221 110.5 8.67E-08 8.67E-08
222 111 8.03E-08 8.03E-08
223 111.5 7.44E-08 7.44E-08
224 112 6.91E-08 6.91E-08
225 112.5 6.43E-08 6.43E-08
226 113 5.99E-08 5.99E-08
227 113.5 5.58E-08 5.58E-08
228 114 5.21E-08 5.21E-08
229 114.5 4.87E-08 4.87E-08
230 115 4.56E-08 4.56E-08
231 115.5 4.27E-08 4.27E-08
232 116 4.00E-08 4.00E-08
233 116.5 3.75E-08 3.75E-08
234 117 3.52E-08 3.52E-08
235 117.5 3.31E-08 3.31E-08
236 118 3.11E-08 3.11E-08
237 118.5 2.93E-08 2.93E-08
238 119 2.76E-08 2.76E-08
239 119.5 2.60E-08 2.60E-08
240 120 2.45E-08 2.45E-08
241 120.5 2.31E-08 2.31E-08
242 121 2.18E-08 2.18E-08
243 121.5 2.06E-08 2.06E-08
244 122 1.95E-08 1.95E-08
245 122.5 1.85E-08 1.85E-08
246 123 1.75E-08 1.75E-08
247 123.5 1.66E-08 1.66E-08
248 124 1.58E-08 1.58E-08
249 124.5 1.50E-08 1.50E-08
250 125 1.43E-08 1.43E-08
251 125.5 1.36E-08 1.36E-08
252 126 1.30E-08 1.30E-08
253 126.5 1.24E-08 1.24E-08
254 127 1.18E-08 1.18E-08
255 127.5 1.13E-08 1.13E-08
256 128 1.08E-08 1.08E-08
257 128.5 1.03E-08 1.03E-08
258 129 9.86E-09 9.86E-09
259 129.5 9.44E-09 9.44E-09
260 130 9.05E-09 9.05E-09
261 130.5 8.68E-09 8.68E-09
262 131 8.33E-09 8.33E-09
263 131.5 8.00E-09 8.00E-09
264 132 7.69E-09 7.69E-09
265 132.5 7.39E-09 7.39E-09
266 133 7.11E-09 7.11E-09
267 133.5 6.84E-09 6.84E-09
268 134 6.59E-09 6.59E-09
269 134.5 6.35E-09 6.35E-09
270 135 6.12E-09 6.12E-09
271 135.5 5.91E-09 5.91E-09
272 136 5.70E-09 5.70E-09
273 136.5 5.50E-09 5.50E-09
274 137 5.32E-09 5.32E-09
275 137.5 5.14E-09 5.14E-09
276 138 4.97E-09 4.97E-09
277 138.5 4.80E-09 4.80E-09
278 139 4.65E-09 4.65E-09
279 139.5 4.50E-09 4.50E-09
280 140 4.36E-09 4.36E-09
281 140.5 4.22E-09 4.22E-09
282 141 4.09E-09 4.09E-09
283 141.5 3.97E-09 3.97E-09
284 142 3.85E-09 3.85E-09
285 142.5 3.74E-09 3.74E-09
286 143 3.63E-09 3.63E-09
287 143.5 3.52E-09 3.52E-09
288 144 3.42E-09 3.42E-09
289 144.5 3.32E-09 3.32E-09
290 145 3.23E-09 3.23E-09
291 145.5 3.14E-09 3.14E-09
292 146 3.05E-09 3.05E-09
293 146.5 2.97E-09 2.97E-09
294 147 2.89E-09 2.89E-09
295 147.5 2.82E-09 2.82E-09
296 148 2.74E-09 2.74E-09
297 148.5 2.67E-09 2.67E-09
298 149 2.60E-09 2.60E-09
299 149.5 2.54E-09 2.54E-09
300 150 2.47E-09 2.47E-09
301 150.5 2.41E-09 2.41E-09
302 151 2.35E-09 2.35E-09
303 151.5 2.29E-09 2.29E-09
304 152 2.24E-09 2.24E-09
305 152.5 2.18E-09 2.18E-09
306 153 2.13E-09 2.13E-09
