 Hgtkm DensMean DensPert
1975727 0.0 1.1656 1.1871
1975728 0.5 1.1117 1.1274
1975729 1.0 1.06 1.0932
1975730 1.5 1.0101 1.03
1975731 2.0 0.96405 0.97666
1975732 2.5 0.91875 0.91865
1975733 3.0 0.87485 0.88217
1975734 3.5 0.83389 0.83732
1975735 4.0 0.79521 0.79471
1975736 4.5 0.75791 0.75777
1975737 5.0 0.72062 0.72333
1975738 5.5 0.68516 0.68848
1975739 6.0 0.65099 0.65587
1975740 6.5 0.61753 0.61935
1975741 7.0 0.5858 0.58722
1975742 7.5 0.5557 0.55558
1975743 8.0 0.52637 0.52638
1975744 8.5 0.49854 0.49671
1975745 9.0 0.47219 0.46962
1975746 9.5 0.44723 0.44394
1975747 10.0 0.42223 0.4186
1975748 10.5 0.39833 0.39361
1975749 11.0 0.37498 0.37065
1975750 11.5 0.35148 0.34679
1975751 12.0 0.32946 0.32578
1975752 12.5 0.30821 0.30473
1975753 13.0 0.2875 0.28357
1975754 13.5 0.26819 0.26434
1975755 14.0 0.25018 0.24756
1975756 14.5 0.23224 0.22842
1975757 15.0 0.21522 0.21079
1975758 15.5 0.19945 0.19689
1975759 16.0 0.18484 0.18403
1975760 16.5 0.1713 0.17008
1975761 17.0 0.15766 0.15632
1975762 17.5 0.14477 0.14489
1975763 18.0 0.13294 0.13147
1975764 18.5 0.12208 0.12125
1975765 19.0 0.11216 0.11096
1975766 19.5 0.10313 0.10261
1975767 20.0 0.09483 0.095425
1975768 20.5 0.087198 0.087397
1975769 21.0 0.080207 0.080309
1975770 21.5 0.073926 0.073605
1975771 22.0 0.068138 0.068676
1975772 22.5 0.062804 0.063015
1975773 23.0 0.057888 0.057745
1975774 23.5 0.053357 0.053022
1975775 24.0 0.049182 0.049055
1975776 24.5 0.045387 0.045481
1975777 25.0 0.041919 0.042204
1975778 25.5 0.038717 0.039058
1975779 26.0 0.035759 0.035835
1975780 26.5 0.033028 0.033304
1975781 27.0 0.030517 0.030669
1975782 27.5 0.028214 0.028318
1975783 28.0 0.02607 0.026241
1975784 28.5 0.024079 0.024168
1975785 29.0 0.022235 0.022419
1975786 29.5 0.020534 0.020702
1975787 30.0 0.018972 0.019047
1975788 30.5 0.017528 0.017505
1975789 31.0 0.016206 0.016171
1975790 31.5 0.014997 0.014961
1975791 32.0 0.013887 0.013954
1975792 32.5 0.012864 0.012943
1975793 33.0 0.01192 0.012048
1975794 33.5 0.011049 0.011165
1975795 34.0 0.010245 0.010459
1975796 34.5 0.0095026 0.0097759
1975797 35.0 0.0088171 0.0090607
1975798 35.5 0.0081759 0.0083898
1975799 36.0 0.0075843 0.0077561
1975800 36.5 0.0070383 0.0072112
1975801 37.0 0.0065342 0.0067133
1975802 37.5 0.0060686 0.0062077
1975803 38.0 0.0056384 0.0057554
1975804 38.5 0.0052406 0.0053648
1975805 39.0 0.0048728 0.0049703
1975806 39.5 0.0045324 0.0046514
1975807 40.0 0.0042174 0.0043559
1975808 40.5 0.0039312 0.0040495
1975809 41.0 0.0036655 0.003755
1975810 41.5 0.0034187 0.0035001
1975811 42.0 0.0031894 0.0032582
1975812 42.5 0.0029763 0.0030479
1975813 43.0 0.0027781 0.0027809
1975814 43.5 0.0025939 0.0026494
1975815 44.0 0.0024226 0.0024739
