 Hgtkm DensMean DensPert
236991 0.0 1.1656 1.1821
236992 0.5 1.1117 1.1486
236993 1.0 1.06 1.0739
236994 1.5 1.0101 1.0055
236995 2.0 0.96405 0.95082
236996 2.5 0.91875 0.92901
236997 3.0 0.87485 0.88535
236998 3.5 0.83389 0.84329
236999 4.0 0.79521 0.80292
237000 4.5 0.75791 0.76722
237001 5.0 0.72062 0.72727
237002 5.5 0.68516 0.69212
237003 6.0 0.65099 0.66343
237004 6.5 0.61753 0.62593
237005 7.0 0.5858 0.59367
237006 7.5 0.5557 0.56389
237007 8.0 0.52637 0.5343
237008 8.5 0.49854 0.50515
237009 9.0 0.47219 0.47675
237010 9.5 0.44723 0.4502
237011 10.0 0.42223 0.4252
237012 10.5 0.39833 0.40145
237013 11.0 0.37498 0.37697
237014 11.5 0.35148 0.35064
237015 12.0 0.32946 0.32874
237016 12.5 0.30821 0.30826
237017 13.0 0.2875 0.28909
237018 13.5 0.26819 0.26947
237019 14.0 0.25018 0.2525
237020 14.5 0.23224 0.23466
237021 15.0 0.21522 0.21607
237022 15.5 0.19945 0.19997
237023 16.0 0.18484 0.18424
237024 16.5 0.1713 0.171
237025 17.0 0.15766 0.15773
237026 17.5 0.14477 0.14336
237027 18.0 0.13294 0.133
237028 18.5 0.12208 0.12
237029 19.0 0.11216 0.11149
237030 19.5 0.10313 0.10264
237031 20.0 0.09483 0.094262
237032 20.5 0.087198 0.086839
237033 21.0 0.080207 0.07975
237034 21.5 0.073926 0.073923
237035 22.0 0.068138 0.067998
237036 22.5 0.062804 0.062684
237037 23.0 0.057888 0.057828
237038 23.5 0.053357 0.053176
237039 24.0 0.049182 0.048931
237040 24.5 0.045387 0.045171
237041 25.0 0.041919 0.041711
237042 25.5 0.038717 0.038449
237043 26.0 0.035759 0.035624
237044 26.5 0.033028 0.032863
237045 27.0 0.030517 0.030321
237046 27.5 0.028214 0.028201
237047 28.0 0.02607 0.025869
237048 28.5 0.024079 0.023978
237049 29.0 0.022235 0.022135
237050 29.5 0.020534 0.02057
237051 30.0 0.018972 0.019054
237052 30.5 0.017528 0.017434
237053 31.0 0.016206 0.016259
237054 31.5 0.014997 0.01494
237055 32.0 0.013887 0.01398
237056 32.5 0.012864 0.012764
237057 33.0 0.01192 0.011878
237058 33.5 0.011049 0.010819
237059 34.0 0.010245 0.010031
237060 34.5 0.0095026 0.0091993
237061 35.0 0.0088171 0.0085863
237062 35.5 0.0081759 0.0079933
237063 36.0 0.0075843 0.0073462
237064 36.5 0.0070383 0.0067975
237065 37.0 0.0065342 0.0063429
237066 37.5 0.0060686 0.0059848
237067 38.0 0.0056384 0.0055904
237068 38.5 0.0052406 0.0052085
237069 39.0 0.0048728 0.0048829
237070 39.5 0.0045324 0.0045861
237071 40.0 0.0042174 0.0042975
237072 40.5 0.0039312 0.0039575
237073 41.0 0.0036655 0.003718
237074 41.5 0.0034187 0.0035045
237075 42.0 0.0031894 0.0032816
237076 42.5 0.0029763 0.0030365
237077 43.0 0.0027781 0.0028944
237078 43.5 0.0025939 0.0027006
237079 44.0 0.0024226 0.0025213
237080 44.5 0.0022632 0.0024029
237081 45.0 0.0021148 0.0022517
237082 45.5 0.001983 0.0020422
237083 46.0 0.0018594 0.0019286
237084 46.5 0.0017437 0.0018045
237085 47.0 0.0016352 0.0017196
237086 47.5 0.0015336 0.0016096
237087 48.0 0.0014384 0.0015209
237088 48.5 0.0013491 0.0014265
237089 49.0 0.0012654 0.0013357
237090 49.5 0.001187 0.0012692
237091 50.0 0.0011135 0.0011865
237092 50.5 0.0010487 0.0010922
237093 51.0 0.00098743 0.0010231
237094 51.5 0.00092954 0.00097156
237095 52.0 0.00087485 0.00091152
237096 52.5 0.00082321 0.00085433
237097 53.0 0.00077443 0.00081522
237098 53.5 0.00072839 0.00076444
237099 54.0 0.00068493 0.00070627
237100 54.5 0.00064391 0.00066053
237101 55.0 0.00060522 0.00062057
237102 55.5 0.00056946 0.00058439
237103 56.0 0.00053563 0.00055681
237104 56.5 0.00050363 0.00053344
237105 57.0 0.00047338 0.00050221
237106 57.5 0.0004448 0.00047341
237107 58.0 0.00041778 0.00044304
237108 58.5 0.00039227 0.00042206
237109 59.0 0.00036818 0.00039485
237110 59.5 0.00034544 0.00035997
237111 60.0 0.00032399 0.00033803
237112 60.5 0.00030372 0.00031733
237113 61.0 0.00028463 0.00029761
237114 61.5 0.00026664 0.0002761
237115 62.0 0.00024971 0.00026592
237116 62.5 0.00023377 0.00024874
237117 63.0 0.00021877 0.00022956
237118 63.5 0.00020467 0.00021532
237119 64.0 0.0001914 0.00020379
237120 64.5 0.00017893 0.00018201
237121 65.0 0.00016721 0.00017519
237122 65.5 0.0001562 0.00016509
237123 66.0 0.00014585 0.00015241
237124 66.5 0.00013614 0.00014274
237125 67.0 0.00012702 0.00013428
237126 67.5 0.00011847 0.00012466
237127 68.0 0.00011044 0.00011755
237128 68.5 0.00010291 0.00011018
237129 69.0 9.586e-05 0.00010267
237130 69.5 8.9252e-05 9.6982e-05
237131 70.0 8.3063e-05 8.9717e-05
237132 70.5 7.7163e-05 8.472e-05
237133 71.0 7.1662e-05 7.7645e-05
237134 71.5 6.6533e-05 7.2043e-05
237135 72.0 6.1754e-05 6.6096e-05
237136 72.5 5.73e-05 6.058e-05
237137 73.0 5.3152e-05 5.4983e-05
237138 73.5 4.929e-05 5.1875e-05
237139 74.0 4.5694e-05 4.6361e-05
237140 74.5 4.2348e-05 4.1965e-05
237141 75.0 3.9234e-05 3.9339e-05
237142 75.5 3.6322e-05 3.5712e-05
237143 76.0 3.362e-05 3.3596e-05
237144 76.5 3.1114e-05 3.1671e-05
237145 77.0 2.879e-05 2.987e-05
237146 77.5 2.6635e-05 2.7217e-05
237147 78.0 2.4638e-05 2.4898e-05
237148 78.5 2.2786e-05 2.2659e-05
237149 79.0 2.107e-05 2.1075e-05
237150 79.5 1.948e-05 2.0173e-05
237151 80.0 1.8007e-05 1.8301e-05
237152 80.5 1.6666e-05 1.7346e-05
237153 81.0 1.5421e-05 1.6102e-05
237154 81.5 1.4266e-05 1.5159e-05
237155 82.0 1.3195e-05 1.3699e-05
237156 82.5 1.2201e-05 1.2501e-05
237157 83.0 1.1279e-05 1.1514e-05
237158 83.5 1.0424e-05 1.0955e-05
237159 84.0 9.6315e-06 1.0118e-05
237160 84.5 8.8972e-06 9.3724e-06
237161 85.0 8.2168e-06 8.7522e-06
237162 85.5 7.5691e-06 8.1309e-06
237163 86.0 6.9703e-06 7.3028e-06
237164 86.5 6.4168e-06 6.8806e-06
237165 87.0 5.9053e-06 6.3616e-06
237166 87.5 5.4329e-06 5.6202e-06
237167 88.0 4.9967e-06 4.7338e-06
237168 88.5 4.5939e-06 4.5365e-06
