 Hgtkm DensMean DensPert
1412322 0.0 1.1656 1.1215
1412323 0.5 1.1117 1.0503
1412324 1.0 1.06 1.0044
1412325 1.5 1.0101 0.95665
1412326 2.0 0.96405 0.91135
1412327 2.5 0.91875 0.87512
1412328 3.0 0.87485 0.85056
1412329 3.5 0.83389 0.81133
1412330 4.0 0.79521 0.78821
1412331 4.5 0.75791 0.75454
1412332 5.0 0.72062 0.72085
1412333 5.5 0.68516 0.6874
1412334 6.0 0.65099 0.65408
1412335 6.5 0.61753 0.62148
1412336 7.0 0.5858 0.59053
1412337 7.5 0.5557 0.56131
1412338 8.0 0.52637 0.53241
1412339 8.5 0.49854 0.50426
1412340 9.0 0.47219 0.47941
1412341 9.5 0.44723 0.45324
1412342 10.0 0.42223 0.42968
1412343 10.5 0.39833 0.40553
1412344 11.0 0.37498 0.38094
1412345 11.5 0.35148 0.35938
1412346 12.0 0.32946 0.33664
1412347 12.5 0.30821 0.31408
1412348 13.0 0.2875 0.29243
1412349 13.5 0.26819 0.27044
1412350 14.0 0.25018 0.2501
1412351 14.5 0.23224 0.2325
1412352 15.0 0.21522 0.21499
1412353 15.5 0.19945 0.19876
1412354 16.0 0.18484 0.18587
1412355 16.5 0.1713 0.17289
1412356 17.0 0.15766 0.15747
1412357 17.5 0.14477 0.14629
1412358 18.0 0.13294 0.13301
1412359 18.5 0.12208 0.12232
1412360 19.0 0.11216 0.11254
1412361 19.5 0.10313 0.10361
1412362 20.0 0.09483 0.094861
1412363 20.5 0.087198 0.086772
1412364 21.0 0.080207 0.08017
1412365 21.5 0.073926 0.073926
1412366 22.0 0.068138 0.067926
1412367 22.5 0.062804 0.061938
1412368 23.0 0.057888 0.056731
1412369 23.5 0.053357 0.052849
1412370 24.0 0.049182 0.048889
1412371 24.5 0.045387 0.045118
1412372 25.0 0.041919 0.041854
1412373 25.5 0.038717 0.038389
1412374 26.0 0.035759 0.035347
1412375 26.5 0.033028 0.032732
1412376 27.0 0.030517 0.030346
1412377 27.5 0.028214 0.028008
1412378 28.0 0.02607 0.025889
1412379 28.5 0.024079 0.023973
1412380 29.0 0.022235 0.02223
1412381 29.5 0.020534 0.020503
1412382 30.0 0.018972 0.018765
1412383 30.5 0.017528 0.017229
1412384 31.0 0.016206 0.015984
1412385 31.5 0.014997 0.014761
1412386 32.0 0.013887 0.013732
1412387 32.5 0.012864 0.012921
1412388 33.0 0.01192 0.011889
1412389 33.5 0.011049 0.010887
1412390 34.0 0.010245 0.010116
1412391 34.5 0.0095026 0.009335
1412392 35.0 0.0088171 0.0085899
1412393 35.5 0.0081759 0.0079063
1412394 36.0 0.0075843 0.0074638
1412395 36.5 0.0070383 0.0069321
1412396 37.0 0.0065342 0.0063636
1412397 37.5 0.0060686 0.0060752
1412398 38.0 0.0056384 0.0055849
1412399 38.5 0.0052406 0.0052301
1412400 39.0 0.0048728 0.0047893
1412401 39.5 0.0045324 0.0044558
1412402 40.0 0.0042174 0.0041727
1412403 40.5 0.0039312 0.0039201
1412404 41.0 0.0036655 0.0037202
1412405 41.5 0.0034187 0.0034614
1412406 42.0 0.0031894 0.0031739
1412407 42.5 0.0029763 0.003001
1412408 43.0 0.0027781 0.0027945
1412409 43.5 0.0025939 0.0025904
1412410 44.0 0.0024226 0.0024124
1412411 44.5 0.0022632 0.0022751
1412412 45.0 0.0021148 0.0021522
1412413 45.5 0.001983 0.0019997
1412414 46.0 0.0018594 0.0018784
1412415 46.5 0.0017437 0.0017592
1412416 47.0 0.0016352 0.0016516
1412417 47.5 0.0015336 0.0015549
1412418 48.0 0.0014384 0.001491
1412419 48.5 0.0013491 0.0013933
1412420 49.0 0.0012654 0.0013265
1412421 49.5 0.001187 0.0012395
1412422 50.0 0.0011135 0.0011483
