 Hgtkm DensMean DensPert
937939 0.0 1.1656 1.129
937940 0.5 1.1117 1.0728
937941 1.0 1.06 1.0298
937942 1.5 1.0101 0.98603
937943 2.0 0.96405 0.93958
937944 2.5 0.91875 0.90052
937945 3.0 0.87485 0.85833
937946 3.5 0.83389 0.8245
937947 4.0 0.79521 0.78726
937948 4.5 0.75791 0.7506
937949 5.0 0.72062 0.7149
937950 5.5 0.68516 0.68333
937951 6.0 0.65099 0.64981
937952 6.5 0.61753 0.61509
937953 7.0 0.5858 0.58554
937954 7.5 0.5557 0.55588
937955 8.0 0.52637 0.52701
937956 8.5 0.49854 0.50118
937957 9.0 0.47219 0.4759
937958 9.5 0.44723 0.45251
937959 10.0 0.42223 0.4263
937960 10.5 0.39833 0.40309
937961 11.0 0.37498 0.38043
937962 11.5 0.35148 0.35739
937963 12.0 0.32946 0.33773
937964 12.5 0.30821 0.31557
937965 13.0 0.2875 0.29215
937966 13.5 0.26819 0.2729
937967 14.0 0.25018 0.2539
937968 14.5 0.23224 0.23566
937969 15.0 0.21522 0.21913
937970 15.5 0.19945 0.20282
937971 16.0 0.18484 0.18706
937972 16.5 0.1713 0.17395
937973 17.0 0.15766 0.15919
937974 17.5 0.14477 0.14648
937975 18.0 0.13294 0.1335
937976 18.5 0.12208 0.12255
937977 19.0 0.11216 0.11366
937978 19.5 0.10313 0.10553
937979 20.0 0.09483 0.095874
937980 20.5 0.087198 0.087059
937981 21.0 0.080207 0.08071
937982 21.5 0.073926 0.074086
937983 22.0 0.068138 0.067913
937984 22.5 0.062804 0.062835
937985 23.0 0.057888 0.05799
937986 23.5 0.053357 0.053471
937987 24.0 0.049182 0.04907
937988 24.5 0.045387 0.045268
937989 25.0 0.041919 0.0418
937990 25.5 0.038717 0.038582
937991 26.0 0.035759 0.035784
937992 26.5 0.033028 0.033136
937993 27.0 0.030517 0.03045
937994 27.5 0.028214 0.028083
937995 28.0 0.02607 0.025788
937996 28.5 0.024079 0.023867
937997 29.0 0.022235 0.021953
937998 29.5 0.020534 0.020065
937999 30.0 0.018972 0.018582
938000 30.5 0.017528 0.017215
938001 31.0 0.016206 0.015819
938002 31.5 0.014997 0.014588
938003 32.0 0.013887 0.013292
938004 32.5 0.012864 0.012458
938005 33.0 0.01192 0.011502
938006 33.5 0.011049 0.010778
938007 34.0 0.010245 0.0099701
938008 34.5 0.0095026 0.0093438
938009 35.0 0.0088171 0.0085668
938010 35.5 0.0081759 0.0079016
938011 36.0 0.0075843 0.0074003
938012 36.5 0.0070383 0.0068635
938013 37.0 0.0065342 0.0063947
938014 37.5 0.0060686 0.0058879
938015 38.0 0.0056384 0.0055224
938016 38.5 0.0052406 0.0051115
938017 39.0 0.0048728 0.004729
938018 39.5 0.0045324 0.0044097
938019 40.0 0.0042174 0.0041049
938020 40.5 0.0039312 0.0038547
938021 41.0 0.0036655 0.003554
938022 41.5 0.0034187 0.0032651
938023 42.0 0.0031894 0.003068
938024 42.5 0.0029763 0.0028666
938025 43.0 0.0027781 0.0027043
938026 43.5 0.0025939 0.0025699
938027 44.0 0.0024226 0.0024075
938028 44.5 0.0022632 0.0022617
938029 45.0 0.0021148 0.0020762
938030 45.5 0.001983 0.0019396
938031 46.0 0.0018594 0.0018306
938032 46.5 0.0017437 0.0017495
938033 47.0 0.0016352 0.0016535
938034 47.5 0.0015336 0.0015243
938035 48.0 0.0014384 0.0014136
938036 48.5 0.0013491 0.0013328
938037 49.0 0.0012654 0.0012367
938038 49.5 0.001187 0.0011797
