 Hgtkm DensMean DensPert
698943 0.0 1.1656 1.1526
698944 0.5 1.1117 1.1135
698945 1.0 1.06 1.0474
698946 1.5 1.0101 0.98432
698947 2.0 0.96405 0.92456
698948 2.5 0.91875 0.90376
698949 3.0 0.87485 0.84673
698950 3.5 0.83389 0.81236
698951 4.0 0.79521 0.77332
698952 4.5 0.75791 0.74544
698953 5.0 0.72062 0.69965
698954 5.5 0.68516 0.6718
698955 6.0 0.65099 0.64136
698956 6.5 0.61753 0.61476
698957 7.0 0.5858 0.58092
698958 7.5 0.5557 0.55053
698959 8.0 0.52637 0.52105
698960 8.5 0.49854 0.49515
698961 9.0 0.47219 0.4686
698962 9.5 0.44723 0.4449
698963 10.0 0.42223 0.4196
698964 10.5 0.39833 0.39679
698965 11.0 0.37498 0.37371
698966 11.5 0.35148 0.35116
698967 12.0 0.32946 0.3296
698968 12.5 0.30821 0.30863
698969 13.0 0.2875 0.28921
698970 13.5 0.26819 0.26832
698971 14.0 0.25018 0.25187
698972 14.5 0.23224 0.23513
698973 15.0 0.21522 0.21669
698974 15.5 0.19945 0.20303
698975 16.0 0.18484 0.18834
698976 16.5 0.1713 0.17366
698977 17.0 0.15766 0.15904
698978 17.5 0.14477 0.14584
698979 18.0 0.13294 0.13395
698980 18.5 0.12208 0.12385
698981 19.0 0.11216 0.11289
698982 19.5 0.10313 0.10379
698983 20.0 0.09483 0.095662
698984 20.5 0.087198 0.087738
698985 21.0 0.080207 0.080837
698986 21.5 0.073926 0.074216
698987 22.0 0.068138 0.068709
698988 22.5 0.062804 0.06376
698989 23.0 0.057888 0.058638
698990 23.5 0.053357 0.05357
698991 24.0 0.049182 0.049681
698992 24.5 0.045387 0.045888
698993 25.0 0.041919 0.042252
698994 25.5 0.038717 0.039115
698995 26.0 0.035759 0.036274
698996 26.5 0.033028 0.033308
698997 27.0 0.030517 0.030777
698998 27.5 0.028214 0.028489
698999 28.0 0.02607 0.026264
699000 28.5 0.024079 0.024173
699001 29.0 0.022235 0.022357
699002 29.5 0.020534 0.020641
699003 30.0 0.018972 0.01902
699004 30.5 0.017528 0.017611
699005 31.0 0.016206 0.016175
699006 31.5 0.014997 0.015048
699007 32.0 0.013887 0.013933
699008 32.5 0.012864 0.013012
699009 33.0 0.01192 0.012166
699010 33.5 0.011049 0.0113
699011 34.0 0.010245 0.010361
699012 34.5 0.0095026 0.0095009
699013 35.0 0.0088171 0.0088454
699014 35.5 0.0081759 0.0081629
699015 36.0 0.0075843 0.0074665
699016 36.5 0.0070383 0.0069573
699017 37.0 0.0065342 0.0063942
699018 37.5 0.0060686 0.0059272
699019 38.0 0.0056384 0.0055244
699020 38.5 0.0052406 0.0051128
699021 39.0 0.0048728 0.0047868
699022 39.5 0.0045324 0.0045191
699023 40.0 0.0042174 0.0041457
699024 40.5 0.0039312 0.0038674
699025 41.0 0.0036655 0.0035875
699026 41.5 0.0034187 0.0033758
699027 42.0 0.0031894 0.0031665
699028 42.5 0.0029763 0.0028712
699029 43.0 0.0027781 0.0026662
699030 43.5 0.0025939 0.0024533
699031 44.0 0.0024226 0.0022721
699032 44.5 0.0022632 0.0020939
699033 45.0 0.0021148 0.001965
699034 45.5 0.001983 0.0018572
699035 46.0 0.0018594 0.0017662
699036 46.5 0.0017437 0.0016448
699037 47.0 0.0016352 0.0015353
699038 47.5 0.0015336 0.0014273
699039 48.0 0.0014384 0.0013266
699040 48.5 0.0013491 0.0012487
699041 49.0 0.0012654 0.001177
699042 49.5 0.001187 0.0011143
699043 50.0 0.0011135 0.0010535
699044 50.5 0.0010487 0.00098191
699045 51.0 0.00098743 0.00093473
699046 51.5 0.00092954 0.00088472
699047 52.0 0.00087485 0.0008318
699048 52.5 0.00082321 0.00078607
699049 53.0 0.00077443 0.00074917
699050 53.5 0.00072839 0.00069539
699051 54.0 0.00068493 0.00065379
699052 54.5 0.00064391 0.0006179
699053 55.0 0.00060522 0.00057464
699054 55.5 0.00056946 0.0005437
699055 56.0 0.00053563 0.00050701
699056 56.5 0.00050363 0.0004685
699057 57.0 0.00047338 0.00045073
699058 57.5 0.0004448 0.00042458
699059 58.0 0.00041778 0.00039285
699060 58.5 0.00039227 0.00037891
699061 59.0 0.00036818 0.00034693
699062 59.5 0.00034544 0.00031847
699063 60.0 0.00032399 0.00030037
699064 60.5 0.00030372 0.00028736
699065 61.0 0.00028463 0.00027007
699066 61.5 0.00026664 0.00024375
699067 62.0 0.00024971 0.00022686
699068 62.5 0.00023377 0.00021402
699069 63.0 0.00021877 0.00019929
699070 63.5 0.00020467 0.00018953
699071 64.0 0.0001914 0.00017563
699072 64.5 0.00017893 0.0001636
699073 65.0 0.00016721 0.00014839
699074 65.5 0.0001562 0.00013573
699075 66.0 0.00014585 0.00012777
699076 66.5 0.00013614 0.00012235
699077 67.0 0.00012702 0.00011792
699078 67.5 0.00011847 0.00010808
699079 68.0 0.00011044 0.00010338
699080 68.5 0.00010291 9.537e-05
699081 69.0 9.586e-05 9.0957e-05
699082 69.5 8.9252e-05 8.5314e-05
699083 70.0 8.3063e-05 7.9174e-05
699084 70.5 7.7163e-05 7.4649e-05
699085 71.0 7.1662e-05 6.9648e-05
699086 71.5 6.6533e-05 6.4075e-05
699087 72.0 6.1754e-05 5.965e-05
699088 72.5 5.73e-05 5.4138e-05
699089 73.0 5.3152e-05 5.0221e-05
699090 73.5 4.929e-05 4.5971e-05
699091 74.0 4.5694e-05 4.3172e-05
699092 74.5 4.2348e-05 4.1518e-05
699093 75.0 3.9234e-05 3.8768e-05
699094 75.5 3.6322e-05 3.5649e-05
699095 76.0 3.362e-05 3.3334e-05
699096 76.5 3.1114e-05 3.1238e-05
699097 77.0 2.879e-05 2.8921e-05
699098 77.5 2.6635e-05 2.6682e-05
699099 78.0 2.4638e-05 2.3818e-05
699100 78.5 2.2786e-05 2.2011e-05
699101 79.0 2.107e-05 2.0677e-05
699102 79.5 1.948e-05 1.8686e-05
699103 80.0 1.8007e-05 1.7378e-05
699104 80.5 1.6666e-05 1.6632e-05
699105 81.0 1.5421e-05 1.5535e-05
699106 81.5 1.4266e-05 1.4333e-05
699107 82.0 1.3195e-05 1.3193e-05
699108 82.5 1.2201e-05 1.2101e-05
699109 83.0 1.1279e-05 1.1257e-05
699110 83.5 1.0424e-05 9.9143e-06
699111 84.0 9.6315e-06 9.1357e-06
699112 84.5 8.8972e-06 8.6717e-06
699113 85.0 8.2168e-06 8.1183e-06
699114 85.5 7.5691e-06 7.771e-06
699115 86.0 6.9703e-06 7.2315e-06
699116 86.5 6.4168e-06 6.5996e-06
699117 87.0 5.9053e-06 6.085e-06
699118 87.5 5.4329e-06 5.6325e-06
699119 88.0 4.9967e-06 5.2298e-06
699120 88.5 4.5939e-06 4.6344e-06
699121 89.0 4.2223e-06 4.1416e-06
699122 89.5 3.8794e-06 3.8764e-06
699123 90.0 3.5632e-06 3.6301e-06
699124 90.5 3.2661e-06 3.3494e-06
699125 91.0 2.9921e-06 3.1664e-06
699126 91.5 2.7394e-06 2.8194e-06
699127 92.0 2.5064e-06 2.5133e-06
699128 92.5 2.2918e-06 2.3501e-06
699129 93.0 2.0942e-06 2.2434e-06
699130 93.5 1.9124e-06 1.9847e-06
699131 94.0 1.7451e-06 1.7164e-06
699132 94.5 1.5915e-06 1.5659e-06
699133 95.0 1.4504e-06 1.4783e-06
699134 95.5 1.3156e-06 1.3988e-06
699135 96.0 1.1938e-06 1.2033e-06
699136 96.5 1.0837e-06 1.1114e-06
699137 97.0 9.8411e-07 9.8628e-07
699138 97.5 8.94e-07 8.4016e-07
699139 98.0 8.1243e-07 7.4621e-07
699140 98.5 7.3857e-07 7.1232e-07
699141 99.0 6.7167e-07 6.1941e-07
699142 99.5 6.1105e-07 6.1076e-07
699143 100.0 5.5611e-07 5.4695e-07
699144 100.5 5.0368e-07 4.7482e-07
699145 101.0 4.5678e-07 4.5362e-07
699146 101.5 4.1476e-07 4.0969e-07
699147 102.0 3.7705e-07 3.4931e-07
699148 102.5 3.4316e-07 3.1854e-07
699149 103.0 3.1267e-07 3.0288e-07
699150 103.5 2.852e-07 2.6059e-07
699151 104.0 2.6042e-07 2.2994e-07
699152 104.5 2.3804e-07 2.0242e-07
699153 105.0 2.1782e-07 1.8592e-07
699154 105.5 1.9878e-07 1.7426e-07
699155 106.0 1.8174e-07 1.699e-07
699156 106.5 1.6645e-07 1.5322e-07
699157 107.0 1.5269e-07 1.3261e-07
699158 107.5 1.4029e-07 1.2975e-07
699159 108.0 1.2908e-07 1.1711e-07
699160 108.5 1.1894e-07 1.0861e-07
699161 109.0 1.0974e-07 1.0207e-07
699162 109.5 1.0139e-07 9.4806e-08
699163 110.0 9.3782e-08 8.3832e-08
699164 110.5 8.6689e-08 7.5125e-08
699165 111.0 8.027e-08 7.4883e-08
699166 111.5 7.4446e-08 6.9497e-08
699167 112.0 6.9146e-08 6.855e-08
699168 112.5 6.4312e-08 6.2926e-08
699169 113.0 5.9892e-08 5.6947e-08
699170 113.5 5.5844e-08 5.0983e-08
699171 114.0 5.2129e-08 4.4889e-08
699172 114.5 4.8712e-08 4.3514e-08
699173 115.0 4.5565e-08 4.0832e-08
699174 115.5 4.2658e-08 3.9969e-08
699175 116.0 3.9975e-08 3.9656e-08
699176 116.5 3.7495e-08 3.5513e-08
699177 117.0 3.5199e-08 3.2263e-08
699178 117.5 3.307e-08 3.0811e-08
699179 118.0 3.1094e-08 2.8475e-08
699180 118.5 2.9258e-08 2.6415e-08
699181 119.0 2.755e-08 2.4691e-08
699182 119.5 2.5959e-08 2.4001e-08
699183 120.0 2.4476e-08 2.2733e-08
