 Hgtkm DensMean DensPert
899844 0.0 1.1656 1.2084
899845 0.5 1.1117 1.1461
899846 1.0 1.06 1.0976
899847 1.5 1.0101 1.0415
899848 2.0 0.96405 0.99722
899849 2.5 0.91875 0.92466
899850 3.0 0.87485 0.86884
899851 3.5 0.83389 0.82419
899852 4.0 0.79521 0.77947
899853 4.5 0.75791 0.73299
899854 5.0 0.72062 0.70572
899855 5.5 0.68516 0.67204
899856 6.0 0.65099 0.63841
899857 6.5 0.61753 0.60513
899858 7.0 0.5858 0.5737
899859 7.5 0.5557 0.54343
899860 8.0 0.52637 0.51568
899861 8.5 0.49854 0.48921
899862 9.0 0.47219 0.4622
899863 9.5 0.44723 0.43707
899864 10.0 0.42223 0.41294
899865 10.5 0.39833 0.38973
899866 11.0 0.37498 0.369
899867 11.5 0.35148 0.34389
899868 12.0 0.32946 0.3252
899869 12.5 0.30821 0.30568
899870 13.0 0.2875 0.28512
899871 13.5 0.26819 0.26448
899872 14.0 0.25018 0.24678
899873 14.5 0.23224 0.23252
899874 15.0 0.21522 0.21548
899875 15.5 0.19945 0.19827
899876 16.0 0.18484 0.18421
899877 16.5 0.1713 0.17213
899878 17.0 0.15766 0.15896
899879 17.5 0.14477 0.14652
899880 18.0 0.13294 0.1339
899881 18.5 0.12208 0.12388
899882 19.0 0.11216 0.11357
899883 19.5 0.10313 0.10371
899884 20.0 0.09483 0.095606
899885 20.5 0.087198 0.088719
899886 21.0 0.080207 0.081087
899887 21.5 0.073926 0.074332
899888 22.0 0.068138 0.068823
899889 22.5 0.062804 0.063373
899890 23.0 0.057888 0.058262
899891 23.5 0.053357 0.053773
899892 24.0 0.049182 0.049879
899893 24.5 0.045387 0.045908
899894 25.0 0.041919 0.042585
899895 25.5 0.038717 0.039392
899896 26.0 0.035759 0.036299
899897 26.5 0.033028 0.033337
899898 27.0 0.030517 0.030786
899899 27.5 0.028214 0.028519
899900 28.0 0.02607 0.026488
899901 28.5 0.024079 0.024396
899902 29.0 0.022235 0.022567
899903 29.5 0.020534 0.020879
899904 30.0 0.018972 0.01919
899905 30.5 0.017528 0.017641
899906 31.0 0.016206 0.016376
899907 31.5 0.014997 0.01519
899908 32.0 0.013887 0.014283
899909 32.5 0.012864 0.013192
899910 33.0 0.01192 0.01238
899911 33.5 0.011049 0.011442
899912 34.0 0.010245 0.010481
899913 34.5 0.0095026 0.0096584
899914 35.0 0.0088171 0.0088989
899915 35.5 0.0081759 0.0082887
899916 36.0 0.0075843 0.0077158
899917 36.5 0.0070383 0.0072284
899918 37.0 0.0065342 0.0066991
899919 37.5 0.0060686 0.0062105
899920 38.0 0.0056384 0.0056889
899921 38.5 0.0052406 0.0052862
899922 39.0 0.0048728 0.0048328
899923 39.5 0.0045324 0.0044102
899924 40.0 0.0042174 0.0040826
899925 40.5 0.0039312 0.0037801
899926 41.0 0.0036655 0.003482
899927 41.5 0.0034187 0.0032848
899928 42.0 0.0031894 0.0030179
899929 42.5 0.0029763 0.0028584
899930 43.0 0.0027781 0.0026682
899931 43.5 0.0025939 0.0025404
899932 44.0 0.0024226 0.0023735
899933 44.5 0.0022632 0.0022073
899934 45.0 0.0021148 0.002
899935 45.5 0.001983 0.0018918
899936 46.0 0.0018594 0.001781
899937 46.5 0.0017437 0.0016646
899938 47.0 0.0016352 0.0015804
899939 47.5 0.0015336 0.0014432
899940 48.0 0.0014384 0.0013599
899941 48.5 0.0013491 0.0012666
899942 49.0 0.0012654 0.0012128
899943 49.5 0.001187 0.0011595
899944 50.0 0.0011135 0.0010813
899945 50.5 0.0010487 0.0010246
899946 51.0 0.00098743 0.00095795
899947 51.5 0.00092954 0.00089996
899948 52.0 0.00087485 0.000838
899949 52.5 0.00082321 0.00078799
899950 53.0 0.00077443 0.00074332
899951 53.5 0.00072839 0.00067491
899952 54.0 0.00068493 0.00065186
899953 54.5 0.00064391 0.00060102
899954 55.0 0.00060522 0.00056555
899955 55.5 0.00056946 0.00055331
899956 56.0 0.00053563 0.00049855
899957 56.5 0.00050363 0.00047075
899958 57.0 0.00047338 0.00044247
899959 57.5 0.0004448 0.00040768
899960 58.0 0.00041778 0.00038269
899961 58.5 0.00039227 0.00036552
899962 59.0 0.00036818 0.00034267
899963 59.5 0.00034544 0.0003138
899964 60.0 0.00032399 0.00029289
899965 60.5 0.00030372 0.00028077
899966 61.0 0.00028463 0.00025644
899967 61.5 0.00026664 0.00024368
899968 62.0 0.00024971 0.00022764
899969 62.5 0.00023377 0.00021388
899970 63.0 0.00021877 0.00020009
899971 63.5 0.00020467 0.0001859
899972 64.0 0.0001914 0.00017432
899973 64.5 0.00017893 0.00015816
899974 65.0 0.00016721 0.00014804
899975 65.5 0.0001562 0.00014113
899976 66.0 0.00014585 0.00013108
899977 66.5 0.00013614 0.00012249
899978 67.0 0.00012702 0.00010984
899979 67.5 0.00011847 0.0001032
899980 68.0 0.00011044 9.8427e-05
899981 68.5 0.00010291 9.4914e-05
899982 69.0 9.586e-05 8.8e-05
899983 69.5 8.9252e-05 8.0671e-05
899984 70.0 8.3063e-05 7.6352e-05
899985 70.5 7.7163e-05 7.1238e-05
899986 71.0 7.1662e-05 6.6123e-05
899987 71.5 6.6533e-05 6.1214e-05
899988 72.0 6.1754e-05 5.657e-05
899989 72.5 5.73e-05 5.2545e-05
899990 73.0 5.3152e-05 4.8654e-05
899991 73.5 4.929e-05 4.5475e-05
899992 74.0 4.5694e-05 4.2944e-05
899993 74.5 4.2348e-05 3.9445e-05
899994 75.0 3.9234e-05 3.73e-05
899995 75.5 3.6322e-05 3.5091e-05
899996 76.0 3.362e-05 3.1592e-05
899997 76.5 3.1114e-05 2.9919e-05
899998 77.0 2.879e-05 2.7588e-05
899999 77.5 2.6635e-05 2.5589e-05
900000 78.0 2.4638e-05 2.4144e-05
900001 78.5 2.2786e-05 2.212e-05
900002 79.0 2.107e-05 2.0758e-05
900003 79.5 1.948e-05 1.8918e-05
900004 80.0 1.8007e-05 1.7781e-05
900005 80.5 1.6666e-05 1.6075e-05
900006 81.0 1.5421e-05 1.477e-05
900007 81.5 1.4266e-05 1.3786e-05
900008 82.0 1.3195e-05 1.2573e-05
